pid,function declaration,exception handling,externally defined variable or function,function call,argument,variable declaration
155,22,10,27,52,18,59
317,19,15,1,34,99,39
111,8,3,22,27,9,13
315,29,8,0,137,59,16
133,40,6,25,43,24,3
311,27,1,30,14,2,6
314,17,10,2,31,7,4
318,1,4,0,5,12,0
147,12,9,29,52,27,26
191,27,6,27,44,43,15
312,2,0,1,12,22,3
