pid,function declaration,parameter,exception handling,variable declaration,variable,function call,argument,conditional statement,conditional block
168,3,5,2,55,0,9,10,10,5
310,0,0,0,23,0,8,11,0,2
129,16,11,1,62,0,1,9,0,0
318,0,2,0,11,0,2,0,0,0
147,27,14,4,90,0,12,20,13,9
