pid,function declaration,parameter,conditional statement,return,variable declaration
136,1,2,21,102,35
176,11,7,11,20,54
155,4,0,19,61,29
117,11,10,0,3,19
166,2,3,3,12,11
317,10,8,42,81,68
168,1,5,3,42,36
319,0,1,2,5,2
186,0,0,0,0,0
182,7,5,21,13,3
129,7,9,2,5,8
111,19,8,2,8,12
313,20,18,33,82,57
315,0,0,0,0,0
133,15,11,14,14,68
143,18,11,12,10,23
311,37,23,21,8,7
314,9,10,9,17,83
106,5,6,8,2,17
318,9,0,3,7,3
147,16,6,1,5,43
191,8,1,7,27,30
189,20,19,35,11,9
316,12,3,4,0,7
139,31,14,40,24,57
