pid,function declaration,parameter,variable declaration,conditional statement,conditional block,exception handling,externally defined variable or function,function call,argument
136,11,12,10,3,31,4,6,42,1
117,2,17,10,23,49,2,20,40,1
166,2,6,5,10,41,3,0,18,4
168,0,0,0,0,4,0,0,0,0
182,12,3,23,12,49,3,1,0,0
129,20,5,4,10,13,0,0,2,1
315,4,12,9,10,65,0,2,33,0
133,7,14,9,50,114,3,3,88,4
106,28,10,7,35,58,0,1,25,1
191,11,45,9,66,113,18,6,55,3
