pid,function declaration,conditional statement,return,externally defined variable or function,assignment,comment,external class,function call,argument
155,0,28,9,25,0,6,3,9,23
117,16,2,2,3,0,0,0,1,7
310,0,0,1,2,0,0,0,0,0
147,22,14,9,6,4,0,4,24,9
