pid,function declaration,parameter,conditional statement,return
155,9,3,84,11
186,0,0,0,0
313,36,14,37,1
311,3,8,76,11
314,12,7,40,1
316,22,2,49,9
312,3,2,18,1
139,29,32,200,18
