pid,function declaration,parameter,variable declaration,loop,conditional statement,return
176,44,3,18,119,176,8
186,0,2,0,0,0,0
129,15,7,8,80,57,21
143,23,1,12,181,88,15
106,20,20,10,185,221,15
316,9,6,6,100,28,12
139,14,12,19,45,73,11
