pid,public.0,Command.0,getBackCommand2.0,if.0,backCommand2.0,==.0,nan.0,//GEN-END: |92-getter|0|92-preInit.200,// write pre-init user code here.201,backCommand2.1,=.0,new.0,Command.1,"""Back"".0",Command.2,BACK.0,0.0,//GEN-LINE: | 92-getter | 1 | 92-postInit.202,// write post-init user code here.203,//GEN-BEGIN: | 92-getter | 2 |.204,return.0,backCommand2.2,code,participant_summary
176,0,8,13,0,7,1,2,2,3,7,0,2,0,1,3,0,0,0,0,0,0,4,27,8
129,0,4,8,0,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,14,2
139,0,0,12,0,25,3,7,44,4,63,6,9,7,10,25,9,1,0,2,0,5,7,87,35
