pid,private.0,boolean.0,liesBetween.0,double.0,x1.0,double.1,x2.0,double.2,x3.0,if.0,x1.1,<=.0,x2.1,&&.0,x3.1,>=.0,x1.2,-.0,ACCURACY.0,&&.1,x3.2,<=.1,x2.2,+.0,ACCURACY.1,return.0,TRUE.0,if.1,x1.3,>=.1,x2.3,&&.2,x3.3,>=.2,x2.4,-.1,ACCURACY.2,&&.3,x3.4,<=.2,x1.4,+.1,ACCURACY.3,return.1,TRUE.1,return.2,FALSE.0,code,participant_summary
155,0,6,3,3,0,0,0,0,0,1,2,3,1,3,10,2,7,0,11,13,5,1,0,0,0,2,1,0,0,3,0,1,6,6,2,1,6,0,0,0,0,0,0,5,1,0,2,40,3
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313,0,18,18,3,2,6,3,0,0,0,3,6,2,0,2,0,2,0,3,5,1,1,1,0,0,0,1,0,5,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,46,24
311,0,1,2,4,2,2,0,0,0,0,11,2,0,0,6,3,8,0,5,8,8,2,0,1,0,6,0,0,5,7,2,1,0,0,2,1,3,1,0,0,0,0,0,3,0,2,0,58,123
314,0,2,10,1,0,0,3,3,0,0,0,5,5,0,0,2,4,0,5,3,0,6,3,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,14,6
316,0,9,13,1,1,0,0,0,0,0,2,1,14,0,6,11,11,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,119,29
312,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
139,5,10,14,11,0,12,7,2,0,0,25,24,4,0,18,21,19,2,26,12,4,7,3,2,0,7,4,0,8,10,0,0,3,3,6,1,2,0,0,0,0,0,0,5,0,2,0,109,33
