pid,private.0,void.0,populateNewList.0,newResources.0,=.0,mergeNewResources.0,SwingUtilities.0,invokeLater.0,new.0,Runnable.0,SuppressWarnings.0,"""synthetic-access"".0",Override.0,public.0,void.1,run.0,newListModel.0,clear.0,for.0,Wrapper.0,wr.0,:.0,newResources.1,newListModel.1,addElement.0,wr.1,code,participant_summary
176,0,5,12,2,0,14,4,3,2,1,8,0,5,0,4,0,14,1,0,6,3,0,10,4,5,0,34,6
117,17,5,17,22,2,19,27,15,0,0,2,0,14,5,2,4,9,2,0,2,0,0,3,2,2,0,63,25
182,0,0,5,7,0,2,6,0,0,0,7,2,4,4,6,3,16,0,3,0,0,0,0,0,0,0,34,44
310,0,0,0,0,0,3,17,6,0,0,9,0,4,0,0,0,6,0,0,2,0,0,0,0,0,0,17,0
111,8,4,34,23,1,7,4,1,2,0,1,0,7,8,2,4,8,9,5,6,1,1,0,3,0,0,59,8
315,0,1,38,2,0,41,18,25,2,1,33,16,7,0,6,3,43,2,0,36,1,2,9,24,16,1,105,113
147,0,7,27,11,0,12,11,3,1,2,7,1,7,3,3,3,7,0,0,6,2,1,1,12,7,0,38,26
191,0,3,28,4,0,10,4,3,1,0,8,1,5,3,10,2,7,3,5,6,1,0,1,2,3,0,45,16
