pid,public.0,StatusEffect.0,getEffect.0,int.0,lock.0,synchronized.0,m_statuses.0,Iterator.0,i.0,=.0,m_statuses.1,iterator.0,while.0,i.1,hasNext.0,StatusEffect.1,eff.0,=.1,StatusEffect.2,i.2,next.0,if.0,eff.1,==.0,nan.0,||.0,eff.2,isActive.0,continue;.0,if.1,eff.3,getLock.0,==.1,lock.1,return.0,eff.4,return.1,nan.1,code,participant_summary
117,0,17,1,0,0,8,5,1,1,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,1,0,8,1,8,1,0,0,0,0,0,0,52,8
129,0,21,22,4,0,1,19,0,0,0,5,2,0,0,16,10,0,0,9,0,0,0,3,1,0,0,0,0,11,0,6,3,0,0,0,0,0,0,64,37
313,0,2,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,8,13
143,3,14,9,7,9,34,22,13,1,0,7,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,42,19
314,0,6,12,3,0,24,28,12,3,0,23,4,0,3,34,28,1,0,6,6,0,0,4,0,1,1,4,1,8,0,1,5,0,0,0,0,0,0,63,22
191,0,12,14,0,0,6,5,1,1,2,4,0,0,4,8,7,2,1,3,0,0,2,0,3,0,0,2,0,2,1,10,2,0,0,4,0,1,0,65,62
