pid,public.0,void.0,deleteCascade.0,VyhladavaciAlgoritmus.0,algorithm.0,//searcheds.0,getHibernateTemplate.0,bulkUpdate.0,"""DELETE Searched WHERE algorithm = ?"".100",new.0,Object.0,algorithm.1,//plans.0,getHibernateTemplate.1,bulkUpdate.1,"""DELETE SearchPlan WHERE algorithm = ?"".101",new.1,Object.1,algorithm.2,//prefs.0,getHibernateTemplate.2,bulkUpdate.2,"""DELETE SearchPrefs WHERE algorithm = ?"".102",new.2,Object.2,algorithm.3,//categories.0,getHibernateTemplate.3,bulkUpdate.3,"""DELETE SearchCategory WHERE algorithm = ?"".103",new.3,Object.3,algorithm.4,delete.0,algorithm.5,code,participant_summary
136,0,0,8,6,0,7,31,4,0,0,0,0,4,7,1,0,0,0,0,10,14,0,0,1,1,0,6,2,0,0,0,0,0,0,0,31,13
317,1,0,5,1,1,7,13,18,2,1,3,0,3,37,6,0,1,1,1,0,15,0,0,0,2,1,4,3,0,0,0,5,0,0,16,125,47
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,6
111,0,3,12,13,0,3,16,1,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,4,0,26,6
143,0,10,8,4,0,11,22,15,1,0,0,0,7,4,5,0,0,0,0,3,2,5,0,0,0,0,3,6,0,0,0,0,0,0,0,30,45
