pid,private.0,void.0,saveSetting.0,CustomProperties.0,prop.0,prop.1,setProperty.0,"""avalanchefever.gametype"".0",mapSet.0,prop.2,setProperty.1,"""avalanchefever.outlinetype"".0",outlinetype.0,prop.3,setProperty.2,"""avalanchefever.numcolors"".0",numColors.0,prop.4,setProperty.3,"""avalanchefever.version"".0",version.0,prop.5,setProperty.4,"""avalanchefever.chainDisplayType"".0",chainDisplayType.0,prop.6,setProperty.5,"""avalanchefever.bigDisplay"".0",bigDisplay.0,code,participant_summary
186,0,0,1,2,0,0,5,12,0,3,7,32,0,1,1,23,1,1,2,9,6,0,0,6,1,1,6,9,0,16,24
133,0,2,6,8,0,0,3,2,4,1,2,14,0,3,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,12,27
311,5,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22
189,0,0,0,2,0,0,6,59,0,0,9,50,1,0,14,8,7,0,5,0,5,0,4,1,0,0,3,1,1,24,24
316,0,1,7,6,0,3,23,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11
