pid,public.0,void.0,play.0,if.0,currentState.0,==.0,SimulatorState.0,STOPPED.0,setSimulationTime.0,0.0,simItem.0,initialize.0,startTimer.0,setState.0,SimulatorState.1,PLAYING.0,else if.0,currentState.1,==.1,SimulatorState.2,PAUSED.0,startTimer.1,setState.1,SimulatorState.3,PLAYING.1,code,participant_summary
155,0,0,0,0,5,0,3,0,19,3,4,8,6,1,0,0,2,0,0,0,0,2,1,0,0,26,9
166,2,0,1,3,1,0,0,0,5,0,2,6,11,13,2,0,0,0,0,2,0,6,10,1,0,17,12
147,0,10,6,2,8,0,1,0,16,0,12,0,7,8,0,0,1,3,0,11,0,6,3,6,0,23,32
