pid,public.0,void.0,exportXVRL.0,XMLStreamWriter.0,xvrLDoc.0,throws.0,Exception.0,JAXBContext.0,context.0,=.0,JAXBContext.1,newInstance.0,ValidationReport.0,class.0,Marshaller.0,m.0,=.1,context.1,createMarshaller.0,m.1,setProperty.0,Marshaller.1,JAXB_FORMATTED_OUTPUT.0,TRUE.0,ValidationReport.1,vReport.0,=.2,exportVReport.0,if.0,vReport.1,!=.0,nan.0,m.2,marshal.0,vReport.2,xvrLDoc.1,code,participant_summary
168,0,0,3,3,2,2,0,0,2,0,3,0,2,0,4,1,0,7,6,0,9,4,6,0,15,4,0,11,0,7,1,2,0,2,3,0,82,14
310,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,8,5,6,0,14,4,0,2,0,0,0,0,2,0,0,0,29,0
129,0,5,11,10,1,1,0,13,1,1,8,6,0,0,6,1,1,5,12,0,1,1,8,0,5,0,0,3,0,0,0,0,0,0,0,0,50,24
133,0,5,11,2,1,4,0,12,2,0,13,4,3,0,14,0,0,8,13,0,5,2,8,0,0,0,0,2,0,0,0,0,0,0,2,0,31,21
318,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,56,32
147,0,10,17,13,1,4,0,19,3,1,17,1,1,0,5,0,0,5,14,0,12,5,15,0,15,5,0,4,0,6,1,6,1,5,3,0,61,42
