pid,public.0,void.0,invalidateSession.0,String.0,uid.0,String.1,sid.0,cat.0,debug.0,"""==> invalidateSession "".100",+.0,String.2,valueOf.0,uid.1,+.1,""", "".0",+.2,String.3,valueOf.1,sid.1,+.3,""")"".0",synchronized.0,lock.0,uid2sid.0,remove.0,uid.2,sid2ssc.0,remove.1,sid.2,sid2ttl.0,remove.2,sid.3,cat.1,debug.1,"""<== invalidateSession()"".101",code,participant_summary
136,0,0,9,0,1,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,6,0,6,5,0,3,3,0,1,0,0,1,0,1,17,3
176,0,9,24,0,5,9,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,8,2,2,3,2,0,0,3,0,1,6,3,35,15
182,4,8,45,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,4,8,3,1,0,1,0,0,0,0,0,0,151,127
139,0,0,27,4,2,8,1,1,17,0,4,7,4,0,0,2,5,9,9,0,0,0,10,7,34,16,2,40,12,6,9,9,2,0,15,16,68,32
