,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,updateSchema.0,String.0,kind.0,SchemaTO.0,schemaTO.0,try.0,restTemplate.0,postForObject.0,baseURL.0,+.0,"""schema/"".0",+.1,kind.1,+.2,"""/update"".0",schemaTO.1,SchemaTO.1,class.0,catch.0,SyncopeClientCompositeErrorException.0,e.0,LOG.0,error.0,"""While updating a user schema"".100",e.1,code,participant_summary
0,136,updateSchema,4627680,1211335025742,19849418395,1,1,"(0.23312361538410187, 0.2850494384765625)","(0.22506724298000336, 0.24340572953224182)",1,1,2.5634765625,2.541656494140625,Fixation,POINT (0.2290954291820526 0.2642275840044022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335034082,19849426735,1,1,"(0.23575392365455627, 0.29874348640441895)","(0.23130512237548828, 0.25298872590065)",1,1,2.570556640625,2.555038452148437,Fixation,POINT (0.2335295230150223 0.2758661061525345),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335042416,19849435068,1,1,"(0.23245751857757568, 0.2963249981403351)","(0.23214595019817352, 0.24795328080654144)",1,1,2.59375,2.535858154296875,Fixation,POINT (0.2323017343878746 0.2721391394734383),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335050749,19849443401,1,1,"(0.2321723848581314, 0.294315904378891)","(0.23114018142223358, 0.2596811056137085)",1,1,2.5675201416015625,2.5443115234375,Fixation,POINT (0.2316562831401825 0.2769985049962997),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335059083,19849451735,1,1,"(0.23687218129634857, 0.29640358686447144)","(0.22341328859329224, 0.25151732563972473)",1,1,2.5731964111328125,2.5516510009765625,Fixation,POINT (0.2301427349448204 0.2739604562520981),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335067416,19849460068,1,1,"(0.2399890124797821, 0.29082849621772766)","(0.22003543376922607, 0.251350462436676)",1,1,2.577056884765625,2.56048583984375,Fixation,POINT (0.2300122231245041 0.2710894793272018),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335075749,19849468401,1,1,"(0.2379102110862732, 0.2876882255077362)","(0.2217557430267334, 0.2520475387573242)",1,1,2.5860137939453125,2.55364990234375,Fixation,POINT (0.2298329770565033 0.2698678821325302),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335084083,19849476735,1,1,"(0.23646710813045502, 0.28426480293273926)","(0.22646068036556244, 0.253561407327652)",1,1,2.562164306640625,2.529937744140625,Fixation,POINT (0.2314638942480087 0.2689131051301956),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335092416,19849485068,1,1,"(0.22989439964294434, 0.2989735007286072)","(0.23045247793197632, 0.26432305574417114)",1,1,2.5808258056640625,2.558319091796875,Fixation,POINT (0.2301734387874603 0.2816482782363892),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335100749,19849493401,1,1,"(0.23197819292545319, 0.2921398878097534)","(0.2331887185573578, 0.2662913203239441)",1,1,2.5758819580078125,2.5679473876953125,Fixation,POINT (0.2325834557414055 0.2792156040668488),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
