,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,String.0,fetchString.0,int.0,register.0,int.1,len.0,int.2,ret.0,=.0,getData.0,register.1,byteBuff.0,8.0,char.0,[].0,charBuff.0,=.1,new.0,char.1,len.1,for.0,int.3,i.0,=.2,0.0,i.1,<.0,len.2,i.2,charBuff.1,i.3,=.3,byteBuff.1,i.4,==.0,0.1,?.0,' '.0,:.0,char.2,byteBuff.2,i.5,].0,return.0,new.1,String.1,charBuff.2,0.2,len.3,prewritten,accurate,missing,unnecessary,readable,code
0,136,fetchString,24245709,1210630640242,19145035485,1,1,"(0.529525876045227, 0.1165754646062851)","(0.5253003239631653, 0.11935874074697495)",1,1,2.6485595703125,2.719345092773437,,POINT (0.5274131000041962 0.11796710267663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630648576,19145043819,1,1,"(0.5321674346923828, 0.11708986014127731)","(0.5269480347633362, 0.12083388864994049)",1,1,2.637725830078125,2.7206268310546875,Fixation,POINT (0.5295577347278595 0.1189618743956089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630656908,19145052151,1,1,"(0.5306410789489746, 0.11309897154569626)","(0.5271411538124084, 0.12008646130561829)",1,1,2.62591552734375,2.7079315185546875,Fixation,POINT (0.5288911163806915 0.1165927164256573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630665242,19145060485,1,1,"(0.5330442786216736, 0.10941603034734726)","(0.5298098921775818, 0.12373970448970795)",1,1,2.614776611328125,2.706146240234375,Fixation,POINT (0.5314270853996277 0.1165778674185276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630673576,19145068819,1,1,"(0.5294906497001648, 0.11078951507806778)","(0.5291205644607544, 0.12717071175575256)",1,1,2.6247711181640625,2.71405029296875,Fixation,POINT (0.5293056070804596 0.1189801134169102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630681909,19145077152,1,1,"(0.5320756435394287, 0.1121407002210617)","(0.5269001722335815, 0.12843306362628937)",1,1,2.6209259033203125,2.707794189453125,Fixation,POINT (0.5294879078865051 0.1202868819236755),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630690242,19145085485,1,1,"(0.5313435196876526, 0.1081354096531868)","(0.530794620513916, 0.12878777086734772)",1,1,2.6204071044921875,2.713851928710937,Fixation,POINT (0.5310690701007843 0.1184615902602673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630698575,19145093818,1,1,"(0.5317798852920532, 0.10759203135967255)","(0.5302491784095764, 0.13175301253795624)",1,1,2.6266632080078125,2.698577880859375,Fixation,POINT (0.5310145318508148 0.1196725219488144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630706909,19145102152,1,1,"(0.532792329788208, 0.11245305091142654)","(0.5292025804519653, 0.13527850806713104)",1,1,2.6263580322265625,2.702178955078125,Fixation,POINT (0.5309974551200867 0.1238657794892788),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630715242,19145110485,1,1,"(0.5372608304023743, 0.10770823061466217)","(0.5295296311378479, 0.12797433137893677)",1,1,2.6107177734375,2.703720092773437,Fixation,POINT (0.5333952307701111 0.1178412809967995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
