,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
0,136,BFSdist,44521080,1212082129921,20596519603,1,1,"(0.9125362038612366, 0.3710974454879761)","(0.915985643863678, 0.39792415499687195)",1,1,2.60589599609375,2.5309295654296875,Fixation,POINT (0.9142609238624573 0.384510800242424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082138255,20596527937,1,1,"(0.9070473313331604, 0.37777698040008545)","(0.9206914901733398, 0.40456461906433105)",1,1,2.620330810546875,2.54827880859375,Fixation,POINT (0.9138694107532501 0.3911707997322082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082146588,20596536270,1,1,"(0.9165838956832886, 0.38768523931503296)","(0.9182935953140259, 0.3899465799331665)",1,1,2.6200714111328125,2.5395660400390625,Fixation,POINT (0.9174387454986572 0.3888159096240997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082154922,20596544604,1,1,"(0.9088404774665833, 0.37021806836128235)","(0.9143067002296448, 0.4110240936279297)",1,1,2.6262664794921875,2.5315704345703125,Fixation,POINT (0.911573588848114 0.390621080994606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082163255,20596552937,1,1,"(0.9108163714408875, 0.39056023955345154)","(0.9141579270362854, 0.38652151823043823)",1,1,2.592514038085937,2.52947998046875,Fixation,POINT (0.9124871492385864 0.3885408788919449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082171592,20596561274,1,1,"(0.9018662571907043, 0.3617132008075714)","(0.9211927056312561, 0.39009273052215576)",1,1,2.623809814453125,2.5278472900390625,Fixation,POINT (0.9115294814109802 0.3759029656648636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082179925,20596569607,1,1,"(0.9055942296981812, 0.38379305601119995)","(0.9251754879951477, 0.41149911284446716)",1,1,2.6203155517578125,2.5475311279296875,Fixation,POINT (0.9153848588466644 0.3976460844278336),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082188259,20596577941,1,1,"(0.913668692111969, 0.3933964669704437)","(0.9139037728309631, 0.38835668563842773)",1,1,2.634063720703125,2.5392303466796875,Fixation,POINT (0.9137862324714661 0.3908765763044357),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082196592,20596586274,1,1,"(0.9025095105171204, 0.3600142002105713)","(0.918897271156311, 0.40578919649124146)",1,1,2.607940673828125,2.543243408203125,Fixation,POINT (0.9107033908367157 0.3829016983509064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082204925,20596594607,1,1,"(0.9032104015350342, 0.36364006996154785)","(0.9165968298912048, 0.40025508403778076)",1,1,2.626129150390625,2.5596160888671875,Fixation,POINT (0.9099036157131195 0.3819475769996643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082213259,20596602941,1,1,"(0.9035013318061829, 0.3878503739833832)","(0.9213714003562927, 0.3933333456516266)",1,1,2.601043701171875,2.55169677734375,Fixation,POINT (0.9124363660812378 0.3905918598175049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
