,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WordFormGenerator.0,getFastestGenerator.0,final.0,Locale.0,locale.0,throws.0,MorphologyException.0,if.0,locale.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.0,"""The 'loc' argument cannot be nan "".100",WordFormGenerator.1,component.0,=.0,WordFormGenerator.2,fastestGenerators.0,get.0,locale.2,if.1,component.1,==.1,nan.1,throw.1,new.1,MorphologyException.1,"""Cannot find generator for locales : "".101",+.0,locale.3,toString.0,return.0,component.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getFastestGenerator,34609355,1209948313981,18462711768,1,1,"(0.21101181209087372, 0.20488859713077545)","(0.21214689314365387, 0.2133636176586151)",1,1,2.471786499023437,2.508392333984375,Fixation,POINT (0.2115793526172638 0.2091261073946953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948322314,18462720101,1,1,"(0.2084348499774933, 0.20495590567588806)","(0.2169637680053711, 0.2174278050661087)",1,1,2.482696533203125,2.499481201171875,Fixation,POINT (0.2126993089914322 0.2111918553709984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948330647,18462728434,1,1,"(0.20979559421539307, 0.20428553223609924)","(0.21540361642837524, 0.21804948151111603)",1,1,2.481719970703125,2.5030517578125,Fixation,POINT (0.2125996053218842 0.2111675068736076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948338980,18462736767,1,1,"(0.21268801391124725, 0.20145465433597565)","(0.21391674876213074, 0.2084370255470276)",1,1,2.47454833984375,2.473114013671875,Fixation,POINT (0.213302381336689 0.2049458399415016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948347314,18462745101,1,1,"(0.20920898020267487, 0.20119178295135498)","(0.21328479051589966, 0.20321518182754517)",1,1,2.47833251953125,2.4837188720703125,Fixation,POINT (0.2112468853592873 0.2022034823894501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948355647,18462753434,1,1,"(0.21245859563350677, 0.20378798246383667)","(0.21176494657993317, 0.20824754238128662)",1,1,2.458526611328125,2.480560302734375,Fixation,POINT (0.21211177110672 0.2060177624225616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948363984,18462761770,1,1,"(0.21377579867839813, 0.19859960675239563)","(0.2094019651412964, 0.20321543514728546)",1,1,2.464324951171875,2.474349975585937,Fixation,POINT (0.2115888819098473 0.2009075209498406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948372318,18462770104,1,1,"(0.2111259400844574, 0.19912809133529663)","(0.21129153668880463, 0.2170247733592987)",1,1,2.4726715087890625,2.493011474609375,Fixation,POINT (0.211208738386631 0.2080764323472977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948380651,18462778437,1,1,"(0.20896543562412262, 0.19936448335647583)","(0.21343447268009186, 0.2141253501176834)",1,1,2.4587860107421875,2.496063232421875,Fixation,POINT (0.2111999541521072 0.2067449167370796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948388985,18462786771,1,1,"(0.2134670615196228, 0.19506992399692535)","(0.2123173177242279, 0.21705210208892822)",1,1,2.453216552734375,2.503204345703125,Fixation,POINT (0.2128921896219254 0.2060610130429268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948397318,18462795104,1,1,"(0.2134219855070114, 0.19345222413539886)","(0.21373386681079865, 0.21455632150173187)",1,1,2.45947265625,2.49578857421875,Fixation,POINT (0.213577926158905 0.2040042728185654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948405651,18462803437,1,1,"(0.21027816832065582, 0.2004074603319168)","(0.21283884346485138, 0.21527403593063354)",1,1,2.4640655517578125,2.5016326904296875,Fixation,POINT (0.2115585058927536 0.2078407481312752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948413984,18462811770,1,1,"(0.21103085577487946, 0.19945187866687775)","(0.21419918537139893, 0.21780098974704742)",1,1,2.4661407470703125,2.4975738525390625,Fixation,POINT (0.2126150205731392 0.2086264342069626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
