,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,setTopAttributes.0,Attributes.0,from.0,for.0,int.0,i.0,=.0,0.0,i.1,<.0,from.1,getLength.0,i.2,topMenu.0,setAttribute.0,from.2,getLocalName.0,i.3,from.3,getValue.0,i.4,topMenu.1,setAttribute.1,from.4,getQName.0,i.5,from.5,getValue.1,i.6,prewritten,accurate,missing,unnecessary,readable,code
0,136,setTopAttributes,22628734,1209874286138,18388684192,1,1,"(0.7309591770172119, 0.18927258253097534)","(0.7575010657310486, 0.22566919028759003)",1,1,2.7429962158203125,2.735595703125,,POINT (0.7442301213741302 0.2074708864092827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,setTopAttributes,22628734,1209874319473,18388717527,1,1,"(0.6623117327690125, 0.1056797131896019)","(0.6618734002113342, 0.12031864374876022)",1,1,2.77337646484375,2.80902099609375,Fixation,POINT (0.6620925664901733 0.1129991784691811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874327807,18388725861,1,1,"(0.656272292137146, 0.10291353613138199)","(0.6604454517364502, 0.10885493457317352)",1,1,2.7655792236328125,2.8055572509765625,Fixation,POINT (0.6583588719367981 0.1058842353522778),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874336140,18388734194,1,1,"(0.6560064554214478, 0.10812576115131378)","(0.6581955552101135, 0.11310713738203049)",1,1,2.760894775390625,2.8081817626953125,Fixation,POINT (0.6571010053157806 0.1106164492666721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874344473,18388742527,1,1,"(0.6547662019729614, 0.11362861096858978)","(0.6566674113273621, 0.11674641817808151)",1,1,2.768341064453125,2.81744384765625,Fixation,POINT (0.6557168066501617 0.1151875145733356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874352807,18388750861,1,1,"(0.6587391495704651, 0.11928951740264893)","(0.6545723676681519, 0.1203610971570015)",1,1,2.756210327148437,2.8142242431640625,Fixation,POINT (0.6566557586193085 0.1198253072798252),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874361140,18388759194,1,1,"(0.6578969955444336, 0.12072625011205673)","(0.6566389203071594, 0.12115735560655594)",1,1,2.765045166015625,2.8092041015625,Fixation,POINT (0.6572679579257965 0.1209418028593063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874369473,18388767527,1,1,"(0.6587178707122803, 0.1112125888466835)","(0.6508674621582031, 0.12645581364631653)",1,1,2.730209350585937,2.8131103515625,Fixation,POINT (0.6547926664352417 0.1188342012465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874377807,18388775861,1,1,"(0.6577026844024658, 0.11923247575759888)","(0.6520925164222717, 0.11992695927619934)",1,1,2.760223388671875,2.806259155273437,Fixation,POINT (0.6548976004123688 0.1195797175168991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874386140,18388784194,1,1,"(0.6577657461166382, 0.11755678057670593)","(0.6535146236419678, 0.12092924863100052)",1,1,2.75335693359375,2.8045654296875,Fixation,POINT (0.655640184879303 0.1192430146038532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874394473,18388792527,1,1,"(0.6553031206130981, 0.11123070865869522)","(0.6542277336120605, 0.1228216290473938)",1,1,2.7276153564453125,2.8043365478515625,Fixation,POINT (0.6547654271125793 0.1170261688530445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874402807,18388800861,1,1,"(0.657538115978241, 0.12139052152633667)","(0.6514581441879272, 0.12553216516971588)",1,1,2.77020263671875,2.812774658203125,Fixation,POINT (0.6544981300830841 0.1234613433480263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874411139,18388809193,1,1,"(0.6576312780380249, 0.12510883808135986)","(0.6562784314155579, 0.12160571664571762)",1,1,2.7537078857421875,2.81097412109375,Fixation,POINT (0.6569548547267914 0.1233572773635387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874419473,18388817527,1,1,"(0.6565943360328674, 0.12502360343933105)","(0.6558491587638855, 0.1291944533586502)",1,1,2.759918212890625,2.8048248291015625,Fixation,POINT (0.6562217473983765 0.1271090283989906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874427806,18388825860,1,1,"(0.654511034488678, 0.1211344376206398)","(0.6504055857658386, 0.12373646348714828)",1,1,2.7457275390625,2.8173065185546875,Fixation,POINT (0.6524583101272583 0.122435450553894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setTopAttributes,22628734,1209874436143,18388834197,1,1,"(0.6573486924171448, 0.11762908101081848)","(0.6543819308280945, 0.12315917760133743)",1,1,2.749984741210937,2.811859130859375,Fixation,POINT (0.6558653116226196 0.120394129306078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
