,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,init.0,_innerData.0,=.0,Collections.0,synchronizedMap.0,new.0,LinkedHashMap.0,String.0,Object.0,>.0,Iterator.0,Entry.0,<.2,String.1,Object.1,>.1,itr.0,=.1,_srcModel.0,entrySet.0,iterator.0,while.0,itr.1,hasNext.0,Entry.1,String.2,Object.2,>.3,entry.0,=.2,itr.2,next.0,_innerData.1,put.0,entry.1,getKey.0,entry.2,getValue.0,_srcListener.0,=.3,new.1,ListDataListener.0,public.1,void.1,onChange.0,ListDataEvent.0,event.0,onListDataChange.0,event.1,};	.0,_srcModel.1,addListDataListener.0,_srcListener.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,init,43040436,1209072213490,17586614518,1,1,"(0.666351854801178, 0.3147400915622711)","(0.6804021000862122, 0.3131091296672821)",1,1,2.5249786376953125,2.4364471435546875,Fixation,POINT (0.6733769774436951 0.3139246106147766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072221823,17586622851,1,1,"(0.6594306230545044, 0.3071461319923401)","(0.6668686270713806, 0.32103317975997925)",1,1,2.476776123046875,2.4377593994140625,Fixation,POINT (0.6631496250629425 0.3140896558761597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072230156,17586631184,1,1,"(0.6602868437767029, 0.3068903684616089)","(0.667831301689148, 0.30693915486335754)",1,1,2.459259033203125,2.416473388671875,Fixation,POINT (0.6640590727329254 0.3069147616624832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072238491,17586639518,1,1,"(0.6551452875137329, 0.316085547208786)","(0.6690300703048706, 0.30690956115722656)",1,1,2.478515625,2.388427734375,Fixation,POINT (0.6620876789093018 0.3114975541830063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072246829,17586647856,1,1,"(0.657045841217041, 0.3108688294887543)","(0.6705198287963867, 0.3005552291870117)",1,1,2.476669311523437,2.397430419921875,Fixation,POINT (0.6637828350067139 0.305712029337883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072255162,17586656189,1,1,"(0.6557317972183228, 0.32222363352775574)","(0.6697927117347717, 0.29570913314819336)",1,1,2.517578125,2.40826416015625,Fixation,POINT (0.6627622544765472 0.3089663833379746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072263496,17586664523,1,1,"(0.6569772958755493, 0.3210721015930176)","(0.6731147170066833, 0.3028024733066559)",1,1,2.4723663330078125,2.393218994140625,Fixation,POINT (0.6650460064411163 0.3119372874498367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072271829,17586672856,1,1,"(0.6598434448242188, 0.3155626952648163)","(0.6735411286354065, 0.3061622679233551)",1,1,2.496566772460937,2.357574462890625,Fixation,POINT (0.6666922867298126 0.3108624815940857),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072280162,17586681189,1,1,"(0.6608321070671082, 0.3174905478954315)","(0.6757378578186035, 0.311317503452301)",1,1,2.4801177978515625,2.397445678710937,Fixation,POINT (0.6682849824428558 0.3144040256738663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072288496,17586689523,1,1,"(0.6651244163513184, 0.30743929743766785)","(0.675022542476654, 0.31050240993499756)",1,1,2.4871063232421875,2.38739013671875,Fixation,POINT (0.6700734794139862 0.3089708536863327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
