,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,refreshTreePanel.0,root.0,removeAllChildren.0,root.1,=.0,new.0,DefaultMutableTreeNode.0,"""ALL"".0",treeModel.0,=.1,new.1,DefaultTreeModel.0,root.2,tree.0,setModel.0,treeModel.1,tree.1,setBounds.0,new.2,Rectangle.0,0.0,0.1,196.0,443.0,tree.2,setLayout.0,nan.0,tree.3,setBackground.0,Color.0,white.0,tree.4,setCellRenderer.0,new.3,UserIconRenderer.0,addAllUsers.0,TreePath.0,treePath.0,=.2,tree.5,getPathForRow.0,0.2,tree.6,fireTreeExpanded.0,treePath.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,refreshTreePanel,35553511,1208460132191,16974534910,1,1,"(0.5180143713951111, 0.2792615294456482)","(0.5141222476959229, 0.29719802737236023)",1,1,2.700164794921875,2.798583984375,Fixation,POINT (0.516068309545517 0.2882297784090042),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460140524,16974543243,1,1,"(0.5183742046356201, 0.2735075354576111)","(0.5159184336662292, 0.29269930720329285)",1,1,2.704086303710937,2.8105010986328125,Fixation,POINT (0.5171463191509247 0.283103421330452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460148857,16974551576,1,1,"(0.5215710997581482, 0.27683159708976746)","(0.5105608105659485, 0.2913743853569031)",1,1,2.7169342041015625,2.8067169189453125,Fixation,POINT (0.5160659551620483 0.2841029912233353),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460157191,16974559910,1,1,"(0.5153372883796692, 0.287861168384552)","(0.5072921514511108, 0.2909383773803711)",1,1,2.719345092773437,2.8105010986328125,Fixation,POINT (0.51131471991539 0.2893997728824616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460165524,16974568243,1,1,"(0.5166318416595459, 0.28696221113204956)","(0.5086575746536255, 0.2941380441188812)",1,1,2.710418701171875,2.80914306640625,Fixation,POINT (0.5126447081565857 0.2905501276254654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460173858,16974576577,1,1,"(0.5158949494361877, 0.28530153632164)","(0.5142373442649841, 0.2979705035686493)",1,1,2.7089080810546875,2.8156280517578125,Fixation,POINT (0.5150661468505859 0.2916360199451446),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460182191,16974584910,1,1,"(0.5190635323524475, 0.285288542509079)","(0.5155019164085388, 0.2943168580532074)",1,1,2.69940185546875,2.811798095703125,Fixation,POINT (0.5172827243804932 0.2898027002811432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460190524,16974593243,1,1,"(0.5216917991638184, 0.2772338390350342)","(0.5114663243293762, 0.2963566780090332)",1,1,2.6875762939453125,2.777099609375,Fixation,POINT (0.5165790617465973 0.2867952585220337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460198857,16974601576,1,1,"(0.5197048783302307, 0.2822410464286804)","(0.5097298622131348, 0.28747159242630005)",1,1,2.713836669921875,2.79290771484375,Fixation,POINT (0.5147173702716827 0.2848563194274902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460207191,16974609910,1,1,"(0.5188028812408447, 0.2779470384120941)","(0.5055184364318848, 0.2966488301753998)",1,1,2.684661865234375,2.785507202148437,Fixation,POINT (0.5121606588363647 0.287297934293747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
