,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,close.0,Tabpanel.0,tempPanel.0,=.0,nan.0,View.0,tempView.0,=.1,nan.1,List.0,?.0,>.0,list.0,Enumeration.0,Tabbox.0,>.1,tabs.0,=.2,primaryTabMap.0,keys.0,while.0,tabs.1,hasMoreElements.0,list.1,=.3,tabs.2,nextElement.0,getTabpanels.0,getChildren.0,Iterator.0,?.1,>.2,itr.0,=.4,list.2,iterator.0,while.1,itr.1,hasNext.0,tempPanel.1,=.5,Tabpanel.1,itr.2,next.0,tempView.1,=.6,View.1,tempPanel.2,getChildren.1,get.0,0.0,tempView.2,deregisterView.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,close,34413807,1208395604802,16910007681,1,1,"(0.10011995583772659, 0.4614375829696655)","(0.10735754668712616, 0.4645828306674957)",1,1,2.8092041015625,2.85382080078125,Fixation,POINT (0.1037387512624264 0.4630102068185806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395613135,16910016014,1,1,"(0.10069400817155838, 0.45267200469970703)","(0.10711875557899475, 0.46742376685142517)",1,1,2.7893218994140625,2.8656158447265625,Fixation,POINT (0.1039063818752766 0.4600478857755661),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395621469,16910024348,1,1,"(0.10214531421661377, 0.45766758918762207)","(0.11012264341115952, 0.4618191719055176)",1,1,2.8175048828125,2.856414794921875,Fixation,POINT (0.1061339788138866 0.4597433805465698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395629806,16910032685,1,1,"(0.0990234836935997, 0.4649834930896759)","(0.11080565303564072, 0.46520575881004333)",1,1,2.8122711181640625,2.86474609375,Fixation,POINT (0.1049145683646202 0.4650946259498596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395638139,16910041018,1,1,"(0.10201050341129303, 0.4472123682498932)","(0.11056718230247498, 0.4691736698150635)",1,1,2.793563842773437,2.8648681640625,Fixation,POINT (0.106288842856884 0.4581930190324783),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395646473,16910049352,1,1,"(0.0988265797495842, 0.44781795144081116)","(0.11107954382896423, 0.46478208899497986)",1,1,2.808685302734375,2.8641815185546875,Fixation,POINT (0.1049530617892742 0.4563000202178955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395654806,16910057685,1,1,"(0.10159072279930115, 0.45431455969810486)","(0.10783569514751434, 0.46047094464302063)",1,1,2.7951202392578125,2.850341796875,Fixation,POINT (0.1047132089734078 0.4573927521705627),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395663140,16910066018,1,1,"(0.10114698857069016, 0.4470164477825165)","(0.10748878121376038, 0.45864900946617126)",1,1,2.8062744140625,2.85150146484375,Fixation,POINT (0.1043178848922253 0.4528327286243439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395671474,16910074352,1,1,"(0.09682110697031021, 0.45115965604782104)","(0.11030115187168121, 0.46411728858947754)",1,1,2.7982330322265625,2.849334716796875,Fixation,POINT (0.1035611294209957 0.4576384723186493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395679807,16910082685,1,1,"(0.0907277837395668, 0.4480762779712677)","(0.10657889395952225, 0.4666832685470581)",1,1,2.813446044921875,2.8537750244140625,Fixation,POINT (0.0986533388495445 0.4573797732591629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
