,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,moveUpTarget.0,int.0,index.0,Object.0,target.0,=.0,targets.0,get.0,index.1,if.0,index.2,==.0,0.0,||.0,target.1,==.1,nan.0,return;.0,targets.1,set.0,index.3,targets.2,get.1,index.4,-.0,1.0,targets.3,set.1,index.5,-.1,1.1,target.2,log.0,debug.0,"""New ordering"".100",for.0,int.1,i.0,=.1,0.1,i.1,<.0,targets.4,size.0,i.2,log.1,debug.1,"""|t"".0",+.0,i.3,+.1,targets.5,get.2,i.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,moveUpTarget,37762493,1208477141154,16991543822,1,1,"(0.08794879168272018, 0.34084391593933105)","(0.10269734263420105, 0.36080479621887207)",1,1,2.5763702392578125,2.588973999023437,Fixation,POINT (0.0953230671584606 0.3508243560791016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477149487,16991552155,1,1,"(0.08512460440397263, 0.35183146595954895)","(0.10123548656702042, 0.36648717522621155)",1,1,2.564117431640625,2.548324584960937,Fixation,POINT (0.0931800454854965 0.3591593205928802),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477157823,16991560491,1,1,"(0.08508355915546417, 0.34840139746665955)","(0.10409414768218994, 0.36568117141723633)",1,1,2.5748291015625,2.5531005859375,Fixation,POINT (0.0945888534188271 0.3570412844419479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477166156,16991568824,1,1,"(0.09158506989479065, 0.3529089391231537)","(0.10147968679666519, 0.36762508749961853)",1,1,2.5816192626953125,2.5489654541015625,Fixation,POINT (0.0965323783457279 0.3602670133113861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477174489,16991577157,1,1,"(0.09004887193441391, 0.3507136106491089)","(0.09704452753067017, 0.36892417073249817)",1,1,2.57012939453125,2.564315795898437,Fixation,POINT (0.093546699732542 0.3598188906908035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477182823,16991585491,1,1,"(0.08886413276195526, 0.34408271312713623)","(0.09760041534900665, 0.3791716992855072)",1,1,2.57586669921875,2.5716552734375,Fixation,POINT (0.093232274055481 0.3616272062063217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477191156,16991593824,1,1,"(0.09292151033878326, 0.3584178388118744)","(0.09983260184526443, 0.38073813915252686)",1,1,2.562835693359375,2.58001708984375,Fixation,POINT (0.0963770560920238 0.3695779889822006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477199489,16991602157,1,1,"(0.09482073783874512, 0.35900625586509705)","(0.09855230897665024, 0.3757380247116089)",1,1,2.579940795898437,2.579132080078125,Fixation,POINT (0.0966865234076977 0.367372140288353),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477207823,16991610491,1,1,"(0.09312539547681808, 0.34677112102508545)","(0.10038837790489197, 0.3808381259441376)",1,1,2.5747528076171875,2.571044921875,Fixation,POINT (0.096756886690855 0.3638046234846115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477216156,16991618824,1,1,"(0.09750489145517349, 0.3481200635433197)","(0.0999491959810257, 0.37778934836387634)",1,1,2.570404052734375,2.5515594482421875,Fixation,POINT (0.0987270437180996 0.362954705953598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
