,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,swapItems.0,int.0,index.0,int.1,change.0,if.0,index.1,>=.0,0.0,&&.0,index.2,<.0,allItems.0,length.0,&&.1,change.1,>=.1,0.1,&&.2,change.2,<.1,allItems.1,length.1,MenuItem.0,temp.0,=.0,allItems.2,index.3,allItems.3,index.4,=.1,allItems.4,change.3,allItems.5,change.4,=.2,temp.1,code,participant_summary
0,136,swapItems,36634895,1211643837749,20158229215,1,1,"(0.34743767976760864, 0.19103986024856567)","(0.33629727363586426, 0.16818509995937347)",1,1,2.38079833984375,2.389266967773437,,POINT (0.3418674767017364 0.1796124801039696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644429440,20158820905,1,1,"(0.4012002944946289, 0.20042984187602997)","(0.40155452489852905, 0.19922347366809845)",1,1,2.30706787109375,2.382293701171875,,POINT (0.401377409696579 0.1998266577720642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644446106,20158837571,1,1,"(0.44054651260375977, 0.1854442059993744)","(0.4291146993637085, 0.1915762573480606)",1,1,2.326141357421875,2.3219146728515625,Fixation,POINT (0.4348306059837341 0.1885102316737175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644462773,20158854238,1,1,"(0.43335437774658203, 0.18999764323234558)","(0.42993468046188354, 0.1676078587770462)",1,1,2.3607330322265625,2.37213134765625,,POINT (0.4316445291042328 0.1788027510046959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644471106,20158862571,1,1,"(0.44299378991127014, 0.1980154812335968)","(0.43105897307395935, 0.16409575939178467)",1,1,2.3443756103515625,2.3315582275390625,Fixation,POINT (0.4370263814926148 0.1810556203126907),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644479440,20158870905,1,1,"(0.4421312212944031, 0.19150502979755402)","(0.4298913776874542, 0.16992884874343872)",1,1,2.334457397460937,2.3354034423828125,Fixation,POINT (0.4360112994909286 0.1807169392704964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211644487773,20158879238,1,1,"(0.4358891248703003, 0.19034887850284576)","(0.42430081963539124, 0.19551406800746918)",1,1,2.323471069335937,2.3115234375,Fixation,POINT (0.4300949722528458 0.1929314732551575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645054467,20159445930,1,1,"(0.28754276037216187, 0.18861842155456543)","(0.2924211323261261, 0.1662626415491104)",1,1,2.3087158203125,2.2981109619140625,,POINT (0.289981946349144 0.1774405315518379),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645062801,20159454264,1,1,"(0.2885119318962097, 0.18061576783657074)","(0.29712074995040894, 0.16327182948589325)",1,1,2.3074951171875,2.303375244140625,Fixation,POINT (0.2928163409233093 0.171943798661232),,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645071134,20159462597,1,1,"(0.2771158218383789, 0.19166341423988342)","(0.29513776302337646, 0.16077163815498352)",1,1,2.313873291015625,2.3052215576171875,Fixation,POINT (0.2861267924308777 0.1762175261974335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
