,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,modifyRoleInCache.0,Role.0,role.0,String.0,orgRolename.0,Set.0,users.0,=.0,role.1,getUsers.0,for.0,Iterator.0,iter.0,=.1,users.1,iterator.0,iter.1,hasNext.0,User.0,user.0,=.2,User.1,iter.2,next.0,userDetailsInCache.0,user.1,for.1,Iterator.1,iter.3,=.3,role.2,getRescs.0,iterator.1,iter.4,hasNext.1,Resource.0,resource.0,=.4,Resource.1,iter.5,next.1,resourceDetailsInCache.0,resource.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,modifyRoleInCache,1118165,1210174939396,18689336309,1,1,"(0.7123581767082214, 0.2057291716337204)","(0.7169729471206665, 0.1993372142314911)",1,1,2.589813232421875,2.5458984375,Fixation,POINT (0.714665561914444 0.2025331929326057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174947731,18689344643,1,1,"(0.7119043469429016, 0.20857581496238708)","(0.7190830707550049, 0.1964074820280075)",1,1,2.586944580078125,2.541961669921875,Fixation,POINT (0.7154937088489532 0.2024916484951973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174956064,18689352976,1,1,"(0.7105200290679932, 0.20879177749156952)","(0.715386152267456, 0.1939334124326706)",1,1,2.591705322265625,2.533065795898437,Fixation,POINT (0.7129530906677246 0.2013625949621201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174964396,18689361309,1,1,"(0.7150703072547913, 0.20972567796707153)","(0.7138568162918091, 0.19264934957027435)",1,1,2.59222412109375,2.5606842041015625,Fixation,POINT (0.7144635617733002 0.2011875137686729),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174972730,18689369643,1,1,"(0.7125310897827148, 0.21012620627880096)","(0.7147166132926941, 0.19524931907653809)",1,1,2.5691375732421875,2.5386962890625,Fixation,POINT (0.7136238515377045 0.2026877626776695),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174981063,18689377976,1,1,"(0.715179443359375, 0.2057119607925415)","(0.7126064896583557, 0.2007373720407486)",1,1,2.5678253173828125,2.522811889648437,Fixation,POINT (0.7138929665088654 0.203224666416645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174989397,18689386310,1,1,"(0.7130761742591858, 0.21099846065044403)","(0.7126403450965881, 0.20276851952075958)",1,1,2.5807037353515625,2.53900146484375,Fixation,POINT (0.712858259677887 0.2068834900856018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210174997735,18689394648,1,1,"(0.7191402316093445, 0.2070411741733551)","(0.7115855813026428, 0.20088209211826324)",1,1,2.580657958984375,2.5339813232421875,Fixation,POINT (0.7153629064559937 0.2039616331458092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175006068,18689402981,1,1,"(0.7130294442176819, 0.20622900128364563)","(0.7140108942985535, 0.19931942224502563)",1,1,2.5805206298828125,2.519317626953125,Fixation,POINT (0.7135201692581177 0.2027742117643356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175014402,18689411315,1,1,"(0.7122847437858582, 0.20178763568401337)","(0.715040385723114, 0.19819441437721252)",1,1,2.5759735107421875,2.514144897460937,Fixation,POINT (0.7136625647544861 0.199991025030613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175022735,18689419648,1,1,"(0.7096888422966003, 0.2066311538219452)","(0.7172155380249023, 0.20061847567558289)",1,1,2.5518951416015625,2.5218658447265625,Fixation,POINT (0.7134521901607513 0.203624814748764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175031068,18689427981,1,1,"(0.7142847776412964, 0.19955696165561676)","(0.7169309258460999, 0.1982632428407669)",1,1,2.5624237060546875,2.5128326416015625,Fixation,POINT (0.7156078517436981 0.1989101022481918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175039401,18689436314,1,1,"(0.7142001390457153, 0.20560407638549805)","(0.7141764163970947, 0.19450832903385162)",1,1,2.5561981201171875,2.507049560546875,Fixation,POINT (0.714188277721405 0.2000562027096748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175047735,18689444648,1,1,"(0.7167636752128601, 0.20590521395206451)","(0.7124937176704407, 0.19628915190696716)",1,1,2.5617218017578125,2.52294921875,Fixation,POINT (0.7146286964416504 0.2010971829295158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175056068,18689452981,1,1,"(0.7051174640655518, 0.20940858125686646)","(0.7076348662376404, 0.20218652486801147)",1,1,2.5557861328125,2.50531005859375,Fixation,POINT (0.7063761651515961 0.205797553062439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,modifyRoleInCache,1118165,1210175072735,18689469648,1,1,"(0.670903742313385, 0.21227817237377167)","(0.6744518876075745, 0.2155480980873108)",1,1,2.5443115234375,2.4990386962890625,Fixation,POINT (0.6726778149604797 0.2139131352305412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175081068,18689477981,1,1,"(0.6703262329101562, 0.21238045394420624)","(0.6749205589294434, 0.20860502123832703)",1,1,2.5579833984375,2.502197265625,Fixation,POINT (0.6726233959197998 0.2104927375912666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175089402,18689486315,1,1,"(0.6689502596855164, 0.21409766376018524)","(0.6754500269889832, 0.20875506103038788)",1,1,2.5240936279296875,2.494842529296875,Fixation,POINT (0.6722001433372498 0.2114263623952866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175097735,18689494648,1,1,"(0.6654932498931885, 0.22004617750644684)","(0.6744461059570312, 0.21347340941429138)",1,1,2.524658203125,2.488754272460937,Fixation,POINT (0.6699696779251099 0.2167597934603691),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175106067,18689502981,1,1,"(0.6675047874450684, 0.21563470363616943)","(0.6731349229812622, 0.21233922243118286)",1,1,2.5403594970703125,2.474090576171875,Fixation,POINT (0.6703198552131653 0.2139869630336762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175114401,18689511315,1,1,"(0.6661813259124756, 0.21734440326690674)","(0.6739649772644043, 0.20943348109722137)",1,1,2.5323944091796875,2.495849609375,Fixation,POINT (0.6700731515884399 0.2133889421820641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175122734,18689519648,1,1,"(0.6677528023719788, 0.21566163003444672)","(0.6750736236572266, 0.20811697840690613)",1,1,2.531005859375,2.479721069335937,Fixation,POINT (0.6714132130146027 0.2118893042206764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175131072,18689527986,1,1,"(0.6687974333763123, 0.21766765415668488)","(0.6720334887504578, 0.21046370267868042)",1,1,2.511505126953125,2.479721069335937,Fixation,POINT (0.670415461063385 0.2140656784176826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175139405,18689536319,1,1,"(0.6673967242240906, 0.21568375825881958)","(0.6724028587341309, 0.20717591047286987)",1,1,2.5093536376953125,2.463043212890625,Fixation,POINT (0.6698997914791107 0.2114298343658447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175147738,18689544652,1,1,"(0.6716635823249817, 0.22322987020015717)","(0.6722129583358765, 0.20683515071868896)",1,1,2.512664794921875,2.4619903564453125,Fixation,POINT (0.6719382703304291 0.2150325104594231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175156072,18689552986,1,1,"(0.6729140877723694, 0.21716845035552979)","(0.6749839186668396, 0.2090526819229126)",1,1,2.517547607421875,2.455047607421875,Fixation,POINT (0.6739490032196045 0.2131105661392212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175164405,18689561319,1,1,"(0.6710624694824219, 0.21514590084552765)","(0.673847496509552, 0.20699098706245422)",1,1,2.512725830078125,2.4465484619140625,Fixation,POINT (0.6724549829959869 0.2110684439539909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175172739,18689569653,1,1,"(0.6712275147438049, 0.22143326699733734)","(0.6742411255836487, 0.2074645608663559)",1,1,2.50433349609375,2.4576416015625,Fixation,POINT (0.6727343201637268 0.2144489139318466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175181072,18689577986,1,1,"(0.6705173254013062, 0.21762149035930634)","(0.6750321984291077, 0.20857951045036316)",1,1,2.503936767578125,2.452362060546875,Fixation,POINT (0.6727747619152069 0.2131005004048348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175189405,18689586319,1,1,"(0.6681087017059326, 0.22125551104545593)","(0.6756516695022583, 0.20954692363739014)",1,1,2.508453369140625,2.453353881835937,Fixation,POINT (0.6718801856040955 0.215401217341423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175197739,18689594653,1,1,"(0.6704382300376892, 0.21308915317058563)","(0.672166645526886, 0.20796526968479156)",1,1,2.482894897460937,2.4366455078125,Fixation,POINT (0.6713024377822876 0.2105272114276886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175206072,18689602986,1,1,"(0.6712465286254883, 0.21793748438358307)","(0.6764872670173645, 0.2113325446844101)",1,1,2.5041961669921875,2.4515838623046875,Fixation,POINT (0.6738668978214264 0.2146350145339966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175214406,18689611320,1,1,"(0.6738860011100769, 0.21798530220985413)","(0.6755473613739014, 0.20666824281215668)",1,1,2.490325927734375,2.437362670898437,Fixation,POINT (0.6747166812419891 0.2123267725110054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175222738,18689619652,1,1,"(0.6695738434791565, 0.2145117074251175)","(0.6724040508270264, 0.20672790706157684)",1,1,2.4700164794921875,2.426010131835937,Fixation,POINT (0.6709889471530914 0.2106198072433472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175231071,18689627986,1,1,"(0.6665086150169373, 0.21079760789871216)","(0.6759503483772278, 0.21176943182945251)",1,1,2.4925537109375,2.4254302978515625,Fixation,POINT (0.6712294816970825 0.2112835198640823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175239405,18689636320,1,1,"(0.670373797416687, 0.21336330473423004)","(0.6736353635787964, 0.2072448581457138)",1,1,2.48138427734375,2.41900634765625,Fixation,POINT (0.6720045804977417 0.2103040814399719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175247737,18689644652,1,1,"(0.6713643074035645, 0.21882760524749756)","(0.6731718182563782, 0.2135952115058899)",1,1,2.483154296875,2.418365478515625,Fixation,POINT (0.6722680628299713 0.2162114083766937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175256071,18689652986,1,1,"(0.6733168959617615, 0.21466274559497833)","(0.6761205792427063, 0.21279549598693848)",1,1,2.47283935546875,2.410385131835937,Fixation,POINT (0.6747187376022339 0.2137291207909584),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175264409,18689661324,1,1,"(0.6711697578430176, 0.21655450761318207)","(0.6754904389381409, 0.21401004493236542)",1,1,2.4813385009765625,2.4304962158203125,Fixation,POINT (0.6733300983905792 0.2152822762727737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175272742,18689669657,1,1,"(0.6671355366706848, 0.21392810344696045)","(0.674959123134613, 0.2085176408290863)",1,1,2.478485107421875,2.410263061523437,Fixation,POINT (0.6710473299026489 0.2112228721380234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175281076,18689677991,1,1,"(0.6714898943901062, 0.21524953842163086)","(0.6773208379745483, 0.22063198685646057)",1,1,2.4515838623046875,2.4155731201171875,Fixation,POINT (0.6744053661823273 0.2179407626390457),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175289409,18689686324,1,1,"(0.6703764796257019, 0.21984358131885529)","(0.6742702126502991, 0.21495702862739563)",1,1,2.4459381103515625,2.39984130859375,Fixation,POINT (0.6723233461380005 0.2174003049731255),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175297743,18689694658,1,1,"(0.6697974801063538, 0.2234133780002594)","(0.6757965087890625, 0.21258020401000977)",1,1,2.4570465087890625,2.4115447998046875,Fixation,POINT (0.6727969944477081 0.2179967910051346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175306076,18689702991,1,1,"(0.667462944984436, 0.21639329195022583)","(0.6730996966362, 0.21085898578166962)",1,1,2.459213256835937,2.3950347900390625,Fixation,POINT (0.670281320810318 0.2136261388659477),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175314409,18689711324,1,1,"(0.6688327193260193, 0.2091078907251358)","(0.6741251945495605, 0.21280911564826965)",1,1,2.446258544921875,2.4046173095703125,Fixation,POINT (0.6714789569377899 0.2109585031867027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175322743,18689719658,1,1,"(0.6681942939758301, 0.2184024453163147)","(0.6768555045127869, 0.21534457802772522)",1,1,2.45489501953125,2.387542724609375,Fixation,POINT (0.6725248992443085 0.21687351167202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175331077,18689727991,1,1,"(0.6687045693397522, 0.2162390798330307)","(0.6722163558006287, 0.21834160387516022)",1,1,2.4515838623046875,2.396957397460937,Fixation,POINT (0.6704604625701904 0.2172903418540955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175339411,18689736325,1,1,"(0.6678152680397034, 0.21577657759189606)","(0.6739630103111267, 0.21581855416297913)",1,1,2.463287353515625,2.3905792236328125,Fixation,POINT (0.670889139175415 0.2157975658774376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175347742,18689744657,1,1,"(0.6707609295845032, 0.21641449630260468)","(0.6744652986526489, 0.2143118679523468)",1,1,2.441024780273437,2.4009552001953125,Fixation,POINT (0.672613114118576 0.2153631821274757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175356076,18689752991,1,1,"(0.6673489212989807, 0.2111835926771164)","(0.6738961338996887, 0.21833643317222595)",1,1,2.4383697509765625,2.38623046875,Fixation,POINT (0.6706225275993347 0.2147600129246712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175364409,18689761324,1,1,"(0.6722587943077087, 0.2154386043548584)","(0.6737897992134094, 0.21356090903282166)",1,1,2.452301025390625,2.392822265625,Fixation,POINT (0.6730242967605591 0.21449975669384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175372742,18689769657,1,1,"(0.6646608114242554, 0.221796452999115)","(0.674263060092926, 0.20988473296165466)",1,1,2.4559326171875,2.3812255859375,Fixation,POINT (0.6694619357585907 0.2158405929803848),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175381076,18689777991,1,1,"(0.6673260927200317, 0.2149467021226883)","(0.6730188727378845, 0.20848067104816437)",1,1,2.4502410888671875,2.3843994140625,Fixation,POINT (0.6701724827289581 0.2117136865854263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175389414,18689786329,1,1,"(0.6684001684188843, 0.2186020463705063)","(0.6760541200637817, 0.20830649137496948)",1,1,2.439666748046875,2.3595123291015625,Fixation,POINT (0.672227144241333 0.2134542688727379),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,modifyRoleInCache,1118165,1210175397747,18689794662,1,1,"(0.6674237847328186, 0.21804393827915192)","(0.6740331649780273, 0.2101522535085678)",1,1,2.433013916015625,2.366424560546875,Fixation,POINT (0.670728474855423 0.2140980958938599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
