,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,getMessage.0,StringBuffer.0,sb.0,=.0,new.0,StringBuffer.1,if.0,messages.0,!=.0,nan.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,messages.1,size.0,i.2,Object.0,o.0,=.2,messages.2,elementAt.0,i.3,if.1,o.1,!=.1,nan.1,sb.1,append.0,o.2,toString.0,sb.2,append.1,"""|n"".0",return.0,sb.3,toString.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getMessage,51122387,1209070213417,17584614451,1,1,"(0.07600212097167969, 0.2052500694990158)","(0.0792473554611206, 0.18870113790035248)",1,1,2.5147857666015625,2.417877197265625,Fixation,POINT (0.0776247382164002 0.1969756036996841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070221750,17584622784,1,1,"(0.07759395241737366, 0.20228378474712372)","(0.07852140069007874, 0.1922457069158554)",1,1,2.5049285888671875,2.4192657470703125,Fixation,POINT (0.0780576765537262 0.1972647458314896),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070230085,17584631118,1,1,"(0.07659686356782913, 0.20075200498104095)","(0.07766325026750565, 0.1897416114807129)",1,1,2.51776123046875,2.4343414306640625,Fixation,POINT (0.0771300569176674 0.1952468082308769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070238418,17584639451,1,1,"(0.06762522459030151, 0.215489000082016)","(0.07096676528453827, 0.19324955344200134)",1,1,2.48974609375,2.438140869140625,Fixation,POINT (0.0692959949374199 0.2043692767620087),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070246751,17584647784,1,1,"(0.055829621851444244, 0.18452546000480652)","(0.07455623149871826, 0.18315832316875458)",1,1,2.50335693359375,2.404632568359375,Fixation,POINT (0.0651929266750812 0.1838418915867806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070255085,17584656118,1,1,"(0.03948105126619339, 0.17254018783569336)","(0.058892857283353806, 0.1764526665210724)",1,1,2.4606475830078125,2.43212890625,Fixation,POINT (0.0491869542747736 0.1744964271783829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getMessage,51122387,1209070263418,17584664451,1,1,"(0.05210355669260025, 0.150767520070076)","(0.06524309515953064, 0.170712411403656)",1,1,2.481597900390625,2.3990936279296875,Fixation,POINT (0.0586733259260654 0.160739965736866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070271751,17584672784,1,1,"(0.053560372442007065, 0.152530699968338)","(0.0719996765255928, 0.15040449798107147)",1,1,2.484603881835937,2.4254913330078125,Fixation,POINT (0.0627800244837999 0.1514675989747047),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070280090,17584681123,1,1,"(0.05935174971818924, 0.16008226573467255)","(0.0719909742474556, 0.15307098627090454)",1,1,2.49169921875,2.4126129150390625,Fixation,POINT (0.0656713619828224 0.1565766260027885),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070288424,17584689457,1,1,"(0.058623313903808594, 0.15246497094631195)","(0.06259681284427643, 0.16462844610214233)",1,1,2.505111694335937,2.4564666748046875,Fixation,POINT (0.0606100633740425 0.1585467085242271),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
