,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,appendDeclarations.0,LaTeXDocumentPortion.0,pack.0,LaTeXDocumentPortion.1,decl.0,if.0,bContainsEndnotes.0,pack.1,append.0,"""\\usepackage{endnotes}"".0",).0,nl.0,if.1,bContainsFootnotes.0,convertFootnotesConfiguration.0,decl.1,if.2,bContainsEndnotes.1,convertEndnotesConfiguration.0,decl.2,code,participant_summary
0,136,appendDeclarations,36405409,1211063148525,19577542209,1,1,"(0.5106287598609924, 0.10043581575155258)","(0.5002782940864563, 0.10427739471197128)",1,1,2.6211700439453125,2.689605712890625,,POINT (0.5054535269737244 0.1023566052317619),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063156858,19577550542,1,1,"(0.5072115063667297, 0.10485076159238815)","(0.4986540973186493, 0.10426036268472672)",1,1,2.6042633056640625,2.690460205078125,Fixation,POINT (0.5029328018426895 0.1045555621385574),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063165192,19577558876,1,1,"(0.5131525993347168, 0.09810243546962738)","(0.4982280433177948, 0.11045465618371964)",1,1,2.603744506835937,2.687225341796875,Fixation,POINT (0.5056903213262558 0.1042785458266735),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063173528,19577567212,1,1,"(0.5111276507377625, 0.09800776839256287)","(0.4976089596748352, 0.11412407457828522)",1,1,2.6129302978515625,2.691268920898437,Fixation,POINT (0.5043683052062988 0.106065921485424),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063181861,19577575545,1,1,"(0.5126405358314514, 0.10479801893234253)","(0.49771371483802795, 0.10112464427947998)",1,1,2.5937042236328125,2.67962646484375,Fixation,POINT (0.5051771253347397 0.1029613316059112),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063190195,19577583879,1,1,"(0.5125444531440735, 0.10895557701587677)","(0.5008524656295776, 0.09688261151313782)",1,1,2.61053466796875,2.689605712890625,Fixation,POINT (0.5066984593868256 0.1029190942645073),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063198528,19577592212,1,1,"(0.5150827169418335, 0.10155116766691208)","(0.5032774806022644, 0.09608298540115356)",1,1,2.612060546875,2.6796417236328125,Fixation,POINT (0.509180098772049 0.0988170765340328),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063206861,19577600545,1,1,"(0.511998176574707, 0.11208195984363556)","(0.502885639667511, 0.11300021409988403)",1,1,2.606536865234375,2.6926727294921875,Fixation,POINT (0.507441908121109 0.1125410869717598),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063215195,19577608879,1,1,"(0.5157254338264465, 0.11470510810613632)","(0.5056329965591431, 0.10867364704608917)",1,1,2.602523803710937,2.681488037109375,Fixation,POINT (0.5106792151927948 0.1116893775761128),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063223528,19577617212,1,1,"(0.5179314613342285, 0.10985585302114487)","(0.5067480206489563, 0.1077171191573143)",1,1,2.612167358398437,2.68829345703125,Fixation,POINT (0.5123397409915924 0.1087864860892296),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063231861,19577625545,1,1,"(0.5124645233154297, 0.10704454779624939)","(0.5049472451210022, 0.09545372426509857)",1,1,2.606414794921875,2.69219970703125,Fixation,POINT (0.5087058842182159 0.101249136030674),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063240195,19577633879,1,1,"(0.5127446055412292, 0.11096388101577759)","(0.5082195401191711, 0.10090164095163345)",1,1,2.6133270263671875,2.687591552734375,Fixation,POINT (0.5104820728302002 0.1059327609837055),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063248528,19577642212,1,1,"(0.5126727223396301, 0.1082080602645874)","(0.5028589963912964, 0.098887600004673)",1,1,2.6140594482421875,2.69500732421875,Fixation,POINT (0.5077658593654633 0.1035478301346302),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063256861,19577650545,1,1,"(0.5163876414299011, 0.11044850945472717)","(0.5046312212944031, 0.10143504291772842)",1,1,2.6071929931640625,2.6937408447265625,Fixation,POINT (0.5105094313621521 0.1059417761862278),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063265195,19577658879,1,1,"(0.5176567435264587, 0.10911040753126144)","(0.5052655935287476, 0.10713382065296173)",1,1,2.6001129150390625,2.68487548828125,Fixation,POINT (0.5114611685276031 0.1081221140921116),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063273528,19577667212,1,1,"(0.5166171193122864, 0.11428574472665787)","(0.4997099041938782, 0.11184962838888168)",1,1,2.583358764648437,2.684051513671875,Fixation,POINT (0.5081635117530823 0.1130676865577698),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063281861,19577675545,1,1,"(0.5162867903709412, 0.11057495325803757)","(0.5006372928619385, 0.11484784632921219)",1,1,2.592147827148437,2.6768341064453125,Fixation,POINT (0.5084620416164398 0.1127113997936249),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063290195,19577683879,1,1,"(0.5126627087593079, 0.10330361127853394)","(0.49717745184898376, 0.10750780254602432)",1,1,2.60919189453125,2.679473876953125,Fixation,POINT (0.5049200803041458 0.1054057069122791),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063298528,19577692212,1,1,"(0.5098324418067932, 0.10685592889785767)","(0.5015957951545715, 0.10624241828918457)",1,1,2.6041412353515625,2.6605224609375,Fixation,POINT (0.5057141184806824 0.1065491735935211),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063306868,19577700552,1,1,"(0.511085569858551, 0.10445887595415115)","(0.5037121772766113, 0.10469987243413925)",1,1,2.595565795898437,2.653717041015625,Fixation,POINT (0.5073988735675812 0.1045793741941452),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063315202,19577708886,1,1,"(0.5078643560409546, 0.10205767303705215)","(0.5049206018447876, 0.10153055191040039)",1,1,2.594955444335937,2.667144775390625,Fixation,POINT (0.5063924789428711 0.1017941124737263),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063323535,19577717219,1,1,"(0.5136584043502808, 0.10687711834907532)","(0.5057728290557861, 0.09226826578378677)",1,1,2.5952301025390625,2.667953491210937,Fixation,POINT (0.5097156167030334 0.099572692066431),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063331868,19577725552,1,1,"(0.5152066349983215, 0.10478252917528152)","(0.5062605142593384, 0.09748741239309311)",1,1,2.6147613525390625,2.6650390625,Fixation,POINT (0.51073357462883 0.1011349707841873),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063340202,19577733886,1,1,"(0.5137403607368469, 0.10740748047828674)","(0.502744197845459, 0.0998620092868805)",1,1,2.6112213134765625,2.662139892578125,Fixation,POINT (0.508242279291153 0.1036347448825836),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063348535,19577742219,1,1,"(0.5158644318580627, 0.10578642785549164)","(0.49822020530700684, 0.09727142006158829)",1,1,2.5965576171875,2.6596832275390625,Fixation,POINT (0.5070423185825348 0.10152892395854),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063356869,19577750552,1,1,"(0.5137984156608582, 0.10453292727470398)","(0.5001447796821594, 0.09638503193855286)",1,1,2.5796661376953125,2.6745147705078125,Fixation,POINT (0.5069715976715088 0.1004589796066284),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063365203,19577758886,1,1,"(0.511319637298584, 0.11425725370645523)","(0.5007693767547607, 0.09525732696056366)",1,1,2.5804595947265625,2.6359405517578125,Fixation,POINT (0.5060445070266724 0.1047572903335094),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063373536,19577767219,1,1,"(0.5123998522758484, 0.10643061250448227)","(0.5032685995101929, 0.09964411705732346)",1,1,2.58880615234375,2.6703643798828125,Fixation,POINT (0.5078342258930206 0.1030373647809029),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063381869,19577775552,1,1,"(0.512405514717102, 0.10769514739513397)","(0.5029425024986267, 0.10270676016807556)",1,1,2.5850067138671875,2.637420654296875,Fixation,POINT (0.5076740086078644 0.1052009537816048),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063390203,19577783886,1,1,"(0.5105515718460083, 0.09747953712940216)","(0.5046146512031555, 0.10462462157011032)",1,1,2.587982177734375,2.648834228515625,Fixation,POINT (0.5075831115245819 0.1010520793497562),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063398536,19577792219,1,1,"(0.5128466486930847, 0.1072019636631012)","(0.5071253776550293, 0.11346888542175293)",1,1,2.587066650390625,2.64892578125,Fixation,POINT (0.509986013174057 0.1103354245424271),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063415203,19577808886,1,1,"(0.5399488806724548, 0.11554064601659775)","(0.5283263325691223, 0.10762760788202286)",1,1,2.599090576171875,2.63555908203125,Fixation,POINT (0.5341376066207886 0.1115841269493103),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063423536,19577817219,1,1,"(0.5363100171089172, 0.11321685463190079)","(0.5268287062644958, 0.10859401524066925)",1,1,2.596771240234375,2.6558074951171875,Fixation,POINT (0.5315693616867065 0.110905434936285),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063431869,19577825552,1,1,"(0.5361764430999756, 0.11102835088968277)","(0.5319035053253174, 0.1035262793302536)",1,1,2.565826416015625,2.6595458984375,Fixation,POINT (0.5340399742126465 0.1072773151099682),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063440208,19577833891,1,1,"(0.5352990627288818, 0.12327588349580765)","(0.5347020626068115, 0.1090087816119194)",1,1,2.591766357421875,2.6546783447265625,Fixation,POINT (0.5350005626678467 0.1161423325538635),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063448541,19577842224,1,1,"(0.5341429710388184, 0.10649128258228302)","(0.5320107340812683, 0.106370709836483)",1,1,2.5867462158203125,2.6455841064453125,Fixation,POINT (0.5330768525600433 0.106430996209383),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063456874,19577850557,1,1,"(0.5329838395118713, 0.10056547075510025)","(0.5327921509742737, 0.11078441888093948)",1,1,2.572418212890625,2.6400299072265625,Fixation,POINT (0.5328879952430725 0.1056749448180199),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063465208,19577858891,1,1,"(0.5318962335586548, 0.11052466183900833)","(0.5354775190353394, 0.11310352385044098)",1,1,2.576034545898437,2.6302642822265625,Fixation,POINT (0.5336868762969971 0.1118140928447247),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063473541,19577867224,1,1,"(0.5309039950370789, 0.10815634578466415)","(0.5352517366409302, 0.11742765456438065)",1,1,2.5701904296875,2.66241455078125,Fixation,POINT (0.5330778658390045 0.1127920001745224),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063481874,19577875557,1,1,"(0.532896101474762, 0.11302121728658676)","(0.5339412689208984, 0.10002321749925613)",1,1,2.5807342529296875,2.63250732421875,Fixation,POINT (0.5334186851978302 0.1065222173929214),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063490208,19577883891,1,1,"(0.5317877531051636, 0.11200118809938431)","(0.5291982889175415, 0.10076962411403656)",1,1,2.5774383544921875,2.6242828369140625,Fixation,POINT (0.5304930210113525 0.1063854061067104),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063498541,19577892224,1,1,"(0.5327345132827759, 0.11154472827911377)","(0.5307267904281616, 0.10565970838069916)",1,1,2.566558837890625,2.615707397460937,Fixation,POINT (0.5317306518554688 0.1086022183299065),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063506874,19577900557,1,1,"(0.5348713994026184, 0.10723481327295303)","(0.5318831205368042, 0.10377825796604156)",1,1,2.547943115234375,2.6182098388671875,Fixation,POINT (0.5333772599697113 0.1055065356194973),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063515208,19577908891,1,1,"(0.5293087959289551, 0.10294411331415176)","(0.5335598587989807, 0.10607888549566269)",1,1,2.572662353515625,2.6127166748046875,Fixation,POINT (0.5314343273639679 0.1045114994049072),,,,,,,,,,,,,,,,,,,,,,,1,
