,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,messageSent.0,MessageEvent.0,e.0,String.0,str.0,=.0,e.1,getMessage.0,if.0,str.1,endsWith.0,DIR_ADDED.0,str.2,=.1,str.3,substring.0,DIRECTORY.0,length.0,str.4,indexOf.0,DIR_ADDED.1,)).0,trim.0,createCvsFiles.0,str.5,super.0,messageSent.1,e.2,code,participant_summary
0,136,messageSent,19413001,1211757825568,20272216553,1,1,"(0.6791465878486633, 0.1796647012233734)","(0.6818161010742188, 0.1874871402978897)",1,1,2.582504272460937,2.59014892578125,,POINT (0.680481344461441 0.1835759207606316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757833902,20272224887,1,1,"(0.6679503917694092, 0.18106383085250854)","(0.6825788617134094, 0.18511447310447693)",1,1,2.572174072265625,2.600341796875,Fixation,POINT (0.6752646267414093 0.1830891519784927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757842235,20272233220,1,1,"(0.677219033241272, 0.18295784294605255)","(0.674098014831543, 0.19535480439662933)",1,1,2.5828857421875,2.582061767578125,Fixation,POINT (0.6756585240364075 0.1891563236713409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757850568,20272241553,1,1,"(0.675795316696167, 0.18906381726264954)","(0.6717978715896606, 0.19887761771678925)",1,1,2.585189819335937,2.5889434814453125,Fixation,POINT (0.6737965941429138 0.1939707174897194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757858902,20272249887,1,1,"(0.6712234020233154, 0.1915234625339508)","(0.6777529716491699, 0.19746290147304535)",1,1,2.5694122314453125,2.595077514648437,Fixation,POINT (0.6744881868362427 0.1944931820034981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757867235,20272258220,1,1,"(0.6808947920799255, 0.17794007062911987)","(0.6799049377441406, 0.19479483366012573)",1,1,2.590667724609375,2.5860137939453125,Fixation,POINT (0.6803998649120331 0.1863674521446228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757875568,20272266553,1,1,"(0.6808058023452759, 0.17205308377742767)","(0.6806052923202515, 0.19684630632400513)",1,1,2.5741729736328125,2.586517333984375,Fixation,POINT (0.6807055473327637 0.1844496950507164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757883907,20272274892,1,1,"(0.6788563132286072, 0.17435839772224426)","(0.6790061593055725, 0.2080947905778885)",1,1,2.5884246826171875,2.5950164794921875,Fixation,POINT (0.6789312362670898 0.1912265941500664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757892240,20272283225,1,1,"(0.6815842986106873, 0.1780995875597)","(0.6810988783836365, 0.20145881175994873)",1,1,2.5830535888671875,2.5930633544921875,Fixation,POINT (0.6813415884971619 0.1897791996598244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757900573,20272291558,1,1,"(0.6743965148925781, 0.17778217792510986)","(0.6786221265792847, 0.19283358752727509)",1,1,2.572250366210937,2.59039306640625,Fixation,POINT (0.6765093207359314 0.1853078827261925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757908907,20272299892,1,1,"(0.6746286153793335, 0.17850343883037567)","(0.6731812357902527, 0.19146107137203217)",1,1,2.565765380859375,2.584213256835937,Fixation,POINT (0.6739049255847931 0.1849822551012039),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757917240,20272308225,1,1,"(0.677644670009613, 0.17304770648479462)","(0.6668857336044312, 0.20224681496620178)",1,1,2.5890350341796875,2.583953857421875,Fixation,POINT (0.6722652018070221 0.1876472607254982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757925573,20272316558,1,1,"(0.6817727088928223, 0.1709507405757904)","(0.679863452911377, 0.1945166289806366)",1,1,2.5834197998046875,2.5972900390625,Fixation,POINT (0.6808180809020996 0.1827336847782135),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757933907,20272324892,1,1,"(0.680228054523468, 0.16935767233371735)","(0.6780104637145996, 0.1925208568572998)",1,1,2.5714569091796875,2.588897705078125,Fixation,POINT (0.6791192591190338 0.1809392645955086),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757942240,20272333225,1,1,"(0.6767209768295288, 0.1763099581003189)","(0.6714413166046143, 0.1871793568134308)",1,1,2.579833984375,2.5757293701171875,Fixation,POINT (0.6740811467170715 0.1817446574568748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757950574,20272341558,1,1,"(0.6813874244689941, 0.1776008903980255)","(0.6778749823570251, 0.18197128176689148)",1,1,2.580307006835937,2.596343994140625,Fixation,POINT (0.6796312034130096 0.1797860860824585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757958908,20272349892,1,1,"(0.6749900579452515, 0.18039573729038239)","(0.6679114103317261, 0.19368542730808258)",1,1,2.59228515625,2.57965087890625,Fixation,POINT (0.6714507341384888 0.1870405822992325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757967241,20272358225,1,1,"(0.6817308068275452, 0.17963172495365143)","(0.675078272819519, 0.18621812760829926)",1,1,2.5989227294921875,2.601654052734375,Fixation,POINT (0.6784045398235321 0.1829249262809753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757975574,20272366558,1,1,"(0.6756348013877869, 0.17921367287635803)","(0.6697715520858765, 0.19231641292572021)",1,1,2.59149169921875,2.5814971923828125,Fixation,POINT (0.6727031767368317 0.1857650429010391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757983908,20272374892,1,1,"(0.683602511882782, 0.1656297743320465)","(0.6738494634628296, 0.2000720351934433)",1,1,2.594573974609375,2.5910186767578125,Fixation,POINT (0.6787259876728058 0.1828509047627449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211757992241,20272383225,1,1,"(0.6759540438652039, 0.18791913986206055)","(0.676545262336731, 0.19960713386535645)",1,1,2.592742919921875,2.588531494140625,Fixation,POINT (0.6762496531009674 0.1937631368637085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758000574,20272391558,1,1,"(0.6773918867111206, 0.17670762538909912)","(0.667778491973877, 0.1971237063407898)",1,1,2.601669311523437,2.5891571044921875,Fixation,POINT (0.6725851893424988 0.1869156658649445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758008908,20272399892,1,1,"(0.6755775809288025, 0.18016968667507172)","(0.6766120195388794, 0.1901962161064148)",1,1,2.588043212890625,2.5912322998046875,Fixation,POINT (0.6760948002338409 0.1851829513907433),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758017245,20272408229,1,1,"(0.6731557846069336, 0.18540488183498383)","(0.6646714806556702, 0.19315747916698456)",1,1,2.579559326171875,2.5925750732421875,Fixation,POINT (0.6689136326313019 0.1892811805009842),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758025578,20272416562,1,1,"(0.6794679760932922, 0.1832290142774582)","(0.6763834357261658, 0.18887831270694733)",1,1,2.579574584960937,2.58148193359375,Fixation,POINT (0.677925705909729 0.1860536634922028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758033912,20272424896,1,1,"(0.6780189275741577, 0.17992572486400604)","(0.6668257117271423, 0.1869535893201828)",1,1,2.59600830078125,2.60284423828125,Fixation,POINT (0.67242231965065 0.1834396570920944),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758042245,20272433229,1,1,"(0.6746731400489807, 0.18823449313640594)","(0.6780481338500977, 0.1877795308828354)",1,1,2.58380126953125,2.5907135009765625,Fixation,POINT (0.6763606369495392 0.1880070120096207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758050578,20272441562,1,1,"(0.6803271770477295, 0.1906549483537674)","(0.6741124391555786, 0.1953568160533905)",1,1,2.599716186523437,2.591659545898437,Fixation,POINT (0.677219808101654 0.193005882203579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758058910,20272449894,1,1,"(0.6742857694625854, 0.1750374287366867)","(0.6722675561904907, 0.1944887787103653)",1,1,2.5686187744140625,2.582382202148437,Fixation,POINT (0.6732766628265381 0.184763103723526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758067243,20272458227,1,1,"(0.6760876774787903, 0.17285138368606567)","(0.673138439655304, 0.19470259547233582)",1,1,2.5718536376953125,2.581283569335937,Fixation,POINT (0.6746130585670471 0.1837769895792007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758075578,20272466562,1,1,"(0.6798110604286194, 0.17459231615066528)","(0.668163001537323, 0.19424349069595337)",1,1,2.5595703125,2.576141357421875,Fixation,POINT (0.6739870309829712 0.1844179034233093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758083912,20272474896,1,1,"(0.6798527240753174, 0.17828117311000824)","(0.6671212315559387, 0.200400248169899)",1,1,2.574493408203125,2.5727691650390625,Fixation,POINT (0.673486977815628 0.1893407106399536),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758092245,20272483229,1,1,"(0.6777333617210388, 0.18242987990379333)","(0.6716166138648987, 0.1921263486146927)",1,1,2.5430908203125,2.5567626953125,Fixation,POINT (0.6746749877929688 0.187278114259243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211758175583,20272566567,1,1,"(0.12114901840686798, 0.15933643281459808)","(0.12866811454296112, 0.12945157289505005)",1,1,2.5294189453125,2.6194000244140625,Fixation,POINT (0.1249085664749146 0.1443940028548241),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211758183918,20272574901,1,1,"(0.1170550286769867, 0.1598241627216339)","(0.12569987773895264, 0.1346563845872879)",1,1,2.51654052734375,2.625595092773437,Fixation,POINT (0.1213774532079697 0.1472402736544609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211758192251,20272583234,1,1,"(0.12696616351604462, 0.16333386301994324)","(0.12053285539150238, 0.13510118424892426)",1,1,2.5141754150390625,2.606964111328125,Fixation,POINT (0.1237495094537735 0.1492175236344338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
