,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testGetCodigo.0,System.0,out.0,println.0,"""getCodigo"".0",Cronograma.0,instance.0,=.0,nan.0,String.0,expResult.0,=.1,""""".0",String.1,result.0,=.2,instance.1,getCodigo.0,assertEquals.0,expResult.1,result.1,// TODO review the generated test code and remove the default call to fail..200,fail.0,"""The test case is a prototype. "".100",prewritten,accurate,missing,unnecessary,readable,code
0,136,testGetCodigo,11950130,1209745197787,18259596366,1,1,"(0.8206592798233032, 0.6778159141540527)","(0.8756968379020691, 0.7214140295982361)",1,1,2.6655426025390625,2.586410522460937,,POINT (0.8481780588626862 0.6996149718761444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetCodigo,11950130,1209745247787,18259646366,1,1,"(0.6509305238723755, 0.17138254642486572)","(0.6560357213020325, 0.22483591735363007)",1,1,2.5984344482421875,2.6128387451171875,Fixation,POINT (0.653483122587204 0.1981092318892479),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745256120,18259654699,1,1,"(0.6540441513061523, 0.17171338200569153)","(0.6604827046394348, 0.21861863136291504)",1,1,2.6116485595703125,2.637557983398437,Fixation,POINT (0.6572634279727936 0.1951660066843033),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745264454,18259663033,1,1,"(0.6520881056785583, 0.16968616843223572)","(0.6563955545425415, 0.20744125545024872)",1,1,2.585784912109375,2.6242828369140625,Fixation,POINT (0.6542418301105499 0.1885637119412422),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745272788,18259671367,1,1,"(0.6506175398826599, 0.17745372653007507)","(0.6547911167144775, 0.20405621826648712)",1,1,2.5944061279296875,2.625839233398437,Fixation,POINT (0.6527043282985687 0.1907549723982811),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745281121,18259679700,1,1,"(0.6527122855186462, 0.1731945127248764)","(0.653829038143158, 0.20490704476833344)",1,1,2.580169677734375,2.6221160888671875,Fixation,POINT (0.6532706618309021 0.1890507787466049),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745289454,18259688033,1,1,"(0.65202397108078, 0.16882257163524628)","(0.648580014705658, 0.2103097289800644)",1,1,2.599212646484375,2.6318359375,Fixation,POINT (0.650301992893219 0.1895661503076553),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745297787,18259696366,1,1,"(0.6513671278953552, 0.1779637485742569)","(0.6461950540542603, 0.20570464432239532)",1,1,2.581298828125,2.637115478515625,Fixation,POINT (0.6487810909748077 0.1918341964483261),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745306122,18259704700,1,1,"(0.652733325958252, 0.17952145636081696)","(0.6467252373695374, 0.20625999569892883)",1,1,2.5895233154296875,2.6100006103515625,Fixation,POINT (0.6497292816638947 0.1928907260298729),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745314455,18259713033,1,1,"(0.6516585946083069, 0.19511620700359344)","(0.6502805948257446, 0.20969988405704498)",1,1,2.6104278564453125,2.618759155273437,Fixation,POINT (0.6509695947170258 0.2024080455303192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetCodigo,11950130,1209745322789,18259721367,1,1,"(0.6531970500946045, 0.19409316778182983)","(0.6540643572807312, 0.20536433160305023)",1,1,2.62017822265625,2.635284423828125,Fixation,POINT (0.6536307036876678 0.19972874969244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetCodigo,11950130,1209745331128,18259729706,1,1,"(0.6541023850440979, 0.19801615178585052)","(0.6523986458778381, 0.20070751011371613)",1,1,2.6190643310546875,2.6332244873046875,Fixation,POINT (0.653250515460968 0.1993618309497833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetCodigo,11950130,1209745339461,18259738039,1,1,"(0.6551538109779358, 0.1919631063938141)","(0.6524914503097534, 0.20197367668151855)",1,1,2.6119537353515625,2.6148834228515625,Fixation,POINT (0.6538226306438446 0.1969683915376663),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745347794,18259746372,1,1,"(0.6542507410049438, 0.19914554059505463)","(0.6505996584892273, 0.2031330019235611)",1,1,2.6217803955078125,2.6251983642578125,Fixation,POINT (0.6524251997470856 0.2011392712593079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetCodigo,11950130,1209745356128,18259754706,1,1,"(0.6552509665489197, 0.19822417199611664)","(0.6506475806236267, 0.1957271695137024)",1,1,2.622802734375,2.636322021484375,Fixation,POINT (0.6529492735862732 0.1969756707549095),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetCodigo,11950130,1209745364461,18259763039,1,1,"(0.6528856754302979, 0.19641070067882538)","(0.6493486762046814, 0.198388934135437)",1,1,2.6234588623046875,2.6298980712890625,Fixation,POINT (0.6511171758174896 0.1973998174071312),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
