,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,List.0,getAll.0,Object.0,key.0,Object.1,value.0,=.0,mMap.0,get.0,key.1,if.0,value.1,instanceof.0,List.1,return.0,List.2,value.2,else.0,List.3,list.0,=.1,new.0,ArrayList.0,if.1,value.3,!=.0,nan.0,||.0,mMap.1,containsKey.0,key.2,list.1,add.0,value.4,mMap.2,put.0,key.3,list.2,return.1,list.3,prewritten,accurate,missing,unnecessary,readable,code
0,136,getAll,15689897,1208094069016,16608472341,1,1,"(0.5536608099937439, 0.20617985725402832)","(0.5564371943473816, 0.25102466344833374)",1,1,2.772857666015625,2.8908843994140625,,POINT (0.5550490021705627 0.228602260351181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094077349,16608480674,1,1,"(0.5567746162414551, 0.2132280319929123)","(0.5601784586906433, 0.2534015476703644)",1,1,2.7625732421875,2.882919311523437,Fixation,POINT (0.5584765374660492 0.2333147898316383),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094085682,16608489007,1,1,"(0.5565875768661499, 0.21829089522361755)","(0.5623923540115356, 0.25415563583374023)",1,1,2.78155517578125,2.87908935546875,Fixation,POINT (0.5594899654388428 0.2362232655286789),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094094016,16608497341,1,1,"(0.5564387440681458, 0.20829519629478455)","(0.5613173842430115, 0.251648873090744)",1,1,2.763763427734375,2.89007568359375,Fixation,POINT (0.5588780641555786 0.2299720346927643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094102349,16608505674,1,1,"(0.557354748249054, 0.2111058235168457)","(0.5605114102363586, 0.2539992332458496)",1,1,2.766082763671875,2.8704986572265625,Fixation,POINT (0.5589330792427063 0.2325525283813477),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094110682,16608514007,1,1,"(0.5590503215789795, 0.21773703396320343)","(0.5587841272354126, 0.2548362910747528)",1,1,2.75018310546875,2.877182006835937,Fixation,POINT (0.558917224407196 0.2362866625189781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094119016,16608522341,1,1,"(0.5627884864807129, 0.2287600338459015)","(0.5598905086517334, 0.2597196102142334)",1,1,2.762847900390625,2.8762359619140625,Fixation,POINT (0.5613394975662231 0.2442398220300674),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094127349,16608530674,1,1,"(0.5615772008895874, 0.2313844859600067)","(0.5600144267082214, 0.2569446563720703)",1,1,2.7608184814453125,2.8719024658203125,Fixation,POINT (0.5607958137989044 0.2441645711660385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094135682,16608539007,1,1,"(0.562116265296936, 0.23672950267791748)","(0.561049222946167, 0.264370322227478)",1,1,2.747299194335937,2.8804168701171875,Fixation,POINT (0.5615827441215515 0.2505499124526978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094144016,16608547341,1,1,"(0.5615832209587097, 0.23228244483470917)","(0.5578027367591858, 0.25664186477661133)",1,1,2.7598419189453125,2.85711669921875,Fixation,POINT (0.5596929788589478 0.2444621548056602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094152354,16608555679,1,1,"(0.5579127073287964, 0.23919476568698883)","(0.5578052401542664, 0.26152142882347107)",1,1,2.7451629638671875,2.853988647460937,Fixation,POINT (0.5578589737415314 0.25035809725523),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094160687,16608564012,1,1,"(0.5563138127326965, 0.23995797336101532)","(0.5581496953964233, 0.2579001486301422)",1,1,2.7364501953125,2.878936767578125,Fixation,POINT (0.5572317540645599 0.2489290609955788),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094169021,16608572346,1,1,"(0.5537605881690979, 0.23538587987422943)","(0.556201696395874, 0.25666144490242004)",1,1,2.7305908203125,2.87274169921875,Fixation,POINT (0.554981142282486 0.2460236623883247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094177354,16608580679,1,1,"(0.5512116551399231, 0.24291923642158508)","(0.5604484677314758, 0.2594858407974243)",1,1,2.724822998046875,2.866683959960937,Fixation,POINT (0.5558300614356995 0.2512025386095047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094185687,16608589012,1,1,"(0.5495273470878601, 0.24146659672260284)","(0.5638498067855835, 0.2545476257801056)",1,1,2.7218475341796875,2.854034423828125,Fixation,POINT (0.5566885769367218 0.2480071112513542),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094194020,16608597345,1,1,"(0.5486937165260315, 0.23891811072826385)","(0.5632071495056152, 0.2548457086086273)",1,1,2.728271484375,2.852157592773437,Fixation,POINT (0.5559504330158234 0.2468819096684456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094202354,16608605679,1,1,"(0.5504432320594788, 0.22954928874969482)","(0.5646203756332397, 0.25485166907310486)",1,1,2.7358856201171875,2.8518218994140625,Fixation,POINT (0.5575318038463593 0.2422004789113998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094210687,16608614012,1,1,"(0.5528648495674133, 0.2386617362499237)","(0.5659776926040649, 0.2581656575202942)",1,1,2.7229156494140625,2.86260986328125,Fixation,POINT (0.5594212710857391 0.248413696885109),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094219020,16608622345,1,1,"(0.5534132122993469, 0.2375270575284958)","(0.5663483142852783, 0.25280657410621643)",1,1,2.7384185791015625,2.855560302734375,Fixation,POINT (0.5598807632923126 0.2451668158173561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094227354,16608630679,1,1,"(0.5539730787277222, 0.2350163757801056)","(0.5658382773399353, 0.2535325288772583)",1,1,2.7353973388671875,2.8460235595703125,Fixation,POINT (0.5599056780338287 0.244274452328682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094235687,16608639012,1,1,"(0.5552899241447449, 0.22798261046409607)","(0.5632442831993103, 0.2627617418766022)",1,1,2.7354888916015625,2.8544464111328125,Fixation,POINT (0.5592671036720276 0.2453721761703491),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094244020,16608647345,1,1,"(0.557326078414917, 0.23101367056369781)","(0.5623804330825806, 0.26005780696868896)",1,1,2.728057861328125,2.8425445556640625,Fixation,POINT (0.5598532557487488 0.2455357387661934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094252354,16608655679,1,1,"(0.5570856928825378, 0.23661157488822937)","(0.5592038035392761, 0.26034510135650635)",1,1,2.7081756591796875,2.8374786376953125,Fixation,POINT (0.558144748210907 0.2484783381223679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094260687,16608664012,1,1,"(0.5493804812431335, 0.23480699956417084)","(0.5590052008628845, 0.260747492313385)",1,1,2.7185516357421875,2.810150146484375,Fixation,POINT (0.554192841053009 0.2477772459387779),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094269021,16608672346,1,1,"(0.5550498366355896, 0.22523260116577148)","(0.5614912509918213, 0.26393863558769226)",1,1,2.7130584716796875,2.818389892578125,Fixation,POINT (0.5582705438137054 0.2445856183767319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094277357,16608680682,1,1,"(0.5561821460723877, 0.23294134438037872)","(0.5606328845024109, 0.2630447447299957)",1,1,2.723236083984375,2.8241119384765625,Fixation,POINT (0.5584075152873993 0.2479930445551872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094285690,16608689015,1,1,"(0.5526651740074158, 0.23766662180423737)","(0.5637961030006409, 0.2606968581676483)",1,1,2.70849609375,2.8236846923828125,Fixation,POINT (0.5582306385040283 0.2491817399859428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094294023,16608697348,1,1,"(0.55763840675354, 0.22616812586784363)","(0.5678905844688416, 0.26138490438461304)",1,1,2.7136688232421875,2.8139190673828125,Fixation,POINT (0.5627644956111908 0.2437765151262283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094302357,16608705682,1,1,"(0.5564433932304382, 0.22689373791217804)","(0.5670566558837891, 0.2626248598098755)",1,1,2.7081756591796875,2.8165740966796875,Fixation,POINT (0.5617500245571136 0.2447592988610268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094310690,16608714015,1,1,"(0.5592291355133057, 0.22892364859580994)","(0.5633716583251953, 0.26139000058174133)",1,1,2.7067108154296875,2.8102569580078125,Fixation,POINT (0.5613003969192505 0.2451568245887756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094319023,16608722348,1,1,"(0.5591241717338562, 0.23764608800411224)","(0.5608859658241272, 0.2649836838245392)",1,1,2.7097625732421875,2.787353515625,Fixation,POINT (0.5600050687789917 0.2513148859143257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094327357,16608730682,1,1,"(0.5497626066207886, 0.23780325055122375)","(0.5583668947219849, 0.26665177941322327)",1,1,2.6903228759765625,2.79217529296875,Fixation,POINT (0.5540647506713867 0.2522275149822235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094335690,16608739015,1,1,"(0.5517264008522034, 0.2338658720254898)","(0.559291422367096, 0.26324284076690674)",1,1,2.691635131835937,2.7648468017578125,Fixation,POINT (0.5555089116096497 0.2485543563961983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094402357,16608805682,1,1,"(0.09585048258304596, 0.18327458202838898)","(0.09404566138982773, 0.2168685495853424)",1,1,2.6024627685546875,2.783203125,Fixation,POINT (0.0949480719864368 0.2000715658068657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094410696,16608814021,1,1,"(0.08742856234312057, 0.192148819565773)","(0.08910029381513596, 0.21737094223499298)",1,1,2.617050170898437,2.777923583984375,Fixation,POINT (0.0882644280791283 0.204759880900383),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094419029,16608822354,1,1,"(0.08403072506189346, 0.20013827085494995)","(0.08818855881690979, 0.22216781973838806)",1,1,2.593902587890625,2.777572631835937,Fixation,POINT (0.0861096419394016 0.211153045296669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094427363,16608830688,1,1,"(0.08490801602602005, 0.1987512707710266)","(0.08510465919971466, 0.21579866111278534)",1,1,2.6189422607421875,2.7625885009765625,Fixation,POINT (0.0850063376128674 0.207274965941906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094435697,16608839021,1,1,"(0.08099253475666046, 0.1855234056711197)","(0.08655204623937607, 0.22468814253807068)",1,1,2.59063720703125,2.763168334960937,Fixation,POINT (0.0837722904980183 0.2051057741045952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208094444030,16608847354,1,1,"(0.09709350019693375, 0.19438758492469788)","(0.0900665670633316, 0.23321057856082916)",1,1,2.584716796875,2.7544097900390625,Fixation,POINT (0.0935800336301327 0.2137990817427635),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094452364,16608855688,1,1,"(0.09162107110023499, 0.19723722338676453)","(0.09175305813550949, 0.22492581605911255)",1,1,2.580322265625,2.7427520751953125,Fixation,POINT (0.0916870646178722 0.2110815197229385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094460695,16608864019,1,1,"(0.09236907958984375, 0.19213752448558807)","(0.08994521200656891, 0.22737456858158112)",1,1,2.582061767578125,2.7432403564453125,Fixation,POINT (0.0911571457982063 0.2097560465335846),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094469028,16608872352,1,1,"(0.08645467460155487, 0.18799687922000885)","(0.09456673264503479, 0.22913771867752075)",1,1,2.5452423095703125,2.736846923828125,Fixation,POINT (0.0905107036232948 0.2085672989487648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094477362,16608880686,1,1,"(0.08621381223201752, 0.19232046604156494)","(0.09421930462121964, 0.22767460346221924)",1,1,2.5584259033203125,2.74053955078125,Fixation,POINT (0.0902165584266186 0.2099975347518921),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getAll,15689897,1208094485695,16608889019,1,1,"(0.08050571382045746, 0.18992754817008972)","(0.0953838899731636, 0.22754298150539398)",1,1,2.5505523681640625,2.7284088134765625,Fixation,POINT (0.0879448018968105 0.2087352648377418),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
