,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
0,136,go,14477536,1211651396388,20165787823,1,1,"(0.2064562290906906, 0.23206357657909393)","(0.1716797649860382, 0.19181181490421295)",1,1,2.589141845703125,2.4252471923828125,,POINT (0.1890679970383644 0.2119376957416534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651404721,20165796156,1,1,"(0.2195834070444107, 0.2280239760875702)","(0.16661041975021362, 0.18097999691963196)",1,1,2.6081695556640625,2.340728759765625,Fixation,POINT (0.1930969133973122 0.2045019865036011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651413055,20165804490,1,1,"(0.2014017105102539, 0.21524544060230255)","(0.19103354215621948, 0.19360923767089844)",1,1,2.619415283203125,2.556365966796875,Fixation,POINT (0.1962176263332367 0.2044273391366005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651421388,20165812823,1,1,"(0.211050882935524, 0.22591839730739594)","(0.2028004378080368, 0.20214632153511047)",1,1,2.57073974609375,2.570526123046875,Fixation,POINT (0.2069256603717804 0.2140323594212532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651429721,20165821156,1,1,"(0.21787744760513306, 0.2382480651140213)","(0.20156678557395935, 0.18463227152824402)",1,1,2.6040802001953125,2.603546142578125,Fixation,POINT (0.2097221165895462 0.2114401683211327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651438055,20165829490,1,1,"(0.21526271104812622, 0.2283065915107727)","(0.20389866828918457, 0.18429474532604218)",1,1,2.5766143798828125,2.60870361328125,Fixation,POINT (0.2095806896686554 0.2063006684184074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651446388,20165837823,1,1,"(0.20701800286769867, 0.234235018491745)","(0.21376262605190277, 0.18292683362960815)",1,1,2.5977935791015625,2.6299591064453125,Fixation,POINT (0.2103903144598007 0.2085809260606766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651454724,20165846159,1,1,"(0.21563459932804108, 0.2367309182882309)","(0.2036282867193222, 0.17935574054718018)",1,1,2.5797576904296875,2.613998413085937,Fixation,POINT (0.2096314430236816 0.2080433294177055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651463058,20165854493,1,1,"(0.2063184380531311, 0.23349629342556)","(0.20448341965675354, 0.17208178341388702)",1,1,2.6034393310546875,2.6258087158203125,Fixation,POINT (0.2054009288549423 0.2027890384197235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651471391,20165862826,1,1,"(0.20802189409732819, 0.21865777671337128)","(0.2114976942539215, 0.17657196521759033)",1,1,2.5886383056640625,2.614105224609375,Fixation,POINT (0.2097597941756248 0.1976148709654808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
