,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testValidateSeparationCount.0,try.0,LinearDimension.0,validateSeparationCount.0,0.0,fail.0,catch.0,IllegalArgumentException.0,ex.0,// ok.200,try.1,LinearDimension.1,validateSeparationCount.1,-.0,2.0,fail.1,catch.1,IllegalArgumentException.1,ex.1,// ok.201,LinearDimension.2,validateSeparationCount.2,1.0,LinearDimension.3,validateSeparationCount.3,2988.0,code,participant_summary
0,136,testValidateSeparationCount,26285656,1212200001175,20714390405,1,1,"(0.6705513596534729, 0.17526324093341827)","(0.6672077775001526, 0.22278350591659546)",1,1,2.502593994140625,2.5213775634765625,,POINT (0.6688795685768127 0.1990233734250069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200009512,20714398742,1,1,"(0.6689175963401794, 0.17238707840442657)","(0.659567654132843, 0.23253871500492096)",1,1,2.493881225585937,2.526885986328125,Fixation,POINT (0.6642426252365112 0.2024628967046738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200017845,20714407075,1,1,"(0.6565648317337036, 0.17758066952228546)","(0.6574944853782654, 0.22365136444568634)",1,1,2.51629638671875,2.514678955078125,Fixation,POINT (0.6570296585559845 0.2006160169839859),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200026178,20714415408,1,1,"(0.6522685885429382, 0.17087715864181519)","(0.6605855226516724, 0.2140120416879654)",1,1,2.506744384765625,2.529266357421875,Fixation,POINT (0.6564270555973053 0.1924446001648903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200034513,20714423742,1,1,"(0.6672391295433044, 0.17459805309772491)","(0.6602925658226013, 0.22023388743400574)",1,1,2.501922607421875,2.512176513671875,Fixation,POINT (0.6637658476829529 0.1974159702658653),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200042846,20714432075,1,1,"(0.6589584350585938, 0.1730898767709732)","(0.662500262260437, 0.2181948572397232)",1,1,2.517242431640625,2.5318756103515625,Fixation,POINT (0.6607293486595154 0.1956423670053482),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200051179,20714440408,1,1,"(0.657077431678772, 0.18180952966213226)","(0.6666618585586548, 0.2100183218717575)",1,1,2.51556396484375,2.5037384033203125,Fixation,POINT (0.6618696451187134 0.1959139257669449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200059513,20714448742,1,1,"(0.6559057831764221, 0.17693887650966644)","(0.667164146900177, 0.211198091506958)",1,1,2.56524658203125,2.5221099853515625,Fixation,POINT (0.6615349650382996 0.1940684840083122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200067846,20714457075,1,1,"(0.6583519577980042, 0.18071609735488892)","(0.6729390621185303, 0.21015019714832306)",1,1,2.53338623046875,2.53997802734375,Fixation,POINT (0.6656455099582672 0.195433147251606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212200076179,20714465408,1,1,"(0.6540493965148926, 0.18135468661785126)","(0.6678887605667114, 0.19941358268260956)",1,1,2.5307769775390625,2.540313720703125,Fixation,POINT (0.660969078540802 0.1903841346502304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
