Participant,Quality,Method,functiondeclaration_FD,conditional_statement_FD,parameter_FD,variable_declaration_FD,loop_FD,argument_FD,functioncall_FD,externallydefinedvariableorfunction_FD,conditionalblock_FD,return_FD,exceptionhandling_FD,comment_FD,externalclass_FD,variable_FD,assignment_FD,literal_FD,operator_FD,operation_FD
155,2,testSetWelcomeMsg,0.0166670000180602,,,0.3158454499789512,,0.07361425002939831,0.2538801785600038,,,,,0.0,0.1833440000191331,0.0483345333292769,,0.0,,
166,2,testSetWelcomeMsg,0.0333329999120906,,,0.1489655000186758,,0.0222236666983614,0.0770892499713226,,,,,0.0,0.0,0.0583370000240393,,0.0,,
168,2,testSetWelcomeMsg,0.0484876363771036,,,0.1214291429454792,,0.0625004999941058,0.069446999967719,,,,,0.0,0.0,0.0,,0.0,,
311,1,testSetWelcomeMsg,0.0416684285903881,,,0.2787504606202918,,0.077778666683783,0.0888906745212373,,,,,0.0,0.0380967142659106,0.019445500006744,,0.0,,
318,2,testSetWelcomeMsg,0.0,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,
147,1,testSetWelcomeMsg,0.0656315624291891,,,0.1632944722498195,,0.0894466000182243,0.09835295189411081,,,,,0.0,0.0,0.0424256363820115,,0.0,,
312,0,testSetWelcomeMsg,0.0678609999844671,,,0.2560979008086999,,0.0888910000018464,0.09365257145726069,,,,,0.0,0.0,0.0,,0.0,,
319,1,getTargetServiceName,0.0,0.0,0.0,0.0333310000132769,,,,,,0.1666710000135935,0.0,0.0,,,,,,
129,2,getTargetServiceName,0.0932711481366788,0.0416685000236611,0.0,0.19889095839025667,,,,,,0.13343741667770131,0.0,0.0,,,,,,
315,0,getTargetServiceName,0.0921598529778693,0.025000000023283,0.0600771977877049,0.1048875214386497,,,,,,0.22525615681147662,0.033332999941194305,0.0166669999598525,,,,,,
176,1,searchRecipe,0.18058582809975438,0.5655656865214511,0.1166733333375305,0.0574104444434244,0.49620607136270245,,,,,0.0270843750040512,,,,,,,,
186,2,searchRecipe,0.0,0.0,0.0541685000353027,0.0,0.0,,,,,0.0,,,,,,,,
129,0,searchRecipe,0.085041113633038,0.31205699298686007,0.0433348999882582,0.0562508750081178,0.2264259413016348,,,,,0.0937514230894381,,,,,,,,
143,2,searchRecipe,0.0505567666967787,0.2635361319634065,0.0166709999903105,0.05463088888144629,0.15652773998153752,,,,,0.117226449997785,,,,,,,,
106,1,searchRecipe,0.07916941667281191,0.3487368156449956,0.0350015999996685,0.0233342999999877,0.18223544071945752,,,,,0.0576407500217707,,,,,,,,
316,0,searchRecipe,0.0611131666907264,0.17056053335545562,0.0222221666384333,0.0222229999975146,0.172509684101758,,,,,0.0533359000110067,,,,,,,,
139,2,searchRecipe,0.1020897499999288,0.43826000357110223,0.0666689999995166,0.0736034444452241,0.3960687043006818,,,,,0.0888917222216857,,,,,,,,
136,2,getBackCommand2,0.0741719999350606,0.0901813929168773,,,,,,,0.3048791250718444,0.0523821428817297,,0.050000499933958,,,,,,
166,1,getBackCommand2,0.0444511666622322,0.0800048999837598,,,,,,,0.1295111666743952,0.0792910661445656,,0.0166665000142529,,,,,,
319,0,getBackCommand2,0.0,0.0,,,,,,,0.04999199986923471,0.0,,0.0,,,,,,
310,2,getBackCommand2,0.0,0.0,,,,,,,0.0,0.0,,0.0,,,,,,
313,2,getBackCommand2,0.068058166669895,0.12223002559785978,,,,,,,0.1714356571315354,0.1166703333486414,,0.0,,,,,,
133,1,getBackCommand2,0.1208347474704637,0.08815940357172819,,,,,,,0.050004000077024,0.0333330000285059,,0.0428648569754191,,,,,,
314,1,getBackCommand2,0.1000056999851949,0.06667133331454039,,,,,,,0.17222866663845093,0.0444446666612445,,0.0166669999889563,,,,,,
136,0,clearFieldersFromField,0.0500011249678209,0.11639183897059399,,,0.11251291677278119,,,,,,,0.0,,,,,,
176,2,clearFieldersFromField,0.1000013999640941,0.2083484997773275,,,0.1781908545262094,,,,,,,0.0,,,,,,
155,2,clearFieldersFromField,0.0555570000045312,0.4062822334045663,,,0.43383594178740115,,,,,,,0.0,,,,,,
117,2,clearFieldersFromField,0.0295456363554959,0.1350030000612604,,,0.0583340000594034,,,,,,,0.0250004999979864,,,,,,
166,2,clearFieldersFromField,0.0,0.0666700000874698,,,0.1602859666648629,,,,,,,0.0,,,,,,
317,0,clearFieldersFromField,0.0312515312489267,0.14193886583359488,,,0.2540118970352395,,,,,,,0.0185185555666167,,,,,,
168,0,clearFieldersFromField,0.024998000008054,0.10861373331863419,,,0.1916675000102257,,,,,,,0.0366688000038266,,,,,,
319,0,clearFieldersFromField,0.0,0.0,,,0.0333239999599754,,,,,,,0.0,,,,,,
182,0,clearFieldersFromField,0.0453734444518987,0.0333380000083707,,,0.0708354999951552,,,,,,,0.0166670000180602,,,,,,
310,2,clearFieldersFromField,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,
129,0,clearFieldersFromField,0.0750025000015739,0.1590308333737386,,,0.23750674986513298,,,,,,,0.0458370000123977,,,,,,
111,2,clearFieldersFromField,0.14206853570829558,0.0,,,0.0,,,,,,,0.0,,,,,,
313,2,clearFieldersFromField,0.1294542499953725,0.1519914285542206,,,0.2292986060558835,,,,,,,0.0,,,,,,
315,0,clearFieldersFromField,0.03334399999585,0.08333349996246381,,,0.08334100003412451,,,,,,,0.0,,,,,,
133,0,clearFieldersFromField,0.0416694444138556,0.306641848500338,,,0.1916662497678771,,,,,,,0.0,,,,,,
143,0,clearFieldersFromField,0.0508359999977983,0.1450057999929412,,,0.1166736667122068,,,,,,,0.0,,,,,,
311,1,clearFieldersFromField,0.0708375000685919,0.26817783340363954,,,0.09722600002229831,,,,,,,0.0,,,,,,
314,2,clearFieldersFromField,0.0250014166595065,0.0,,,0.0,,,,,,,0.0,,,,,,
106,0,clearFieldersFromField,0.103506210518964,0.14659432159503238,,,0.2402928333055264,,,,,,,0.0,,,,,,
318,2,clearFieldersFromField,0.0500029999917993,0.0,,,0.0,,,,,,,0.0,,,,,,
147,1,clearFieldersFromField,0.034376624993456,0.09551779998358899,,,0.107227000101314,,,,,,,0.0,,,,,,
191,0,clearFieldersFromField,0.0405820000046135,0.1790525725586153,,,0.2523951666357569,,,,,,,0.0466690000146627,,,,,,
189,2,clearFieldersFromField,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,
316,0,clearFieldersFromField,0.0430581666587386,0.0750034999800845,,,0.0833410000195725,,,,,,,0.0,,,,,,
312,0,clearFieldersFromField,0.0,0.1499920000787824,,,0.0333358000265434,,,,,,,0.0,,,,,,
139,2,clearFieldersFromField,0.0530320000000508,0.2682057791206523,,,0.43334379999966227,,,,,,,0.0555566666668407,,,,,,
155,2,liesBetween,0.038890499990278105,0.6435292526466135,0.041671666665934,,,,,,,0.2666781999578231,,,,,,,,
186,2,liesBetween,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,
313,0,liesBetween,0.0666689444478833,0.3805654667036521,0.0861161666592426,,,,,,,0.0333339999779127,,,,,,,,
311,1,liesBetween,0.0500004999921657,0.61624132604032,0.1166717501182574,,,,,,,0.1361160000087692,,,,,,,,
314,2,liesBetween,0.08333590000693211,0.33418481665187993,0.150004666657575,,,,,,,0.0166660000104457,,,,,,,,
316,0,liesBetween,0.0755031709419961,0.1772240043060399,0.1166709999088197,,,,,,,0.0777813333552329,,,,,,,,
312,0,liesBetween,0.0388913333493595,0.0677752333382764,0.050003999844193306,,,,,,,0.0166660000104457,,,,,,,,
139,1,liesBetween,0.0821448000004237,0.730391105195533,0.1474328506498288,,,,,,,0.2688183857141665,,,,,,,,
136,2,invalidateSession,0.0379613333433452,,0.0166720000561326,0.0,,0.15417800017166872,0.0783339666745935,0.1444494998237737,,,,,,,,,,0.0333344999235123
176,0,invalidateSession,0.1309076944146201,,0.14000617790346329,0.0,,0.1277776668236279,0.24861899985504932,0.3815769546878678,,,,,,,,,,0.0
