pid,function declaration,parameter,variable declaration,variable,function call,argument,return
117,3,1,0,14,1,9,7
129,36,5,24,5,12,33,2
313,40,11,4,1,3,10,11
314,41,1,9,0,4,5,0
318,8,0,8,1,2,8,0
147,0,0,0,0,0,0,0
189,29,15,36,0,6,54,21
