pid,function declaration,parameter,externally defined variable or function,variable declaration,loop,conditional statement,return
117,18,0,8,7,15,17,0
129,43,4,1,26,30,29,0
313,2,1,2,4,0,3,4
143,26,16,34,43,4,4,3
314,18,3,24,70,49,54,0
191,26,0,6,13,15,32,5
