pid,function declaration,exception handling,variable declaration,function call,argument,variable
117,17,0,11,23,1,3
166,2,0,8,42,20,0
317,18,10,42,53,54,0
168,1,1,15,18,10,0
111,24,0,15,43,23,10
315,47,5,109,82,60,1
143,50,0,28,52,4,7
314,88,5,69,54,27,1
312,18,0,98,56,63,0
139,19,3,130,118,36,1
