pid,function declaration,variable declaration,loop,conditional statement
136,8,69,58,11
155,8,34,23,3
117,15,45,4,0
166,0,7,31,4
317,0,17,28,10
168,2,8,5,1
319,0,12,6,0
186,0,2,5,3
182,19,49,0,0
310,0,0,1,0
129,32,62,11,5
111,15,111,18,8
313,34,173,98,5
315,4,51,9,1
133,22,124,27,21
143,17,85,10,4
314,8,73,5,5
106,13,60,11,4
318,7,5,2,1
147,68,120,32,8
189,6,119,34,31
316,29,71,2,0
312,31,143,7,21
139,67,275,102,31
