pid,function declaration,parameter,variable declaration,external class,externally defined variable or function,argument,assignment,variable
155,0,0,34,2,8,2,0,3
182,43,17,54,4,0,0,0,0
310,0,0,4,0,0,0,0,0
111,23,13,53,13,2,0,0,0
311,16,22,120,4,9,20,0,4
191,31,17,71,4,9,3,0,0
189,6,10,147,0,4,1,1,9
312,0,4,69,0,2,10,0,0
