pid,public.0,void.0,testSetExample.0,System.0,out.0,println.0,"""testSetExample"".0",testString.0,=.0,"""<tag:foo>|n"".0",testString.1,+=.0,"""|t<tag:bar />"".100",testString.2,+=.1,"""</tag:foo>"".0",tag.1,setExample.0,testString.3,assertEquals.0,tag.2,getExample.0,testString.4,code,participant_summary
136,0,0,3,3,0,6,11,9,0,13,0,1,0,6,0,0,0,22,11,1,3,15,3,34,18
311,0,1,10,11,0,8,3,16,0,6,10,0,0,18,0,21,16,25,9,12,2,1,1,60,70
312,0,0,2,0,0,0,13,3,0,44,0,0,2,8,0,37,0,7,5,1,0,3,1,51,5
