pid,public.0,void.0,visitRetStmt.0,RetStmt.0,stmt.0,Set.0,targets.0,=.0,new.0,LinkedHashSet.0,Iterator.0,iter.0,=.1,stmt.1,sub.0,paths.0,iterator.0,while.0,iter.1,hasNext.0,Block.0,path.0,=.2,Block.1,iter.2,next.0,targets.1,add.0,path.1,1.0,targets.2,addAll.0,stmt.2,catchTargets.0,verifyTargets.0,stmt.3,block.0,targets.3,visitNode.0,stmt.4,code,participant_summary
319,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,8,1,0,2,1,4,0,0,2,1,2,0,2,0,0,0,0,36,9
315,0,1,27,27,0,0,10,0,7,19,3,5,0,5,18,3,0,0,2,5,0,2,0,0,0,0,4,9,1,1,1,15,0,14,49,8,13,0,8,1,88,87
133,0,0,11,4,0,0,14,0,2,14,4,1,0,0,6,9,9,0,6,13,3,3,0,1,0,0,2,0,0,0,2,0,0,0,5,0,1,0,0,0,29,23
191,0,12,31,15,0,0,10,0,2,24,2,9,0,7,6,3,1,4,18,28,32,10,1,6,5,0,11,2,9,0,7,11,2,7,52,3,2,0,23,0,119,49
