pid,public.0,void.0,testCookieGreaterThan.0,throws.0,ServletException.0,JspException.0,GreaterThanTag.0,gt.0,=.0,new.0,GreaterThanTag.1,gt.1,setPageContext.0,pageContext.0,gt.2,setCookie.0,COOKIE_KEY.0,gt.3,setValue.0,LESSER_VAL.0,assertTrue.0,"""Cookie Value ("".100",+.0,GREATER_VAL.0,+.1,""") is greater than value ("".101",+.2,LESSER_VAL.1,+.3,""")"".0",gt.4,condition.0,code,participant_summary
166,0,0,3,0,0,0,3,0,0,0,1,1,11,3,0,5,8,3,13,1,5,0,0,0,0,0,1,0,0,0,0,7,22,11
317,0,2,20,0,6,0,8,0,0,1,3,0,10,0,0,9,14,0,8,12,18,2,0,5,0,0,0,1,0,0,0,5,186,91
189,0,0,14,1,1,0,4,1,0,4,0,0,5,10,0,7,13,0,8,9,8,1,0,4,1,0,0,0,0,0,0,16,19,18
