pid,public.0,int.0,compareTo.0,TPoint.0,o.0,if.0,this.0,value.0,==.0,o.1,value.1,&&.0,this.1,tstamp.0,==.1,o.2,tstamp.1,return.0,0.0,else if.0,this.2,tstamp.2,>.0,o.3,tstamp.3,return.1,1.0,else if.1,this.3,tstamp.4,<.0,o.4,tstamp.5,return.2,1.1,else if.2,this.4,value.2,>.1,o.5,value.3,return.3,1.2,return.4,1.3,code,participant_summary
166,0.03333399991970509,0.016672000056132674,0.025000999972689897,0,0,0,0.133339999942109,0.016667000018060207,0.02500050002709031,0.0500040000770241,0.016668500029481947,0,0,0,0,0,0,0.008333500009030104,0.10000499989837408,0,0,0.016667000018060207,0,0,0,0.04166699998313561,0.016665999894030392,0,0.07500250003067777,1.0083790000062436,0,0,0.04999999993015081,0.03333999996539205,0.044447999990855656,0,0,0,0,0,0,0,0,0,0.04444866662379354,0.6102089999961512,0.28534455999266356
168,0,0.016667000018060207,0.036112444436488055,0.04444533334268878,0,0,0,0.04166700004134327,0,0,0.025002999987918884,0,0,0,0,0,0,0.06666700000641868,0,0,0.01666650001425296,0.038890166654406734,0,0,0,0.016667000018060207,0,0,0.016670000011799857,0.026666800014209003,0,0,0.020833000002312474,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0.6145452857050778,0.4248454285647758
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0.01666950000799261,0.06666400001267903,0.03452521428906558,0.03589900000952184,0,0.016672999976435676,0.02916699999332195,0.016667000003508292,0,0,0.016667499992763624,0,0.03333649999694899,0.04444583333194411,0,0,0,0.03137388235636001,0,0,0.03666700000176206,0.037500500002352055,0.016667000018060207,0,0.01666799999657087,0.0266674000013154,0,0,0,0.05000466667115688,0,0,0.016665999981341884,0.016667000018060207,0.04999999998835847,0.06250274999911198,0.05000000004656613,0.025000999987241812,0.016667000003508292,0.016665499992086552,0,0.03703844445084946,0.016665999981341884,0.03333999996539205,0,0.3261619655185596,0.18075503448299374
133,0.0500040000770241,0,0.0440481428356309,0.03166739998850972,0,0,0.03472933328400055,0.016667500021867454,0,0.02500049991067499,0.02380971424281597,0,0,0,0.016667400021106005,0,0,0,0.04166999994777143,0,0.04666679995134473,0.025003000046126544,0,0,0,0.04500199998728931,0,0,0.011111999939506253,0,0,0,0,0,0.016667000018060207,0,0.0458352499990724,0.016667000018060207,0,0,0,0.03333299979567528,0.016667000018060207,0.033334000036120415,0,0.6619293333386027,0.4014039999883001
314,0,0,0.016666999988956377,0.10000249999575317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333300002850592,0,0,0,0,0,0,0,0.04444666666677222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7533618000044953,0.2088982000015676
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07845914634242768,0.10458762499911245
