pid,public.0,void.0,testInvoke.0,throws.0,Exception.0,transport.0,setRemoteService.0,"""TravelProcess"".0",call.0,setOperation.0,"""initiate"".0",call.1,addParameter.0,"""x"".0",XMLType.0,XSD_STRING.0,ParameterMode.0,IN.0,call.2,setReturnType.0,XMLType.1,XSD_STRING.1,String.0,result.0,=.0,String.1,call.3,invoke.0,new.0,Object.0,"""anything"".0",assertEquals.0,DUMMY_RESULT.0,result.1,code,participant_summary
155,0.04722466668075261,0.01666500000283122,0.07222419999695072,0.03703688890285169,0.033333999977912754,0.06372894117307357,0.05208512500030338,0.07500100001925603,0.05833499999217955,0.04861274999954427,0,0.025004000024637207,0.03461684615243799,0.04444633333090072,0,0.016666999959852546,0,0,0.2916780000086874,0.03750325000146404,0.0625022500025807,0,0.03000119999051094,0.040478000009898096,0,0.04706076470628271,0.05789657894485189,0.061115166667150334,0,0,0,0.0380964285743955,0.0375016250036424,0.016666000010445714,0.902208898547173,0.8690808571575742
317,0,0,0.043859578947855256,0.028334299998823552,0.02333439999492839,0.0166680000256747,0.0256422307754222,0.029630999999224313,0,0.027084625013230834,0.03518611109919018,0,0.044446888903621584,0.035418875006143935,0.031373058818965495,0.02777855556147794,0.03333333332557231,0,0,0.027780999992198,0.03194600000279024,0.031482611116694495,0,0.053337000019382685,0,0.03452457143742192,0.027778333334329847,0.020835500006796792,0.04166699998313561,0.050003500015009195,0.029168749970267527,0.016667000018060207,0.03636654545235532,0.0166669999792551,0.8566600722948045,0.12236263414577968
111,0,0.016666000010445714,0.014285714286545823,0.027777333321864717,0,0.028572785714849096,0.044272937496316445,0.02361183333656906,0.03888933333413055,0.019999800002551638,0.016666499999701045,0,0.050001999998736814,0,0,0,0,0,0.04999949999182718,0.01944466667191591,0,0.025007000003824942,0.03928785714171162,0,0,0.10000199999194592,0.047222333334502764,0,0,0.016667000003508292,0.10000000000582077,0,0,0,0.9045190000027875,0.15833400001429254
315,0,0.03333399999731531,0.038463153851737916,0.01666650001425296,0.01944333333328056,0,0.04212278181009672,0.031666800007224084,0,0.03571519999698337,0.045555866661015895,0,0.028704944441819355,0.01666650001425296,0.019444499989428248,0.016665999981341884,0.025002500013215467,0,0,0.038890750001883134,0.0500000000174623,0.038096857157402804,0,0.016667000018060207,0,0.06667299996479414,0,0.03750087499793153,0,0.04166900001291651,0.016666000010445714,0.019999400002416224,0.016662999987602234,0.016666999959852546,0.7116934714256786,23.402717243905588
133,0,0.028788818173449148,0.040518862050797404,0.016667000018060207,0.05277900001965463,0.04066764001734555,0.03333439997707804,0.030557166629781325,0,0.042648235294858325,0.37640316667966545,0,0.05555766661806653,0,0.033333249972201884,0.03888933337293565,0,0,0,0.03333333336437742,0.016667000018060207,0.03889200005990764,0,0.033334000036120415,0.016667000018060207,0,0,0.06666600005701184,0,0,0,0.07916900014970452,0,0.03334400011226535,0.8652403250336647,0.3005003235234386
311,0,0.03888977779489425,0.03703877778025344,0.06666700006462634,0,0.05208512500394136,0.046667800028808416,0,0.018750000002910383,0.022221000011389453,0.016666000010445714,0.025001499995899696,0.03611300000920892,0,0,0,0,0,0,0,0.03333399991970509,0,0.09583649999694899,0.03333300002850592,0,0,0.016666000010445714,0,0,0,0,0,0,0,0.30745838298660483,0.14394481818255206
314,0,0.09999400001834147,0.04687593750168162,0.049999000009847805,0.05000125000151456,0.05833650002023205,0.04242372728714889,0,0,0.04444616666296497,0.2500090000103228,0,0.0333340000215685,0.05833699999493547,0,0,0,0,0,0.04027891666191863,0.02222333332368483,0.016666999988956377,0.016667000018060207,0,0,0.01666500000283122,0.01666750000731554,0,0,0,0,0,0,0,1.0722644166695925,0.14000520000699906
318,0,0,0.01666500000283122,0.025001499976497144,0.00833399998373352,0,0.029998600005637855,0.023334700003033504,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22399182927300698,0.06280089285324461
147,0,0.016666999901644886,0.04166790908625857,0.03333519997540861,0.05000450002262369,0.022500899981241673,0.033335250006833426,0,0.020833499991567805,0.03508931579754541,0.038889888893916376,0.024999799998477103,0.019698727283288132,0.016667666689803202,0.034526285665508895,0,0,0,0,0.03750275002676062,0.011112333314182857,0,0.016667000018060207,0.050000200024805964,0,0.029168999986723065,0.022223222224662702,0.029166499996790662,0,0.016666333346317213,0,0.05277966665259252,0.03667020001448691,0,1.0771271136287728,0.3526058222244804
191,0.016667000018060207,0.025001750007504597,0.02992690907029266,0.03889366666165491,0.01667199997852246,0.04881161904805118,0.03564894445783769,0.020834250026382506,0.027777666652885575,0.044120176448760665,0.024307083319096517,0.019444666647662718,0.016667499963659793,0.02916766666263963,0.02954590907955373,0.01667100004851818,0.01666650001425296,0,0,0.04722399999930834,0.03750450006918982,0,0.016659000073559582,0,0,0.08334600005764514,0.05000100005418062,0.03125000002910383,0.0666699999710545,0.03571685714580651,0,0.016667000018060207,0.02000020002014935,0,0.5712345065034974,0.3270946666743839
312,0,0,0.11666900001000613,0,0,0.03333399991970509,0.04583562501647975,0,0,0.06666599994059652,0.03333333332557231,0,0.016666333346317213,0.0333329999120906,0.022225999971851707,0,0.02778000000398606,0,0,0,0.016667000018060207,0.04166962501767557,0,0,0,0.016667000018060207,0,0,0,0,0.033336499938741326,0,0,0.027777666691690683,0.6044087368737612,0.7278066666331142
