pid,public.0,void.0,setPhoto.0,JdaiPhoto.0,photo.0,String.0,text.0,=.0,nan.0,if.0,photo.1,!=.0,nan.1,label.0,setText.0,""""".0",try.0,text.1,=.1,photo.2,getSection.0,getInfoStore.0,getCaption.0,photo.3,catch.0,JdaiReadException.0,e.0,JdaiGuiHelpers.0,reportException.0,"""Unable to read caption"".100",e.1,if.1,text.2,==.0,nan.2,||.0,text.3,equals.0,""""".1",text.4,=.2,"""No caption set"".101",else.0,label.1,setIcon.0,nan.3,label.2,setToolTipText.0,text.5,setNewPhoto.0,photo.4,code,participant_summary
136,0,0.047917749907355756,0.030953285716740147,0.027779333293437958,0,0.02708500000881031,0.030000799987465143,0,0.20001000026240945,0,0.06389099995916088,0,0,0.030834500002674757,0.04615484615071462,0,0.016672999830916524,0.05416649975813925,0,0,0,0,0,0,0.05000066671830913,0.07037355554186636,0,0.08333800011314452,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0.016666000010445714,0,0.016667000018060207,0,0,0.03750316666749617,0.03979377499781549,0,0.01666650001425296,0.03333200002089143,0.27152290696624753,0.13782653850145066
117,0,0.024999999965075403,0,0.03166819999460131,0,0.05238157141554568,0.03333499998552725,0,0,0,0.07222466663612674,0.0666699999710545,0,0.016666999988956377,0,0,0,0.03333366666144381,0.016666000010445714,0.030556500011395354,0.04166899997896204,0,0,0,0.033335499989334494,0.027778833338137094,0,0.036668000009376554,0.03333499998552725,0,0,0,0.0266670000157319,0,0.04166699998313561,0,0,0,0,0,0,0,0.03560645454457368,0.050000777791461185,0.023809714292708253,0,0.036667999997735026,0.019444333340895053,0,0.0360303823630709,0.10833499999716878,0.5114936521799857,0.41804891802870564
166,0,0,0.03333500004373491,0.024999500019475818,0,0.02777899995756646,0.07083599996985868,0,0,0,0.0291659999784315,0,0,0.03333371428639761,0.06917040002299472,0,0,0.03125050000380725,0,0.05277933331672102,0,0,0,0,0.03333000000566244,0.03333450001082383,0,0.018055833332861464,0.03333399991970509,0,0,0,0,0,0.033334000036120415,0,0,0.016672000056132674,0,0,0,0.02333500001113862,0,0.02916700000059791,0.03333699994254857,0,0,0.10076081820509651,0,0.06666957141299333,0.05416675002197735,0.311871192288191,0.22702034485349754
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666000010445714,0.033340999973006546,0,0,0,0.045830999966710806,0,0,0,0,0,0,0.4083503333386034,0.10000446152676326
182,0,0.030002399999648332,0.06666799998908703,0,0,0.055557444432957306,0.024074777779686782,0.033334000036120415,0.029167750020860694,0.0375029999850085,0.040002800000365824,0,0,0.03333699994254857,0.016668000006272148,0,0.050000499992165715,0.027084249995823484,0,0.030557166668586433,0.0250011666600282,0,0,0,0.016663999995216727,0.033333333306169756,0,0.03229162500065286,0,0,0,0.033340999973006546,0.016666999959852546,0.016667000018060207,0,0,0,0,0,0,0,0,0,0.05000222222750179,0.04444700000264371,0.05000400001881644,0.15833400003612041,0,0,0,0,0.5171960000024767,0.3221220241961888
129,0,0.033337999950163066,0.041667736833915114,0.027779333332243066,0.016667000018060207,0,0.020833999995375052,0,0,0,0.03666860000230372,0.016667000018060207,0.08333999995375052,0.0388896666894046,0.016666000010445714,0,0,0,0,0.129170999978669,0.016666999959852546,0.06666700000641868,0,0,0,0.016667000018060207,0,0.03333800000837073,0.020836499985307455,0,0,0,0,0,0.033335500047542155,0.016666999959852546,0,0,0,0,0,0,0,0.0166680000256747,0.016666999959852546,0,0,0,0,0.029169500019634143,0.016666999959852546,0.6319080434699097,0.1436328823568628
315,0,0,0.058335249981610104,0.022917124995728955,0,0,0.016667000018060207,0,0.03333462499722373,0,0,0.016666000010445714,0.0333329999120906,0,0.026191571411410614,0,0,0.016666000010445714,0,0.03889066665821398,0.05555666668806225,0.030952142850895013,0.023335999995470046,0,0,0.020835750008700415,0,0.02333486667290951,0.020835750008700415,0,0,0,0.020834499984630384,0.016669666685629636,0,0.016666000010445714,0,0,0,0.016666999998657655,0.016667000018060207,0.029167749991756864,0,0.033332499966491014,0.026667900016764178,0,0.03333299999940209,0.02884753845641031,0,0.03809671429917216,0,0.5656458958389218,17.463052276318194
133,0,0.10000649990979582,0.04000180005095899,0.033333375002257526,0,0.03750124998623505,0.029168999986723065,0,0.016666000010445714,0,0.04389099998710056,0.03472300001885742,0.016665500006638467,0.03452542849949428,0.04000130000058562,0,0.08889400004409254,0.034524714308125634,0,0.04924400000494312,0.033334799995645883,0.038889333295325436,0.05000149994157255,0,0,0.019445333319405716,0,0.04772836363620379,0.03541650000261143,0,0,0,0.031668000016361476,0.06666899996344,0.023333599977195262,0.016667000018060207,0.030954571440815926,0,0,0.05139083329898616,0.02500200003851205,0,0.050005000084638596,0.03777899996687969,0.035834300017450006,0.041669500060379505,0.04444599997562667,0.04264852941474494,0.016667000018060207,0.03941616216498251,0.038891999904687204,0.555990791042099,0.3045253020779152
106,0,0.06666649998805951,0.035578499992530294,0.041666300009819676,0,0,0.01666700000835893,0,0.020837500000197906,0,0.023077230761723164,0.022224666657469545,0.025001500005600974,0.058333333348855376,0.03461569230869198,0.01666950000799261,0,0,0,0.05069616667121105,0.027381428563135808,0.03333419999689795,0.02666719998815097,0,0,0,0,0.050002333329757676,0.016667000018060207,0,0,0,0.033334142852774154,0,0.035417999992205296,0.027777666662586853,0,0,0,0.016665999981341884,0,0,0.016666999988956377,0,0.04166899998866332,0,0.016669000004185364,0.035418333330502115,0,0.04295069230227874,0.016666999988956377,0.5662570689676394,0.23683764516364694
191,0,0.033334999927319586,0.04629844442630807,0.027778500011966873,0,0.03666920000687242,0.050002666694733,0,0.06666699994821101,0,0.0365599354826695,0.01999999999534339,0.04167033332244804,0.02361195833267023,0.025522187497699633,0,0.04375262500252575,0.03333349997410551,0,0.03611222223844379,0.033334500001122556,0.02499974999227561,0.035418124971329235,0,0.03750190002610907,0.03910389743769207,0,0.033334714285696725,0.016665666674574215,0,0,0.027777666691690683,0.03611233333746592,0.016667000018060207,0.027781333308666945,0,0.023332999995909633,0.050004999968223274,0,0.029168749999371357,0,0,0.01666650001425296,0.030953142841878747,0.026666999992448835,0,0.04166766665487861,0.038581629628660505,0,0.04345442857759606,0.022222666690746944,0.2396209657412303,0.2296326219525881
