pid,public.0,String.0,print.0,String.1,tab.0,if.0,content.0,instanceof.0,RegExp.0,return.0,tab.1,+.0,"""type = "".100",+.1,type.0,+.2,Out.0,NL.0,+.3,tab.2,+.4,"""content :"".101",+.5,Out.1,NL.1,+.6,RegExp.1,content.1,print.1,tab.3,+.7,"""  "".0",else.0,return.1,tab.4,+.8,"""type = "".102",+.9,type.1,+.10,Out.2,NL.2,+.11,tab.5,+.12,"""content :"".103",+.13,Out.3,NL.3,+.14,tab.6,+.15,"""  "".1",+.16,content.2,code,participant_summary
136,0,0.016667000018060207,0.02333360002376139,0.03541950002545491,0,0,0.03141084614281471,0.03201884207756896,0.040153636364266276,0.0460165651899803,0.03397607694093425,0.033334000036120415,0,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0.03333399980328977,0.033335333379606404,0.01666650001425296,0.016672999830916524,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40773772477992565,0.27813737498945557
176,0.06666950008366257,0.07315133333516617,0.04583483332923303,0.04027949999241779,0.045834999958363674,0,0.04523921426984349,0.05000199998903554,0.04583650000859052,0.03645856252114754,0.024243090915578334,0.06111733328240613,0.016667000018060207,0.044445000045622386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044445000045622386,0.03333457140251994,0.033334000036120415,0,0.016666000010445714,0.03333449992351234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5742380512683278,0.5083550000563264
117,0.04750340000609867,0.029584100004285574,0.016667499992763624,0.07963244441715586,0.030954428574269905,0.025492529419031653,0.03621976922910947,0.05833666665421333,0,0.043335599976126106,0,0.008333000005222857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388890000176616,0,0.04444533332328623,0.027778222212671407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4648327925893547,0.36929977142883996
111,0.10833600000478327,0.029168250002840068,0.05185411111192985,0.04555693333386444,0,0.04166799999802606,0.0447924999971292,0.058335000001534354,0,0.05885606250103592,0.029167749995394843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666000003169756,0,0.041668250001748675,0.04333519999636337,0,0.05000199998903554,0,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5464782874983939,0.15000599999984843
314,0,0.038890500009680785,0.054168999995454215,0.07222366665761608,0.03333599999799238,0,0.04444533332651998,0.02916808333005368,0.07083583332617611,0.030769846151367977,0.08333999998285435,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027273636364208705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8560619999956776,0.19872538462424508
