pid,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
136,0,0,0.037964000017382205,0.050000500050373375,0,0,0.03888933337293565,0.11667050002142787,0.016657999949529767,0,0.022225333300108712,0.02500050002709031,0.02381028567573854,0,0.02023835714706885,0.025000999914482236,0.016666999785229564,0.036112000001594424,0.026668799994513392,0.04166699992492795,0.027778000027562182,0.016667000018060207,0,0,0,0.03583460000809282,0,0.08333600009791553,0,0.05000299999179939,0.016666000010445714,0.023810428600492223,0,0,0,0.04166750002574796,0,0.025004000053741038,0.016667000018060207,0,0,0.0287886363750493,0,0.027780333378662665,0,0,0.019999999972060322,0.016666000010445714,0,0.016667000018060207,0.03333429408752743,0.061113666743040085,0,0.016667000018060207,0.016666000010445714,0,0,0,0.02196945453231985,0.020000999979674815,0.036667800042778254,0.016667000018060207,0.48162848277194104,0.10333600002340973
176,0,0.016667000018060207,0.051390666708660625,0.07333679995499551,0,0.049999000038951635,0,0.016666000010445714,0.016666000010445714,0,0.016667000018060207,0,0.05416900001000613,0,0.04398250000344382,0.025000000139698386,0,0,0.0648164444654766,0.13333700015209615,0,0,0.027777666691690683,0.016670999815687537,0.03541675000451505,0.04791812502662651,0,0,0.1999959999229759,0,0.06666766665875912,0.027084000001195818,0,0,0,0.0722238333740582,0,0,0,0,0,0.06416809996590019,0,0,0,0,0.05555766665687164,0.02499599999282509,0,0,0.05119271430053881,0,0,0,0,0.04166900005657226,0,0,0,0,0,0,0.6890328085158971,0.379177499950553
155,0.02000000000698492,0.033335428576849936,0.04791908331875069,0.04305766667433394,0.03333299997029826,0.05138916667783633,0.016669000004185364,0.07778400004220505,0.0500025000073947,0.03333519999869168,0.050002000003587455,0,0.03333899998688139,0.016674000013154,0.12500299990642816,0,0.03333599993493408,0.04166749995783903,0.04000159999122843,0,0.02499966664860646,0,0.025001000001793727,0.05000099999597296,0.04999999998835847,0.04722200002288446,0,0.025001000030897558,0,0,0.026192428577425226,0.02166699999361299,0,0,0.01666650001425296,0.016666999959852546,0,0.0500025000073947,0.025002500013215467,0,0,0.05625224999675993,0.01666350002051331,0.016668999975081533,0,0,0.06894136364677582,0.05347466667202146,0.03333450001082383,0,0.0583354545683092,0.027781333328069497,0.08166839999612421,0,0.02778233333568399,0.030001600016839804,0.026853000001412712,0,0.034315352942726085,0.023612333335525666,0.021667700010584667,0.0479178749883431,0.5824796491243321,0.37761806249181973
117,0.016667000018060207,0,0,0,0,0,0,0.01666649998514913,0,0,0.016665999952238053,0,0.027781666663940996,0,0.05972566669030736,0,0.024999499961268157,0,0,0,0,0,0,0.016667000018060207,0.0166669999792551,0.030000200006179513,0,0,0,0.016667000018060207,0.016668666678015143,0.033332666653829314,0,0,0.027779166664307315,0.03333359999815002,0,0,0.03333300002850592,0,0,0.03125025001645554,0,0,0.03333300002850592,0,0.016667250005411915,0,0,0,0.038096714282541404,0.02500050002709031,0,0.008333499979926273,0.03333800006657839,0.03889033334174504,0,0,0.06249999997089617,0,0,0,0.4305725416682738,0.3085440714314159
166,0,0.016667000018060207,0.027778666699305177,0,0.016666000010445714,0,0,0,0,0.016666000010445714,0.016666000010445714,0,0,0.022222000019003946,0.033334000036120415,0.03333200002089143,0,0,0.016666999959852546,0.02499900001566857,0,0,0.050001999945379794,0.06666599994059652,0.027777333355819184,0.03611233333746592,0.03333399991970509,0.06666300003416836,0.024999500004923902,0.023334400006569923,0,0.07381200000444162,0,0.016666999959852546,0.016666250012349337,0.04125184999429621,0,0,0.03928757144603878,0,0.03541825001593679,0.041348230778776966,0.03333420001436025,0,0,0,0.1333400000585243,0.026191000011749566,0.02500500000314787,0,0.03500159998657182,0.0333329999120906,0,0.03333449998172,0.053337199985980986,0,0,0,0.034212947363573075,0.029168250010116026,0.06041775000630878,0.03611300000920892,0.39892784783960844,0.35527763157886894
317,0,0,0.03333299999940209,0.02619071427034214,0,0.016666000010445714,0.016667000018060207,0.016666000010445714,0.016667000018060207,0,0.0500019999841849,0,0.019444166663258027,0.033332499966491014,0.029167687502194894,0.04166700004134327,0.022221999999601394,0,0.022223333343087386,0.024999499990371987,0.033333999977912754,0.042860428586469164,0.05000599997583777,0,0.016666999959852546,0.028789454547222704,0.036112499985999115,0.029168749999371357,0.05833709998405538,0.04999999998835847,0.030001000000629573,0.029366238095376286,0.016666000010445714,0.020833499991567805,0.02083350000611972,0.0313732941114508,0,0.03333600002224557,0.02142942856465067,0,0.029168250010116026,0.03859847367704405,0.024999500019475818,0.016667000018060207,0.022222333316070337,0.016667000018060207,0,0.038890666648512706,0.02963111109824644,0,0.027778666650798794,0.03205269232141571,0.03333200002089143,0.016666000010445714,0.035416875005466864,0.03518700000131503,0.033334333333186805,0,0.03055658333081131,0.027779333332243066,0.02333360000047833,0.044446000014431775,0.3976754212294696,0.05247159259117864
168,0.016667750009219162,0.03889000001234106,0.07333499999949708,0.025001999994856305,0,0,0,0,0,0.016666000010445714,0.03333299997029826,0.033333999977912754,0.025005500036058947,0,0.040531454541699284,0,0,0,0,0,0,0,0,0,0.016665999952238053,0.024073999995986622,0.025001999990005668,0,0.033337000000756234,0,0.01805566665522444,0.03833560000639409,0,0.016667750009219162,0.03333699994254857,0.020833499991567805,0.027778666679902624,0,0,0,0.03333300002850592,0.038542749993212055,0,0.016666000010445714,0,0,0.030834199988748878,0.02619128570326471,0,0,0,0.05000299999179939,0,0,0,0,0,0,0,0,0,0,0.4170251780864145,0.16279970422718332
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0.022222333354875445,0,0,0,0,0,0.0833369999891147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0.10667100001592189,0.22472120689806238
182,0,0,0.016667000018060207,0,0.016666000010445714,0.033331000013276935,0.016667000018060207,0,0,0.033334000007016584,0.025002999958815053,0.01944599999114871,0.058334500005003065,0,0.028846769222022537,0,0,0,0,0.06666799995582551,0,0,0.02222333332368483,0,0.029168249981012195,0.0416692857065105,0.049999000038951635,0.05416849997709505,0,0,0.03541699996276293,0.01666675000160467,0.024999999965075403,0,0,0.041667999961646274,0,0,0,0,0,0.016663999995216727,0,0.022226333327125758,0.08333433336035038,0,0,0,0,0.025000000023283064,0.022225000022444874,0.026667599985376,0.020835000002989545,0,0,0,0,0,0.016666999988956377,0.016666000010445714,0.06667099997866899,0,0.5342794222265689,0.5202281500038225
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3944596666454648,0.016670000040903687
129,0,0.020833750000747386,0.033731714298482984,0.02500049999798648,0.06944733332299317,0.02777966666811456,0.05972466665358903,0.15834399999585003,0.050003285719347854,0,0.0333365000115009,0.0500025000073947,0.05987822222178457,0,0.04755088234635289,0,0.016665999952238053,0.016667000018060207,0.04444599999502922,0,0,0,0,0,0,0.044233000004449144,0.04166885714844933,0,0,0,0,0.030955428565253636,0,0,0,0.036111833362762503,0.0166664999560453,0,0.016666999959852546,0,0,0.0250013333473665,0,0.029169249974074773,0.033335499989334494,0,0.016667000018060207,0.016667000018060207,0,0,0.05416918750051991,0.021429571431196694,0,0.01250175001041498,0.016667333315126598,0.011112333333585411,0.03833579998463392,0,0.016666999959852546,0,0.04166599997552112,0,0.7049048780428143,0.49567126087419205
111,0.016666499992425088,0,0,0,0,0,0,0,0,0.09166600000753533,0,0,0.06666599998425227,0.06666699997731484,0.07083725000120467,0.016666999988956377,0,0,0.024999999997817213,0,0,0,0.1666750000003958,0,0.05000000000291038,0.016667000003508292,0.0166659999958938,0,0,0,0.01666799999657087,0,0,0,0.016666000010445714,0,0,0,0.02500200000940822,0,0,0.0166659999958938,0,0.03333299999940209,0,0,0.016667000003508292,0,0,0,0.0166659999958938,0.016667000003508292,0,0,0,0,0,0,0,0,0,0,1.3341064347826077,0.3190592857115137
313,0.022222666661643114,0,0.09999899999820627,0.1833440000191331,0,0,0,0,0,0.04166700001223944,0.13334200000099372,0,0,0,0.05416787500871578,0.03333500001463108,0,0,0.0530327272691383,0,0.05000099999597296,0,0.016666999988956377,0.02499999997962732,0.016666999998657655,0.04102807693058052,0,0,0,0,0.023333199991611764,0.026923923074858837,0.016666000010445714,0.050002000003587455,0.0371816923098567,0,0.016666999988956377,0,0.027084625009592855,0.016665999981341884,0,0.04166800000530202,0.041668749996460974,0.03334100001181165,0,0,0.022221999989900116,0.0444460000047305,0,0.05833550001261756,0.037038111118211724,0.016666999988956377,0.01667099999031052,0.01666733334423043,0.023335999995470046,0.03333220000495203,0.05952571428913091,0,0.024999999994179234,0.041669000005640555,0.02333429999416694,0.027777999988757074,0.5843762040865247,0.17667306666068422
315,0,0.01667099999031052,0.04510111763717278,0.03333299997029826,0.024995000014314428,0.03750100001343526,0.03333300002850592,0,0.03334100003121421,0,0,0,0,0,0.025927055546263646,0.03334299998823553,0,0,0.0354178750058054,0,0,0.061113000013089426,0,0,0.033324999967589974,0.022222333335472893,0.030557833330628153,0,0.01666500000283122,0,0,0.023334400018211455,0,0,0,0,0,0.016667000018060207,0,0,0,0.02500075000716606,0,0.03333359998650849,0,0,0.04166824999265373,0,0,0,0.016666000010445714,0.038893333286978304,0,0.016667000018060207,0,0,0.03333500004373491,0,0.016666750016156584,0,0.022222666651941836,0,0.7172476333313776,0.17867523999651894
