pid,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
136,0,0.016667499905452132,0.016667000018060207,0.033336249995045364,0.10667059998959302,0,0,0.04677612904549366,0.04091003030595003,0.022225333377718925,0.022222333277265232,0.034616461560989804,0,0.0622567058650448,0.028031636389311065,0.02778266657454272,0.029824842110668357,0,0,0.016667000018060207,0.02500155555187828,0,0,0.026297155555544627,0,0.016670000040903687,0.03437600002507679,0,0.04524114288921867,0,0,0,0,0.016667000018060207,0,0.03333800006657839,0,0,0.05000250006560236,0,0.03750249999575317,0,0.6199821728356413,0.12976735717217838
176,0,0,0.049999999813735485,0,0,0,0,0.04464492858720145,0.058336166664958,0,0,0.025002399971708656,0.050000499933958054,0.03194549997958044,0,0.06309528575677957,0.03333426665825148,0,0,0.047223000011096396,0.030001400015316905,0.22500899992883205,0,0.07500290908766064,0,0.016667000018060207,0.04305766670343777,0.02500200003851205,0.050002000061795115,0,0,0,0,0,0,0.020833499962463975,0,0,0,0,0,0,0.519834311099516,0.3051399615360424
155,0,0,0,0,0,0.03833459998713806,0.03333900001598522,0.08334500005003065,0.06250399999165286,0,0,0.12500383333341838,0.05000274998747045,0.027778999996371567,0.17500200000358745,0.08148555555898282,0.05555699998512864,0,0,0.03333599999314174,0.07500749998143874,0,0,0.03166809999966062,0.01666649998514913,0.041668333346024156,0.08167099999845959,0.15000600001076236,0.08333266666159034,0,0.03333299999940209,0,0,0,0,0.056669399980455636,0.06250350002665073,0.023612166667589918,0.023809428559616208,0,0.03055500000482425,0,0.47020973077339406,0.3683415999868885
117,0.03333599999314174,0.033333000009103365,0,0,0.04999999993015081,0.02777966664871201,0.016666999959852546,0.07500333331214885,0.02500149999104906,0,0,0.03333499998552725,0.03426066665108212,0.020833250018768013,0,0.018056000000797212,0.07500299997627735,0,0,0.030209499986085575,0.02500049999798648,0.016666000010445714,0,0.027777166668480884,0,0,0.016667999986869592,0.024999999965075403,0.027778500011966873,0.033332999989700816,0.8416999999899417,0,0.03333575002034195,0,0,0.025001428572327962,0,0.016668000011122786,0.01666799996746704,0,0.012500499986344948,0,0.6364067073176024,0.2530103599932045
166,0,0,0,0.0333360000513494,0,0,0,0.016666000010445714,0,0,0,0.0333360000513494,0,0,0.033334000036120415,0.04166925000026822,0.016668666619807482,0,0,0.025002999987918884,0.04167299997061491,0.06666899996344,0,0.03055766667239368,0.025003000046126544,0,0.03250060001155362,0.03333599993493408,0.025000250025186688,0.0500019999841849,0.03333300002850592,0,0.03611300000920892,0.05277899998084953,0,0.025001000007614495,0.0333360000513494,0.019444000014724832,0.05729337499360554,0,0,0,0.3596615262979053,0.1300053999836867
317,0,0,0.02500049999798648,0,0,0,0,0,0.06667299999389797,0,0,0,0.04444599999502922,0.029168250010116026,0.016665999981341884,0.020834750001085922,0.022222333316070337,0,0,0.019047285729487027,0,0,0,0.024999500019475818,0,0.016674999962560833,0.029168750013923272,0.016667750009219162,0,0,0,0,0,0,0,0.06666800001403317,0,0,0,0,0.01666799999657087,0,0.10111474444792191,0.08333736001048236
168,0,0,0,0.027777833349925157,0,0,0,0.025000750028993934,0.025000000023283064,0,0,0.05000450002262369,0,0.01666649998514913,0.016668999975081533,0,0.022222000019003946,0,0,0,0,0,0,0.01111099999009942,0,0,0.024999500004923902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4216828666588602,0.04881071427371353
319,0,0,0,0,0,0,0,0.03333350003231317,0,0,0,0,0.03333566663786769,0.03055700003945579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13095649998701578,0
186,0,0,0,0,0,0,0,0.016668000002391638,0.016666000010445714,0,0,0.016667000018060207,0.01666766663159554,0.018751249994238606,0.039104230755653516,0.03888899999179153,0.031374352936194665,0,0,0,0.033334750012727454,0.06666866666637361,0,0.029168749984819442,0,0.0166680000256747,0.052779888889441885,0,0.05166840000310913,0,0,0,0,0.016666999959852546,0,0,0.02777766667228813,0,0,0,0.033335500018438324,0,0.389204567559441,0.04226357142657174
182,0.050000500021269545,0.06250299999373965,0.03333900001598522,0.033333999977912754,0.04444700002204627,0.0250034999626223,0,0.041672999985166825,0.016666333326914657,0,0,0,0.038096999982371926,0.06500100002158433,0,0,0.016668500000378117,0,0,0,0.10000100004253909,0.05000400001881644,0,0,0,0,0.02777866666050007,0.027780999992198,0.055555333325173706,0,0,0,0,0.04166849996545352,0,0,0,0.033337000000756234,0,0,0,0,0.32709545000689105,0.4068136315832625
