pid,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
136,0,0,0,0.050000499933958054,0,0,0,0,0.030002199998125433,0,0.02500200003851205,0.027777666691690683,0,0,0.016667000018060207,0.02142928573968155,0.05463185185497558,0,0.016667000018060207,0.026190999961857284,0,0.03611233325985571,0,0.04194543332171937,0.019444333311791222,0.04247509676872963,0.02777849999256432,0.016666000010445714,0.035294294151861,0,0,0.810159630758258,0.3614730000408599
176,0,0.055559000077967845,0.04375287497532554,0.05333380000665784,0.04166949994396418,0,0,0.04500199998728931,0.06250150001142174,0,0,0.0916715000057593,0,0,0,0,0.09821871426954333,0.016667000018060207,0,0.04625179999275133,0.02999999993480742,0.049999999813735485,0.016667000018060207,0.07666910004336387,0.0375032500596717,0.044450666677827634,0,0,0,0,0,1.3107654285683696,0.3764850588186699
155,0.02499899998656474,0,0.18333599995821714,0,0,0,0.07500214283520888,0.03750050000962801,0.04999949998455122,0.038888999998259045,0.07333399999188259,0,0,0,0.08571700000902638,0.04583333334691512,0.06006031034409936,0,0,0,0,0.022222000019003946,0,0.0725511176552733,0.04762157140066847,0.04583478570150744,0.01944500000293677,0,0.10555733334816371,0.016667000018060207,0,0.9285710454630933,0.2722332888955457
117,0,0.037038222226935126,0.03333350000320934,0.03833460001624189,0,0,0,0,0,0,0,0,0,0,0.016666999959852546,0.016666000010445714,0.04427212499649613,0,0,0.03055733333652218,0,0,0,0,0,0,0,0,0,0,0,0.64148819511302,0.3324957142847742
166,0,0,0.025000999972689897,0.033335333301996194,0,0.016666000010445714,0,0,0,0,0.02499900001566857,0,0,0,0.022222333316070337,0.02500049996888265,0.051853111130185425,0,0,0.05833849997725338,0,0,0.016674999962560833,0,0,0.06042000002344139,0,0.016666000010445714,0.04167299997061491,0,0,0.5693678928489264,0.22436638463001984
317,0,0.022222333316070337,0.03571442857251635,0.023335999995470046,0.02777766667228813,0,0,0,0.030556666664779186,0.024999999994179234,0.016667000018060207,0.03055583332995108,0.016666999959852546,0.02833499999542255,0,0.038095999999703575,0.025641538460219566,0.016667000018060207,0.03333299997029826,0.03468545945990529,0.02222266667134439,0,0.016668999975081533,0.037357931029340576,0.03333399999731531,0.02857242858902152,0.016662499983794987,0,0.0277785000022656,0.04583525001362432,0.022223833356595907,0.8857486190507189,0.08114365789438843
168,0,0,0.016666999959852546,0.036110666658108435,0.02916849998291582,0,0,0.016667000018060207,0,0,0,0.016667000018060207,0,0,0.0166664999560453,0.02916774997720495,0.0390167272628539,0,0,0.02756507692930217,0.08334000001195818,0,0.016665999952238053,0.027779041665780824,0.02222583333301979,0.03125200001522899,0,0,0.016666000010445714,0,0,0.43969495455001545,0.10117101999931037
319,0,0,0,0.016666000010445714,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0.06666750001022592,0.01666950003709644,0,0,0,0,0,0,0,0.016666000010445714,0,0,0,0.03333449998172,0,0,0.25885226530241495,0.10000599998359878
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0.021427857149059752,0,0.0750020000123186,0.01666500000283122,0,0.025001500005600974,0,0.016666000010445714,0.016666999959852546,0.038888666681790106,0.050002300000051035,0,0.058336500005680136,0.025001749992952682,0.031946166699829824,0.0791705000156071,0,0,0.016667000018060207,0,0,0,0.025000000023283064,0,0.03333300002850592,0,0,0,0,0,0.7596433333386906,0.403488124996026
310,0,0.04583450002246536,0.02083474997198209,0.03333457145241222,0.05000000004656613,0,0,0,0.01666650001425296,0,0.033338333324839674,0.016666999901644886,0.027779999965180952,0,0.016669000033289194,0,0.0355560666648671,0,0.0166680000256747,0,0,0,0.02500050002709031,0.033333999977912754,0,0,0,0,0,0.016667000018060207,0,0.7323621800052933,0.12500462503521703
129,0,0.06666600005701184,0.040280833335903786,0.058334500034106895,0.03214357142236882,0,0,0.016667000018060207,0,0,0,0,0.033333999977912754,0,0,0.0833358000149019,0.05625075000716606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2407865185156912,0.3803704999902818
111,0.10833399999683024,0.057146714289306795,0.04500180000177352,0.04166862500096613,0,0,0,0,0,0,0,0.058332999993581325,0.016667000003508292,0,0.025003500006278045,0,0.03485009090879678,0,0,0.016667000003508292,0,0.016667000003508292,0,0.024999999994179234,0,0.09167199999986526,0,0,0.05000000000291038,0,0,1.0667049090929637,0.2464375714334892
313,0.022224999993341044,0.0549025882347076,0,0.044049214284833785,0.07500124999205582,0.01666799999657087,0.020834249997278675,0.02499924999574432,0,0.033334000036120415,0.027083249995484948,0.05000177778290688,0.03333499998552725,0.01666649998514913,0.02500149999104906,0,0.03541797499856329,0,0.04167049999523442,0.06333566666580737,0,0.07000239999615587,0,0.05520925000018906,0.02500037499703467,0.05686582352877047,0.025000749992614146,0,0.03846269230080697,0.06969927272505382,0,0.7135199642846904,0.3599378625941836
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0.026666799979284405,0.02000040002167225,0.044445666717365384,0.04583449999336153,0,0.01666666668218871,0,0.03125374997034669,0,0.02083699993090704,0.04444899999847015,0,0,0.06666849995963275,0,0.07104522500303574,0.016666000010445714,0.02500050002709031,0.03640510524181943,0.05333380000665784,0,0,0.034168899967335166,0.03333300002850592,0,0,0.01667400007136166,0,0,0,1.1579706585318668,0.44059521738824475
143,0,0.031251000000338536,0.02250159999530297,0.048960125001030974,0.02222666665329598,0,0.03888900000796033,0,0.016666499999701045,0.016666000010445714,0.03055800000826518,0.03333999996539205,0,0.025003999995533377,0.08333300001686439,0,0.04444616666458185,0,0,0.02833759999484755,0,0.02916849998291582,0,0.019444666662214633,0.016667000018060207,0,0,0,0,0,0,0.9397787692264851,0.2270914583314152
311,0,0.03985721740932406,0.03452449997920277,0.04772936364381828,0.06667199998628348,0,0.04047728574369103,0.016669000033289194,0.025002999987918884,0.016665999952238053,0.030001400015316905,0.05000000004656613,0.04166699998313561,0.016671999939717352,0.04523742855859122,0,0.025001000030897558,0,0,0.0333346666690583,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0.8409835142915004,0.3161026206919281
