pid,public.0,void.0,actionPerformed.0,ActionEvent.0,e.0,int.0,selectedRows.0,=.0,features.0,getSelectedRows.0,if.0,selectedRows.1,length.0,>.0,0.0,boolean.0,valueToBeSet.0,=.1,Boolean.0,features.1,getValueAt.0,selectedRows.2,0.1,].0,0.2,)).0,booleanValue.0,for.0,int.1,i.0,=.2,0.3,i.1,<.0,selectedRows.3,length.1,i.2,features.2,setValueAt.0,new.0,Boolean.1,valueToBeSet.1,selectedRows.4,i.3,].1,0.4,code,participant_summary
136,0,0,0.03426050001548396,0.03333500004373491,0,0.03750266674129913,0.04250123333185911,0.03750049992231652,0.04798965518972997,0.03426011108482877,0,0.05175621050262922,0.023149777747069795,0.016667000018060207,0,0.023334799986332654,0.035509956534951925,0,0.022222500022811193,0.05555766665687164,0,0.03235388232175918,0,0.024999499903060496,0,0,0.03981655556708574,0,0,0.03541887499159202,0,0,0,0,0.04166766663547605,0,0.0333343332943817,0.03055683325510472,0.03722386667504907,0.033333249972201884,0.048335999995470044,0.016667000018060207,0,0,0,0,0.681096209888634,0.09930949998670258
176,0.03333200002089143,0,0.07083583332132548,0.03863627275198021,0,0,0.03796388886661993,0,0,0,0,0.05287655170782116,0.05000180001370609,0,0.0166680000256747,0.030001799995079636,0.08750337499077432,0,0.06611359996410708,0.18333699996583164,0,0.051925384564898334,0.01666500000283122,0.1166699999012053,0,0.0500040000770241,0.02499899989925325,0,0.04166600003372878,0.016666000010445714,0.016667000018060207,0.016669000033289194,0,0,0.06375209998805076,0.058332999993581325,0.0666693333381166,0.07361266665005435,0.03333374991780147,0,0.058334499946795404,0,0,0,0,0,0.7812816617558437,0.8458643000340089
155,0.03333300002850592,0.016667000018060207,0.05595442858092221,0.02777966666811456,0,0.016667000018060207,0.04999999993015081,0,0.03333666668428729,0.03777986667118967,0,0.03333488234784454,0.05463122223995419,0,0,0.035002000018721446,0.052085222225287,0.02222266667134439,0.0481493333225242,0.061112499994730264,0.02083300001686439,0.05972466666975783,0,0.055557000023933746,0,0.05278083334754532,0.06169135065434815,0,0.01666649998514913,0,0,0,0,0,0.02222166662492479,0,0,0.06666922223262696,0.06905071428211938,0.016667499963659793,0.037499999976716936,0,0,0,0,0,1.125533558828037,0.6591165454486724
117,0.04469836363039741,0.05833499995060265,0.02500049999798648,0.03875175000866875,0.016667000018060207,0,0.045239000007443665,0,0.033334000036120415,0,0,0.039217823544544554,0.04444733331911266,0,0.03889166668523103,0.021668299997691064,0.028646687514992664,0.016663999995216727,0.016674000013154,0.016667000018060207,0,0.12083899998106062,0,0,0,0.03333800000837073,0.04167000000597909,0,0,0,0,0.02222299996841078,0,0,0.05714557140267321,0.05139049999221849,0,0,0,0.016666000010445714,0.016666000010445714,0,0,0,0,0,1.0415295319101634,0.5317677619057664
166,0,0,0,0.12500600004568696,0,0,0,0,0.11666499986313283,0,0,0.028126125005655922,0.016666000010445714,0.016667000018060207,0,0.05833799997344613,0.04285842855460942,0.050008999882265925,0.016666999901644886,0,0,0.05947177272438156,0.01944599999114871,0,0,0.05000249994918704,0.06771112501155585,0,0.027777999988757074,0,0.02222366665955633,0,0,0.025002500042319298,0.022916999994777143,0.0611106666813915,0,0.022223111112705536,0.06389199999264544,0.033334000036120415,0.016666000010445714,0,0.06018666666932404,0.016667000018060207,0.033331000013276935,0,0.7899239999910895,0.3602902333290937
317,0,0.016667000018060207,0.03000086664687842,0.03541875000519212,0.008333499979926273,0,0.022917500005860347,0,0.020833249975112267,0.03291715000232216,0,0.049383111116993755,0.021212272737598556,0,0,0.04444500000681728,0.018750875016849022,0,0.020833250018768013,0.03333533332139874,0.02666860001627356,0.03823682353557909,0.03888966667000204,0.05000300001120195,0,0.016667000018060207,0.03125162501237355,0,0,0.016666999959852546,0,0.01667250000173226,0,0,0.028334599977824837,0.020833499991567805,0.016668500014930032,0.016671999997925013,0.037037555555192135,0.016663333323473733,0.05333519999403506,0.04615523076902788,0.025001333327963948,0.016666000010445714,0.01666733333452915,0,0.4231411458279278,0.14236286740707624
168,0,0,0.022221333308455844,0,0,0,0.033333999977912754,0,0.016667000018060207,0.06667000002926216,0,0.02361233332582439,0.02916700000059791,0,0,0,0.027782833320088685,0,0,0.025004499999340624,0,0.04814866667665127,0,0.016667000018060207,0,0,0.04722316667903215,0,0,0,0,0.016667000018060207,0,0,0.021667600004002453,0,0,0,0.03750099998433143,0.025000000023283064,0,0.016667000018060207,0,0,0,0,0.23825425262881542,0.16333959999959916
319,0,0,0,0.016667000018060207,0,0,0,0,0,0.016666333307512105,0,0.050002666694733,0,0,0,0,0.07222566664374123,0,0.044446000014431775,0,0,0.016668500029481947,0,0,0,0,0,0,0.01666650001425296,0,0,0,0,0,0,0,0,0,0.05000599997583777,0.016667000018060207,0,0,0.02500499994494021,0,0,0,0.31743627273350616,0.23334699997212738
186,0,0.016666999959852546,0,0.04167066665831953,0,0.033333999977912754,0.031550142860006805,0,0.05625249998411164,0.016667499992763624,0,0.0537051111071681,0.016666999959852546,0,0,0.022223333343087386,0.05000162498981808,0,0,0,0,0.04547319564026902,0.016666999959852546,0,0,0.016666333326914657,0.020833749978919514,0,0.022222666632539283,0,0,0,0,0,0.02666859999881126,0,0,0.035938375011028256,0.03750125000078697,0.04833560000406578,0.020834500013734214,0,0.016668999975081533,0,0,0,0.6725574444324054,0.4495264705825214
182,0.055558333348017186,0,0,0.020833500020671636,0,0.07500425000034738,0.10834049998084083,0,0,0,0,0.03788009090666575,0.04047914285911247,0,0,0,0.058335250010713935,0,0,0,0,0.08889099998244394,0.016667000018060207,0,0.022222333316070337,0,0.040152545441577044,0,0,0,0,0,0,0,0,0,0,0.1500079999677837,0.03055733333652218,0,0,0,0.024999999994179234,0,0,0,0.703731166662894,0.40964106896366315
