pid,public.0,void.0,testNegativeParseCases.0,verbose.0,"""--->Negative parse tests START"".100",for.0,int.0,i.0,=.0,0.0,i.1,<.0,negativeParseTests.0,length.0,i.2,parseFilter.0,negativeParseTests.1,i.3,FALSE.0,// This used to fail until the parser was rewritten with the stack.200,// stuff so that it can clean up partially parsed expression trees..201,checkDelete.0,code,participant_summary
136,0,0,0.036905999993905425,0.0500040000770241,0,0,0,0.016667000018060207,0,0,0,0,0.03809728566557169,0,0,0.04679669228454049,0.029024379343950545,0,0,0,0,0.04643057143714811,0.4105232898550837,0.05625100003089756
176,0,0.025001750036608428,0.2091740000527352,0.056667800061404705,0,0.06666900007985532,0.040277833313060306,0.016667000018060207,0,0.0666659998241812,0,0,0.0447933124814881,0,0,0.060835099988617004,0.07932385184836609,0,0,0,0,0,0.928033599993214,0.23056511112695766
155,0.10000699997181073,0,0.029165000014472753,0.04999950004275888,0,0,0,0,0,0,0,0,0,0,0,0.0708359999989625,0.02500049999798648,0,0,0,0,0.06250299999373965,0.5913428750160771,0.23195300000952557
117,0.02666759999701753,0.03958799999963958,0.04563699999735469,0.016667499992763624,0,0.016667000018060207,0.026923692306109633,0.033334000036120415,0.016667000018060207,0.01667100004851818,0.024999999994179234,0.016667000018060207,0.025556599996828785,0,0,0.040835799986962226,0.07760768751177238,0,0,0,0,0.016668999975081533,0.8109070678010694,0.2966784000086288
166,0,0,0.045831500028725713,0.02777966666811456,0,0,0,0,0,0,0.02500049991067499,0,0.03541800001403317,0,0,0.0333346666690583,0.05740955556070225,0,0,0,0,0.0416681666392833,1.0578848823480418,0.5494247142674534
317,0,0,0.03823705882464042,0,0,0,0,0,0,0,0,0,0,0,0,0.05238271427307544,0.029166749998694286,0,0.1083354999718722,0,0.016666000010445714,0.04791849999310216,1.1322652000002562,0.06666966663518299
168,0,0,0,0,0.04166749995783903,0,0.022222333354875445,0.016667000018060207,0,0.027777999988757074,0,0.03332899999804795,0.08750500000314787,0,0,0,0.024999999965075403,0,0,0,0,0,0.3344102127655865,0.09444813332908476
319,0,0,0.11667599994689226,0,0.04159899998921901,0,0,0,0,0,0,0,0.05833400000119582,0,0,0.0166680000256747,0.016667666650998097,0,0,0,0,0,0.28666438094695057,0.13331340000149794
186,0,0,0.05000100005418062,0,0,0,0.04166733333840966,0,0,0,0,0,0.030557166658885155,0,0,0,0.029762714278019433,0,0,0,0,0,0.44601712000323457,0
182,0.016666000010445714,0.06250099999306258,0.05714471429070857,0.05926155554415244,0.03645962500013411,0.038890333322342485,0.029167499975301325,0,0,0,0,0.016669000033289194,0.029167250002501532,0,0.016666999959852546,0.03888999998647099,0.04062550000526244,0,0,0,0,0,0.7229432999942219,0.7384888461540238
