pid,public.0,boolean.0,add.0,Date.0,date.0,if.0,dates.0,contains.0,date.1,return.0,FALSE.0,boolean.1,added.0,=.0,FALSE.1,for.0,int.0,i.0,=.1,0.0,i.1,<.0,dates.1,size.0,&&.0,added.1,i.2,Date.1,nextDate.0,=.2,dates.2,get.0,i.3,if.1,date.2,before.0,nextDate.1,dates.3,add.1,i.4,date.3,added.2,=.3,TRUE.0,if.2,added.3,dates.4,add.2,date.4,return.1,TRUE.1,code,participant_summary
136,0,0.0166680000256747,0,0,0,0,0.03333333328676721,0.03125099997851066,0,0.03333499999716878,0.04861299996264279,0.06666775001212955,0,0,0,0.025001499918289483,0.035187111106804676,0,0,0,0.016667000018060207,0,0,0,0,0,0,0.07222500008841355,0.02000000001862645,0,0.058335600048303606,0.016667000018060207,0.03333300002850592,0,0,0,0,0.030557666750003893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4491232857024962,0.10139249998610467
176,0.02499900001566857,0.04828564704888884,0.046669000014662745,0.03541837498778477,0.016667000018060207,0,0.03333511105221179,0.04318254544738342,0,0.03666720003820956,0,0.060418874985771254,0.054764428575124056,0,0,0.039584499958436936,0,0.016663999995216727,0,0.016666000010445714,0,0,0.02222216664813459,0,0,0,0,0.08333700010553002,0.03541975002735853,0,0.033335500047542155,0,0,0,0.055556999907518424,0.008334500016644597,0.01667100004851818,0,0.10000350000336766,0,0,0,0,0,0,0.026669399905949832,0,0,0,0,0,0.8083639736961279,0.3515287727562033
155,0,0,0.016667000018060207,0,0,0,0.03809614286624959,0.05432296297038664,0.06667149996792432,0.030556166680374492,0.07386590910027735,0.0400008000084199,0,0,0.05000099996686913,0.03571499999712354,0.0625022500025807,0,0.01666799996746704,0.02916700002970174,0.025000000003880512,0,0.01667100001941435,0.02777766667228813,0,0.041673999978229403,0,0.04848672727927227,0.05931694117744508,0.016667000018060207,0.05416859091598202,0.05278099997667596,0.03750249999575317,0.020833499991567805,0.07262328573103462,0.04318327274152332,0.03889266665404042,0.041270999990436916,0.03796316666476843,0.028572142864244858,0.03137311765321476,0.041668722218471684,0.04166783332281435,0.03565000000202821,0,0.033337000058963895,0.05000278572385598,0.051668500009691344,0.016666999998657655,0,0,0.6766631785701195,0.20019926436796742
117,0.07500699994852766,0.04433508000569418,0,0,0,0,0.033333750019664876,0,0,0.0166683999937959,0.07500550002441742,0.030555499989228945,0.050000500050373375,0.016667000018060207,0.055558333348017186,0,0.018750749994069338,0.033333999977912754,0.033334000036120415,0.029168749999371357,0.033335666676672794,0.01666650001425296,0.07500133331632242,0,0,0,0,0.030955142840476974,0.04375074998824857,0.016670000011799857,0,0,0,0.024999499990371987,0.03333538461279554,0.03631100000347942,0,0.033333999977912754,0,0,0,0.016666000010445714,0,0,0,0.06667600001674145,0,0,0,0,0,0.45740964515660437,0.5351087368448804
166,0,0.04722400001871089,0.020836999989114702,0.031251750042429194,0,0,0.0166680000256747,0.05521099999896251,0,0.04074344442536434,0.050000714271196296,0,0.035417749983025715,0,0,0.02500349999172613,0.04318281819789924,0,0.0166680000256747,0,0,0,0,0,0,0,0,0,0.03889016667380929,0.02500200003851205,0.030303636375306683,0.02222366665955633,0,0,0.04833479998633265,0.040476857168999104,0.04166700004134327,0.036113500013016164,0.028333199978806078,0.016667000018060207,0.03583470000885427,0.016667500021867454,0,0.036668399977497754,0,0.11111366659558068,0.03981611113219211,0.05000300001120195,0,0.033332500024698675,0.022222333354875445,0.37501437838403257,0.3564943333234017
317,0,0.03334700001869351,0,0.027778000027562182,0.022222333354875445,0,0.01666833332274109,0.03529652941506356,0.06111483331187628,0.054171250012586825,0.02777750000435238,0,0,0,0,0,0.016669000004185364,0.016667000018060207,0.033333999977912754,0,0,0,0.016666000010445714,0,0,0,0,0,0.043335400009527805,0,0,0,0,0,0.022224166653662298,0.019445499987341464,0.04166675001033582,0.016667499992763624,0.016666999959852546,0.03333299997029826,0,0,0.016666000010445714,0,0,0.02222216666753714,0,0.01904757139605603,0.043334799993317574,0,0.029167749991756864,0.7631252499891811,0.09722433334536618
168,0,0,0.030003399995621294,0,0,0,0.0625034999975469,0.033335666657270245,0,0.033334999992803205,0.0364608749805484,0.016666000010445714,0.013890333337864528,0,0.016666999959852546,0,0,0.016666000010445714,0,0,0,0,0,0.04167000000597909,0,0,0,0,0.02976271427386174,0,0.025000000023283064,0.027084000001195818,0,0,0.02000020002014935,0.02976257144473493,0.08333400002447888,0.025000800017733128,0.04166699998313561,0,0.02833380001829937,0,0,0.025000999972689897,0,0,0.03333900001598522,0,0,0,0,0.27709458333871834,0.1411674999998826
319,0,0,0,0,0,0,0,0.03333399991970509,0,0,0,0,0.06667099997866899,0,0.01666799996746704,0,0.016667000018060207,0,0,0,0,0,0,0,0,0.0833250000141561,0,0,0,0,0,0.11667000001762062,0,0,0.05000300001120195,0.022222333354875445,0.06667099993986388,0.06666733328408252,0.06667299999389797,0.04999999993015081,0.02222199998019884,0,0,0,0,0,0,0,0,0,0,0.16790899998698108,0.2853049999856226
182,0.016669999982696027,0.04166838094603181,0.03333333332557231,0.01666650001425296,0,0.03333300002850592,0.05000074999406934,0.051854888908565044,0,0.030392764707999852,0.0426493529435795,0.05333400000818074,0.09500420003896579,0,0.05701999999521496,0,0.016667000018060207,0,0,0.03666859999066219,0,0.033334000036120415,0.040000400028657165,0,0,0,0,0,0.02820538462121756,0.024999999965075403,0.028573571438235894,0,0,0.024999999994179234,0.02619285713548639,0.025003249989822507,0,0.06458749999001157,0,0,0,0.04166640001349151,0,0,0,0.03333299997029826,0.04167000000597909,0,0,0,0,0.7055819710122718,0.5604859069842564
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333300002850592,0,0,0,0,0,0,0.01667099993210286,0,0,0,0,0,0,0.29286799997290863,0
