pid,public.0,void.0,appendDeclarations.0,LaTeXDocumentPortion.0,pack.0,LaTeXDocumentPortion.1,decl.0,if.0,bContainsEndnotes.0,pack.1,append.0,"""\\usepackage{endnotes}"".0",).0,nl.0,if.1,bContainsFootnotes.0,convertFootnotesConfiguration.0,decl.1,if.2,bContainsEndnotes.1,convertEndnotesConfiguration.0,decl.2,code,participant_summary
136,0,0,0.016666000010445714,0,0,0,0,0,0.034259111128954425,0,0.025925777800795104,0.026192571435655867,0,0,0,0.016669999808073044,0.06667100004851818,0,0,0.02963088887433211,0.04285835714212486,0,0.6589757222294187,0
176,0,0.04583524996996857,0.06605203706702148,0.04762078570534608,0,0.044448166619986296,0,0,0.05357369048787015,0.03750274999765679,0.04722283334316065,0.06087191300669118,0,0.13333849993068725,0,0.050001285754011145,0.07262153570939388,0,0,0.03722426666257282,0.03680700001617273,0,1.7143497428391128,0.23334161109394497
155,0,0.05000175000168383,0.06597533333600343,0.060258153857340895,0.03750050000962801,0,0,0.024999999994179234,0.048057133331894875,0.052565923086009346,0.05417200000374578,0.05079614285967268,0.03333366666144381,0,0.025000000023283064,0.05370562963394655,0.07639099999020497,0,0,0.07500336366303434,0.047808210509461595,0,0.8497411228068941,0.5220789411584573
117,0,0.025000250010634772,0.02381185714953712,0.05833349999738857,0,0,0,0,0.03114094736826557,0.033336999971652403,0.016667000018060207,0.0361118333239574,0,0,0,0.04444699999294244,0.036666799988597634,0,0,0,0,0,1.02099821212257,0.24676966666205166
166,0,0,0,0,0,0,0,0,0.016667000018060207,0.016667000018060207,0.03910507694280778,0.06944700000652422,0,0.02500199998030439,0,0.03666765000671148,0.06528033333597705,0.022222999987813335,0,0.044793250005265385,0.06742659091568468,0.18333800008986145,0.596386018181643,0.46186178948387113
317,0,0.03333649999694899,0.03541829167079413,0.023077230766200676,0.03095200000097975,0.05000450002262369,0,0,0.0362753529300201,0,0.03571499999712354,0.030209843744160025,0.03333649996784516,0.03333500004373491,0,0.030703578953092035,0.027470296296222066,0.020835499992244877,0,0.03690638095057303,0.03299534694073075,0.016669000033289194,0.9771001980176638,0.10741230555383179
168,0.04166699998313561,0.016667599976062774,0,0.0225011000118684,0,0.03333449998172,0,0,0.040279583340937584,0.031061999991917135,0.040626874993904494,0.030555666676567245,0.01667033335737263,0,0.03333800000837073,0.027976857136569118,0,0,0.033332499995594844,0.022396437499992317,0.016666000010445714,0,0.32955209655358036,0.1545512954617152
319,0,0,0,0,0,0,0,0,0,0,0,0.06667599990032613,0.03333500004373491,0,0,0,0.03333420001436025,0,0,0,0.04999999993015081,0.016667000018060207,0.46430335716078325,0.0933372000232339
186,0,0.02917000002344139,0.03791900001233443,0.03791830000118353,0.03333300002850592,0,0,0,0.023889799990380805,0.025002142855165794,0.03809528570023498,0.026852111105755385,0,0,0,0.03889033334174504,0.0314822222183769,0,0,0,0.03379755555134681,0.03333500004373491,0.9551176585373469,0.22167444999358848
182,0.05000149999978021,0.027778333344031125,0.03250119999866001,0.04912442105246315,0.03333420002600178,0,0,0.016667000018060207,0.03125262499816017,0.01666666668218871,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0.43501604705884617,0.2957969310294687
