pid,public.0,void.0,addPKColumn.0,String.0,aPKColName.0,throws.0,IllegalArgumentException.0,Column.0,col.0,=.0,Column.1,colMap.0,get.0,aPKColName.1,if.0,col.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.1,"""The column |"".100",+.0,aPKColName.2,+.1,"""| does not belong to the table |"".101",+.2,name.0,+.3,"""|"".0",pkColumns.0,add.0,col.2,code,participant_summary
136,0,0,0.04285842855460942,0.03055616662216683,0.020835000032093376,0.024999999984477956,0.016667500021867454,0,0.01875099999597296,0.06666700006462634,0.035417750012129545,0.03928719047412631,0.03571542854686933,0.035417916680065296,0,0.016667000018060207,0.03333900007419288,0.016666000010445714,0,0.016667000018060207,0.03809742855706385,0,0,0,0,0,0,0,0,0,0.0543666190600821,0.027777999988757074,0.033331000013276935,0.8953057567563814,0.16458937496645376
176,0.026666999980807304,0.04444566663975517,0.04750170002225786,0.05520999999134801,0.03055533328248809,0.0833400001283735,0.016667000018060207,0,0.02777899995756646,0,0,0.07692607689219025,0,0.025001500034704804,0.05833550007082522,0.025000000023283064,0,0.05416900012642145,0.04166799993254244,0,0.07143328575018261,0,0,0,0,0,0,0,0,0,0.04524099999772651,0.01666599977761507,0,0.9190836071585571,0.396679800003767
155,0.030002799979411066,0.07222400000318885,0.022222444440962538,0.052013448280972784,0.06131314285864521,0.043750500030000694,0,0.060188000006342515,0.11574477778049186,0.02500199998030439,0.04000249998643994,0.05653372972045798,0.039167300006374715,0.027084375004051253,0.055557999992743134,0.07261985712518383,0,0.025000250010634772,0.2500080000027083,0,0.05833642858280135,0,0,0,0.016667000018060207,0,0.033334000036120415,0,0,0,0.06468471429321826,0.041667428582773676,0.06667200004449114,1.1083767352940734,0.26297386109945364
117,0.04583549998642411,0.03703888887927557,0.04356168181667189,0.0434038333381371,0.027451588238096413,0,0,0.02500166664443289,0.03333499998552725,0,0.037502500024857,0.045834750024368986,0.04583450002246536,0.016666000010445714,0,0.038098285714763085,0.016667000018060207,0.03333333334497487,0,0,0.04889019998566558,0,0,0,0,0,0,0,0,0,0.033333999977912754,0,0,0.8193933676495149,0.29834520001313647
166,0,0,0,0,0,0,0,0.0944459999833877,0,0,0,0,0,0,0,0.0416689999983646,0.033332666692634426,0,0.0166680000256747,0.016666333307512105,0.08214607143807891,0,0,0,0.016666999901644886,0,0,0,0,0,0.12500299990642816,0.025000000023283064,0,0.7666952631705882,0.16389579999571044
317,0,0.01667100004851818,0.05000450002262369,0.033334000036120415,0.05000899999868125,0,0.03666880000382662,0,0,0,0,0.01666533333870272,0.016669333330355585,0.025004499999340624,0,0.0333342222082946,0,0.016667000018060207,0.03333599999314174,0.033334000036120415,0.03888866666238755,0.016667000018060207,0,0,0,0,0,0,0,0,0.036112499995700396,0,0.016667000018060207,0.28801028000656514,0.0780722631668476
168,0,0.06666700000641868,0.050004999997327104,0.02499900001566857,0.03055533334069575,0.025000000023283064,0.016667000018060207,0,0,0,0.01666650001425296,0.023333799990359692,0,0.020833000002312474,0,0.016666000010445714,0.016669999982696027,0.03333575000579003,0.04167300002882257,0.025000000023283064,0.025001923070074275,0,0.016666000010445714,0,0,0,0,0,0,0,0.033338499983074144,0,0.016666000010445714,0.4105175753492441,0.11250468749494758
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033334750012727454,0,0,0,0,0,0,0,0,0,0,0,0,0.2777863333467394,0.40334799997508525
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016673000005539507,0,0,0,0,0.0277781666663941,0,0,0,0,0,0,0,0,0,0,0,0,1.3750528888906248,0.15833900007419288
182,0.15833999999449588,0,0.02777849999256432,0.03787981817731634,0.03333716667839326,0.016667000018060207,0.02000020000850782,0.016665999981341884,0.03055733333652218,0.016667000018060207,0.056667799968272446,0.05500193332942824,0.06666799998492934,0.03611316666744339,0,0.025002500013215467,0.05833549998351373,0.016667000018060207,0.016667000018060207,0,0.022222666690746944,0,0,0,0,0,0,0,0,0,0.03333350003231317,0,0,0.8344263616934459,0.46012723999718824
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0,0,0,0,0,0.016665500006638467,0,0,0,0.975037500000326,0
129,0,0.018056333346369986,0.03646041666555296,0.04166800001015266,0.04466812000377104,0,0,0,0.016671999997925013,0,0.02857157145626843,0.04722566663986072,0,0.11666950001381338,0,0.15833900001598522,0,0.040002000005915764,0,0,0.05357357142825744,0,0,0,0,0,0,0,0,0,0,0.02916699997149408,0,0.7747680624997884,0.5040423793172271
111,0,0,0.0222259999961049,0.07777999999719516,0.016667000003508292,0,0,0.016666000010445714,0,0,0,0,0,0,0,0.07222599999416464,0,0.06666880000266247,0,0,0.03750183333371145,0.07500299999810522,0,0,0,0,0,0,0,0,0,0.08333300000231247,0,1.3161958125047022,0.21923961538302067
313,0.020373000006657094,0.04375150000487338,0.05277900001965463,0.04523899999912828,0.03472249999564762,0.05833350001194049,0.04333300000289455,0,0.022226999989167478,0,0.027777333326715354,0.04762100000100743,0.016666999988956377,0.02500049999798648,0.016666000010445714,0.06667200004449114,0,0.016666999988956377,0.0208344999991823,0.06667000000015832,0.04027841666538734,0.016671999997925013,0.025000499983434565,0,0.016666999988956377,0,0.016666499992425088,0,0,0,0.02916824999556411,0.016672999976435676,0,0.9151407499975903,0.5384814615356915
315,0,0.025002499984111637,0.030667319998610765,0.022224333331299324,0.027775333359992754,0,0,0.020833249989664182,0.016666857134883424,0,0.023333800002001227,0.06428957142634317,0.02500199998030439,0.03667089998489246,0,0,0.016667000018060207,0.03095414285780862,0,0,0.05000050003582146,0,0,0.016669999982696027,0,0,0,0.03333299997029826,0,0,0.03333200002089143,0.016670500015607104,0,0.9048733870919433,0.19271565623967035
133,0,0.03846269229856821,0.04791895005619153,0.047439153861397736,0.0363109285743641,0.05555666668806225,0.035418562503764406,0.04074199999579125,0.02500575000885874,0,0.027779999991051026,0.036335800010710954,0.022222666690746944,0.05000450008083135,0,0.00833400001283735,0,0.040478428559643884,0.036365636412731626,0.05555866674209634,0.0520848749729339,0,0,0,0,0,0,0,0,0,0.061112777795642614,0.01666666668218871,0.016663999995216727,0.8074063333286636,0.3047343333406995
143,0,0,0.028705333327201918,0.02619142857396842,0.02333380001364276,0.033333999977912754,0,0.033334000007016584,0,0.016672999976435676,0,0.0333350000049298,0,0.016667000018060207,0,0.033337000000756234,0,0,0,0,0.03055533334069575,0,0,0,0,0,0,0,0,0,0.024999500019475818,0,0,1.5451989999928628,0.4427207499938959
311,0,0.026667800010181965,0.051669399999082086,0.0378789090953598,0.016667000018060207,0.01666500000283122,0.016673000063747168,0.03333466664965575,0.016673000063747168,0.06667100003687665,0,0.08333624998340383,0.03333462501177564,0.016666999901644886,0,0.016667000018060207,0,0.016667000018060207,0,0,0.03809642856608012,0.016667000018060207,0,0,0,0,0,0.016666000010445714,0,0,0.03333299999940209,0,0,0.5941084516084483,0.216675541678948
314,0,0,0.03333500004373491,0,0.049998999980743974,0,0,0,0,0,0.016666499999701045,0.04824894737133658,0,0.04487369230348402,0,0,0.03333800000837073,0.02916749998985324,0,0,0.035715285709427134,0,0,0.016666000010445714,0,0,0,0,0,0,0.016667000018060207,0,0,1.333387333335122,0.34816111111690085
106,0.0361149999856328,0.025000666675623506,0.03472394444300638,0.024167399998987094,0.03974607692529949,0,0,0.02500066666592223,0.05000099999597296,0,0,0.008333499994478188,0,0,0,0.025000500012538396,0,0,0,0,0.036310857153564156,0,0,0,0,0,0,0,0,0,0,0,0,0.11583777083421107,0.10929861538450215
318,0,0,0.030558166676200926,0,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016664000053424388,0,0,0.17708931249580928,0.22083936364453455
147,0,0,0.0421320000055453,0.0402789166449414,0.037879636363041674,0.01667099993210286,0.11666800000239164,0.020002399967052043,0.02666840001475066,0.0166680000256747,0.04702514286951295,0.03734744443230469,0,0.016667000018060207,0,0.050003500015009195,0.016674999962560833,0,0.016666999901644886,0.02778000000398606,0.03472616667083154,0,0,0,0,0,0,0,0,0,0.024999666687411565,0.016667000018060207,0,0.9109731874887075,0.2106670232538437
191,0,0.033334333333186805,0.03333299997029826,0.016669000033289194,0.041667249985039234,0.033334000036120415,0,0.016666999901644886,0.03333350003231317,0.024999999965075403,0,0.02685477776038978,0.021430428572265164,0.0333329999120906,0,0.008335000020451844,0.024995499989017844,0.037504499981878325,0.02500199998030439,0,0,0,0,0,0,0,0,0,0,0,0.023149333350981276,0,0,0.7439172333688475,0.379877166657631
189,0,0,0.037501857135794125,0,0.02499900001566857,0,0,0,0.01666500000283122,0.016667000003508292,0.0395848749903962,0.030304090910993346,0.0275009000004502,0.01666650001425296,0,0.016666000010445714,0.038890333351446316,0.05556000000797212,0,0.03666759999468923,0.01666679999907501,0,0,0,0.041666999997687526,0.024999999994179234,0,0.024999499990371987,0,0,0.02499999997962732,0,0.016669999997247942,1.0175392400030978,0.04880942855379544
316,0,0,0.03409209091544405,0.05000230769823807,0,0,0,0,0.033333999977912754,0,0.04999999998835847,0,0,0,0,0,0,0.016666000010445714,0,0,0.033335199987050146,0,0,0,0,0,0,0,0,0,0,0,0,0.43905086841550656,0.3466805250078323
139,0.10833399999955873,0,0.04722266666683734,0.055557666666572914,0.05595457142823891,0.033332000000882545,0.048150222222425834,0.1499949999997625,0.025000333332779217,0.016668500000378117,0.035187000000304475,0.06372829411777596,0.033334999999624415,0.03111246666655158,0,0.04166750000058528,0,0.04880885714244089,0.03333399999974063,0,0.05729387500025496,0,0,0,0,0,0,0,0,0,0,0.016670999999405467,0,0.9224699807692349,0.20773097560999215
