pid,public.0,String.0,showLatestPlan.0,// clear previous protocols.200,mCurrPlanProt.0,=.0,nan.0,try.0,PatientController.0,han.0,=.1,new.0,PatientController.1,mCurrPatient.0,NutPlan.0,plan.0,=.2,han.1,getLatestNutritionPlan.0,NutritionController.0,controller.0,=.3,NutritionController.1,editPlan.0,plan.1,mCurrPlanProt.1,=.4,WebPlanProtocol.0,createPlan.0,controller.1,plan.2,mCurrPatient.1,return.0,"""success"".0",catch.0,Exception.0,e.0,e.1,printStackTrace.0,return.1,"""failure"".0",code,participant_summary
166,0,0.10833800002001226,0,0,0,0,0,0,0.04583349992753938,0,0,0,0,0,0.01667099993210286,0,0,0,0.033332333356762923,0.02222600004946192,0,0,0.03645937502733432,0,0,0.02916749996074941,0,0,0,0.17500599997583777,0,0,0,0.016667000018060207,0.04999999993015081,0.04047571431978473,0,0,0.034262111061252654,0,0,0.4400143200205639,0.4208490000067589
319,0,0,0,0,0,0,0.15001300000585616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13519088889006525,0
111,0.027777999998458352,0.04047828571180746,0.034850363634177484,0,0.10833850000199163,0,0,0.02917024999987916,0.05297821428705772,0.016667000003508292,0,0,0.03541662499992526,0.016666666667636793,0.05000100000179373,0,0,0,0.08542074999422766,0.041666999997687526,0,0,0.05937699999958568,0.028571428577249338,0,0,0,0,0.033332999984850176,0,0.05416799999511568,0,0,0,0.041664999997010455,0,0,0,0,0.038889666674852684,0,0.7804764230761345,0.28526599999839586
143,0,0.01667099999031052,0.03659495651980093,0.03958499999134801,0.024538361112516012,0,0.02333359999465756,0.041669500002171844,0.032693115382034406,0.029167500004405156,0.016667000018060207,0,0.030769615382618774,0,0.030953285716740147,0.01500059999525547,0,0.016666500006977003,0.03392985714682644,0.020833999995375052,0.020833250004216097,0,0.03750150000269059,0.016667000018060207,0,0.025926222225987457,0,0.016665999981341884,0,0,0,0,0.019444999998086132,0.03333300002850592,0,0.016665999981341884,0,0,0.020000599994091317,0.029167000007873867,0,0.5591759999986888,0.6443215789500085
316,0,0.022223999995427828,0.03777962222747091,0.024999500019475818,0.01666650001425296,0,0.016665999952238053,0,0.022222666661643114,0.033334000036120415,0.016667000018060207,0,0.025001750014780555,0.03333566669607535,0.0166680000256747,0.02777933335164562,0,0,0.016667000018060207,0.04444500002621984,0,0,0.01666650001425296,0,0,0.036114166636252776,0,0,0,0,0,0,0,0.02500200000940822,0,0.054168749978998676,0,0,0.013888666668208316,0,0.016666000010445714,0.35770584615932494,0.25625925001804717
