pid,function declaration,parameter,variable declaration,conditional statement,conditional block,loop
136,0.0342605000154839,0.0333350000437349,0.1997541662700333,0.1332406549032351,0.208795361089812,0.23487015820185939
176,0.1041678333422168,0.0386362727519802,0.0379638888666199,0.2416314517288338,0.46054515938277524,0.3236182499482914
155,0.1059544286274883,0.0277796666681145,0.1377835333036878,0.1101877712127233,0.3608207395735773,0.20655393644027192
117,0.1280338635789864,0.0554187500267289,0.078573000043564,0.23109289494377971,0.2628289875261541,0.0555549999893021
166,0.0,0.1250060000456869,0.1166649998631328,0.1704892917526496,0.31450132603905223,0.26297044448761453
317,0.0466678666649386,0.0437522499851183,0.0766678999832946,0.1197634838239848,0.25241117359806087,0.2615386529545779
168,0.0222213333084558,0.0,0.116671000025235,0.0744469333304246,0.1481591666751125,0.0958350000437348
319,0.0,0.0166670000180602,0.0166663333075121,0.050002666694733,0.13334016668765478,0.10834449995309099
186,0.0166669999598525,0.0416706666583195,0.1378041428147947,0.0970407110658318,0.1551989039119463,0.1815013916372357
182,0.0555583333480171,0.0208335000206716,0.1833447499811881,0.07835923376577811,0.22626812876886532,0.205565333298485
310,0.0166669999598525,0.0,0.0,0.0416669999831356,0.08611133329880721,0.0
129,0.0419446666705577,0.0435191111108805,0.0765179545269347,0.15986596664200362,0.2402852136735268,0.1333339999546295
111,0.13821326993561278,0.0384084782620092,0.13306206666335718,0.2735230771268519,0.2658096444378582,0.43381730553705355
313,0.10694825001701229,0.0291675000044051,0.1611233333339136,0.2394574333467364,0.2282816110661152,0.2208349999831016
315,0.0214291428232432,0.0333337999822106,0.1084453408612396,0.1294120857558611,0.2408305487530875,0.12315303337462741
133,0.0674275844116005,0.0291667500277981,0.0802439124294323,0.1765558761455826,0.1392355914298523,0.15555983320033773
143,0.038892500005507105,0.0308350000035716,0.033333555543019006,0.1885478124768268,0.14824378888200312,0.0583315000258153
311,0.0222223333160703,0.0166670000180602,0.09167183336103331,0.1166705000084927,0.13334099994972332,0.0833354999776928
314,0.055953428562913396,0.043749374985054504,0.14710764393182169,0.2400857619161665,0.22644715478296917,0.2861299999882852
106,0.0296307777785437,0.0233343500018236,0.1133416000375289,0.1219134571205357,0.17847758334039193,0.043331400013994395
318,0.0,0.0,0.0333380000083707,0.058333999972091904,0.0,0.0166670000180602
147,0.0324078333279531,0.0493613845991114,0.1608929208519666,0.138104885641951,0.2147752761829731,0.21986631663069878
191,0.11375543332542279,0.0256965000007767,0.1369104095518454,0.10613762835904081,0.2351845168544213,0.22361620249769937
189,0.0515532965164733,0.0649436206580941,0.14254606293194838,0.1632968049212427,0.213288624392079,0.24358052224011018
316,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0261924285607944,0.0,0.0,0.12917425000341598,0.1231512777740134,0.0250050000031478
139,0.10357333333255761,0.0434537857141289,0.2064449386579193,0.3000571147304546,0.3745542423113289,0.23124620158784015
