pid,function declaration,externally defined variable or function,literal,loop,conditional statement,comment
136,0.0369059999939054,0.0964345715141722,0.0,0.0924880716465511,0.0380972856655716,0.0
176,0.2341757500893436,0.0566678000614047,0.0,0.33043878507214,0.0447933124814881,0.0
155,0.1291719999862834,0.1125025000364983,0.0,0.0958364999969489,0.0,0.0
117,0.1118925999940116,0.0333364999678451,0.0,0.228706179925603,0.0672236000090681,0.0
166,0.0458315000287257,0.0694478333073978,0.0,0.0907442222297605,0.060418499924708,0.0
317,0.0382370588246404,0.0479184999931021,0.0,0.1898849642436418,0.0,0.0166660000104457
168,0.0,0.0,0.041667499957839,0.091667333326768,0.1208340000011957,0.0
186,0.0500010000541806,0.0,0.0,0.071430047616429,0.0305571666588851,0.0
182,0.1363117142942166,0.0592615555441524,0.0364596250001341,0.1642403332492295,0.0458362500357906,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0745864583368527,0.0638903333456255,0.0500040000188164,0.1700017999721844,0.0583378999261184,0.0
111,0.0472248333365617,0.0,0.0,0.3562624999867693,0.0,0.0
315,0.0253347200038842,0.0611123333219438,0.0,0.0918158016150025,0.111736999958305,0.0
133,0.0669094807951926,0.0,0.0166665000142529,0.1944518609929621,0.0675971944712928,0.0
143,0.0865798333511013,0.0,0.0,0.0900017999811096,0.1275024000235134,0.0
311,0.0603273333039223,0.0833410000195726,0.0,0.0333329999702982,0.0,0.0
314,0.0354191250044095,0.0,0.0,0.1547277166561494,0.1300021999806629,0.0
106,0.1071734954705271,0.0166662499905214,0.0,0.2183221428247952,0.0576402499937102,0.0
318,0.0333340000361204,0.0,0.0,0.0,0.0,0.0
191,0.0583356538263614,0.0708373749803285,0.0,0.1986172498630667,0.0660755952703766,0.0
189,0.03194616666345,0.0529764285664505,0.0,0.1546336579363252,0.035714285722601,0.0
316,0.0250000714357676,0.0166640000534243,0.0,0.0785800000552885,0.0166669999598525,0.0
139,0.0606092727269821,0.1261959047623392,0.016671999999744,0.1993544450972536,0.1153815297612665,0.0
