pid,function declaration,parameter,conditional statement,return,variable declaration
136,0.0,0.050000499933958,0.0827818667283279,0.2578122765747085,0.0974898518348929
176,0.0993118750532933,0.0950032999506219,0.1991750000044703,0.2252900166126587,0.1911375142151622
155,0.2083349999447817,0.0,0.2747251428195295,0.461449141501555,0.0600603103440993
117,0.0703717222301444,0.0383346000162418,0.0,0.0333329999702982,0.0748294583330182
166,0.0250009999726898,0.0333353333019961,0.0416650000261142,0.1826568332520156,0.1101916111074386
317,0.0579367618885865,0.0511136666677581,0.1477814999622445,0.2665294429467429,0.1325496645798274
168,0.0166669999598525,0.0652791666410242,0.0333340000361204,0.1604231249099633,0.1499218042041141
319,0.0,0.0166660000104457,0.0166660000104457,0.1166680000023916,0.0166695000370964
186,0.0,0.0,0.0,0.0,0.0
182,0.0214278571490597,0.0916670000151498,0.2055619666634203,0.1152809167445713,0.0958375000336673
129,0.1069468333929155,0.0904780714564756,0.0500009999959729,0.0833358000149019,0.056250750007166
111,0.2104825142879104,0.0416686250009661,0.0749999999970894,0.2083425000067409,0.0515170909123049
313,0.0771275882280486,0.1190504642768895,0.2229220277747821,0.3652420635316736,0.1404241416596049
315,0.0,0.0,0.0,0.0,0.0
133,0.0466672000009566,0.0902801667107268,0.1132064165819124,0.1508444000268353,0.2024506302890489
143,0.0537525999956414,0.0711867916543268,0.1611234999872973,0.1486131666800549,0.0727837666594293
311,0.0743817173885267,0.1144013636301015,0.2371556857018728,0.0619044285766514,0.0583356666999557
314,0.0958357500094279,0.0777795714259678,0.1458407500103929,0.1812582083027031,0.1867373863747284
106,0.033332250000967,0.018057499997667,0.0472227333288174,0.0250004999979864,0.0692732500319834
318,0.0875037000019801,0.0,0.0333330000285059,0.0583367500221356,0.0222213333084558
147,0.0497388412274182,0.0650019999826325,0.0166670000180602,0.0500054999138228,0.0726080384575319
191,0.0777815000619739,0.0166670000180602,0.1208336667429343,0.1335135303314236,0.1291699333698487
189,0.0447936875061713,0.0583361333299155,0.1224800552419954,0.2055628333522082,0.025926666660881
316,0.0606057272313838,0.1166720000328496,0.1666726667123535,0.0,0.0238111428500685
139,0.1584187307694439,0.0744963333338201,0.2098997897449754,0.1637565250013112,0.1040184997496536
