pid,function declaration,parameter,variable declaration,loop,conditional statement,comment,conditional block
136,0.0379640000173822,0.2222183333942664,0.07103611900293749,0.46209822670759143,0.2460393894969871,0.0,0.1286382546013389
176,0.0680576667267208,0.1566678000148385,0.07083600002806631,0.8118610862118651,0.14494438096049372,0.0,0.0416690000565722
155,0.1012545119025854,0.2722353333762534,0.11667619998916029,0.8075808801601817,0.1589758831160231,0.0,0.2938185946272399
117,0.0166670000180602,0.0166664999851491,0.044447666616178896,0.32375563339640673,0.1297655476595363,0.0,0.14306183335914557
166,0.0444456667173653,0.0166660000104457,0.0333320000208914,0.8279505189247746,0.1821479998695264,0.0,0.2465836473569075
317,0.033332999999402,0.0928567143273539,0.0694461666474429,0.6998423827874201,0.28289252562297384,0.0166670000180602,0.28005172504927
168,0.1288927500210571,0.0250019999948563,0.10833849999471548,0.36712685681888163,0.1230620166626368,0.0,0.0
319,0.0,0.0,0.0,0.1222263333620503,0.0,0.0,0.0166670000180602
182,0.0166670000180602,0.0666640000417828,0.1361174999619832,0.4566358048494409,0.1509763499605467,0.0,0.1208389999810604
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.054565464299230204,0.3902994523578808,0.14321722224068012,0.4015171560901349,0.1065541874969701,0.0,0.1369502165791343
111,0.016666499992425,0.0,0.1583319999917875,0.5375132499866588,0.050000999995972795,0.0,0.0
313,0.1222216666598493,0.1833440000191331,0.1750090000132331,0.5208427464882595,0.278966734196262,0.0,0.2673135476068374
315,0.0617721176274832,0.1625030000577679,0.0,0.3141276971812148,0.1400067333287248,0.0,0.0888914167298934
133,0.0838905333230892,0.1166631667486701,0.18333899998106062,0.39520280540455094,0.1236134166635261,0.0,0.14722841014810942
143,0.05625520832351541,0.19972464994061698,0.0740304999955694,0.36506184445331824,0.1041708333699109,0.0,0.0527786666643805
311,0.0729193749139084,0.12112164448092969,0.1258006523435358,0.3643808167902675,0.1051318077258585,0.0,0.0433375998865812
314,0.07222400001289,0.0333339999779127,0.0333269999828189,0.19546592421432787,0.11250599998311361,0.0,0.0333330000285059
106,0.0,0.0,0.0,0.0666710000077728,0.0,0.0,0.0
318,0.0222239999954278,0.0,0.0,0.0,0.0499984999769367,0.0,0.1000080000376328
147,0.0384636153466999,0.16172499984154398,0.0233334000222384,0.3963846580792203,0.0291665000258944,0.0,0.14443883338632668
191,0.0916759999236092,0.0,0.0777833332152414,0.3378000665844102,0.1516720667520226,0.0,0.23056283331243288
189,0.016668199992273,0.0,0.0386408181749919,0.6139751214749739,0.1335813285192538,0.0,0.0916660000220871
316,0.0416683333302595,0.19941008331841717,0.033332999999402,0.263312386570532,0.0958375833385312,0.0,0.1944479999947359
139,0.08740494418625311,0.20983027380961639,0.1069475000009938,0.7785203698479881,0.3567993632692745,0.0,0.22572098473089477
