pid,function declaration,parameter,variable declaration,conditional statement,conditional block,externally defined variable or function,argument
136,0.0166670000180602,0.0446999090808359,0.121839965549137,0.07310873296757389,0.2451525144242043,0.0166660000104457,0.0
176,0.0833370000356808,0.0291682500392198,0.120833950024098,0.1087847855981505,0.2705537150411852,0.0888921388411997,0.0
155,0.0,0.0,0.2194521666616699,0.11666599998716251,0.37362489474298033,0.0383323999936692,0.0
117,0.105524649981089,0.0333339999779127,0.0838917999955204,0.1636172833299496,0.1304815071580897,0.03333700002986,0.0
166,0.0500069999834522,0.0,0.13167233331672198,0.123615916701965,0.0699997999705374,0.0845288571602265,0.0
317,0.0266675999970175,0.0222226666907469,0.0333337500196648,0.08333699996001079,0.1750099999917436,0.0333359999931417,0.0
168,0.0,0.01667033333797,0.0,0.0708397499838611,0.1765703061214561,0.0472223333587559,0.0
319,0.0,0.0,0.0166769999777898,0.0166660000104457,0.050006000092253,0.0333347500127274,0.0
182,0.0690994999895337,0.0,0.10883175592607572,0.0750015000230631,0.14166930005303568,0.0666690000022451,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.1299060000199139,0.0166673333151265,0.13444896669049422,0.1159510862084918,0.204329858943798,0.0350008000037632,0.0
111,0.14884386310124,0.0249950000070384,0.1833420000111798,0.1383656499988216,0.4453989771779294,0.0450000499979068,0.0
313,0.0986339880827081,0.0464669393955828,0.1354208166633421,0.1086134351750292,0.3647816703181152,0.0722246111286544,0.0
315,0.072226833338694,0.0452398571235659,0.09167183330282551,0.0555549999698996,0.17236552498604082,0.0351877222193353,0.0
133,0.09325485712560319,0.1125050000846386,0.0701959423649195,0.1146044007836034,0.3673767683932845,0.0500000000465661,0.0
143,0.0,0.0166660000104457,0.0497875384734913,0.0583332499954849,0.0888928333297371,0.0,0.0
311,0.1083801161880589,0.0333350909111852,0.11465042422765462,0.0844473333059188,0.2469104071362658,0.0569474167035271,0.0
314,0.0990820833232847,0.083329999964917,0.0,0.0663664909201376,0.1531527000104283,0.0,0.0
106,0.0541691111041776,0.050835099996766,0.0738177856983382,0.11112792527313958,0.32091758094389794,0.0365396923085567,0.0
318,0.0333340000361204,0.0,0.0333350000437348,0.048333999956957904,0.10606481819360669,0.0166709999903105,0.0
147,0.0775030699325725,0.0479908965544068,0.1723577625652059,0.1002336941720138,0.281942590669548,0.0704196500126272,0.0
191,0.043628588257193096,0.0,0.0920865999282491,0.0518148142242575,0.2111283332885551,0.0,0.0
189,0.0416750000149477,0.0,0.08703958329877211,0.0934849717732323,0.1704609895884575,0.0374108043492331,0.0166669999889563
316,0.0297624999989888,0.0472231666693308,0.1111160000242912,0.07917302493733569,0.1563248499609468,0.0,0.0
312,0.0625022500316845,0.0625004999747034,0.08472649993685369,0.1474935159083483,0.4380403155740901,0.0404784285762746,0.0
139,0.0641698999999789,0.0,0.10694916666438462,0.1195991828577409,0.2007206238117585,0.0166669999998703,0.0
