pid,function declaration,comment,loop,conditional statement
136,0.0500011249678209,0.0,0.11251291677278119,0.11639183897059399
176,0.1000013999640941,0.0,0.1781908545262094,0.2083484997773275
155,0.0555570000045312,0.0,0.43383594178740115,0.4062822334045663
117,0.0295456363554959,0.0250004999979864,0.0583340000594034,0.1350030000612604
166,0.0,0.0,0.1602859666648629,0.0666700000874698
317,0.0312515312489267,0.0185185555666167,0.2540118970352395,0.14193886583359488
168,0.024998000008054,0.0366688000038266,0.1916675000102257,0.10861373331863419
319,0.0,0.0,0.0333239999599754,0.0
182,0.0453734444518987,0.0166670000180602,0.0708354999951552,0.0333380000083707
310,0.0,0.0,0.0,0.0
129,0.0750025000015739,0.0458370000123977,0.23750674986513298,0.1590308333737386
111,0.14206853570829558,0.0,0.0,0.0
313,0.1294542499953725,0.0,0.2292986060558835,0.1519914285542206
315,0.03334399999585,0.0,0.08334100003412451,0.08333349996246381
133,0.0416694444138556,0.0,0.1916662497678771,0.306641848500338
143,0.0508359999977983,0.0,0.1166736667122068,0.1450057999929412
311,0.0708375000685919,0.0,0.09722600002229831,0.26817783340363954
314,0.0250014166595065,0.0,0.0,0.0
106,0.103506210518964,0.0,0.2402928333055264,0.14659432159503238
318,0.0500029999917993,0.0,0.0,0.0
147,0.034376624993456,0.0,0.107227000101314,0.09551779998358899
191,0.0405820000046135,0.0466690000146627,0.2523951666357569,0.1790525725586153
189,0.0,0.0,0.0,0.0
316,0.0430581666587386,0.0,0.0833410000195725,0.0750034999800845
312,0.0,0.0,0.0333358000265434,0.1499920000787824
139,0.0530320000000508,0.0555566666668407,0.43334379999966227,0.2682057791206523
