pid,function declaration,exception handling,variable declaration,comment,loop,conditional statement,return
136,0.0785768571243221,0.0166669997852295,0.0700004000216722,0.0333340000361204,0.3516809500482242,0.2316673001235659,0.0333330000285059
176,0.0875030000461265,0.0,0.116671249968931,0.2500100000761449,0.3291707500466142,0.1000079999212175,0.0
155,0.0633403999847359,0.0,0.2548420873132442,0.0791730000346433,0.4190246733205102,0.1328748333326073,0.0500129999709315
317,0.0518522222409956,0.0,0.1500107499450675,0.0166670000180602,0.2638934167916882,0.0,0.0166710000485181
319,0.0166690000332891,0.0,0.0416989998775532,0.0,0.0500810000812634,0.0166929999832063,0.0
186,0.0,0.0,0.0,0.0,0.0652843333567336,0.0,0.0
182,0.0208335000061197,0.0,0.281886424955155,0.0,0.3685328889178988,0.1833435000153256,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0257591818226501,0.0166670000180602,0.1127831666769148,0.0666665000171633,0.0833386666490695,0.1000069999718106,0.0
111,0.2318730000046984,0.0,0.1534975405941845,0.0,0.3500115000085007,0.2263996666774294,0.0166659999958938
313,0.1113970021912981,0.0,0.076674799970351,0.0,0.5236762877071979,0.407710693202151,0.0722266666513556
315,0.033335062496917,0.0333339999779127,0.1544976394228409,0.0222226666519418,0.3027951249387109,0.1900768690677413,0.0
133,0.0906865208154258,0.0309530000335403,0.1703606666398366,0.1000040001235902,0.4402098047552583,0.240851974157612,0.0500016666483133
143,0.0498095153804079,0.0,0.0735328235211507,0.0333340000167178,0.0833334999886572,0.1375054999516575,0.0541694999992614
311,0.1812550000613555,0.0,0.1250020000734365,0.0,0.0333330000285059,0.0,0.0
314,0.0166660000104457,0.0,0.0333343333234854,0.0,0.1527866666583575,0.0999980000342474,0.0
106,0.0625010833294557,0.0,0.08055933334496,0.0,0.2777913333848116,0.0,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.1301634523912243,0.0166679999092593,0.1886986071019365,0.0,0.2723477810614328,0.0500009999377652,0.0
191,0.0866747000603935,0.0,0.2019274090654849,0.0499970000237226,0.5486343332796373,0.2136077000255072,0.0
189,0.050982294114553,0.0249999999796273,0.1850064000362179,0.0,0.2764080000003251,0.0708340000055612,0.0
316,0.1041732083055345,0.0333352500310866,0.0545533635833469,0.016671999997925,0.1805619999067854,0.150006500101881,0.0166670000180602
139,0.0358995384615179,0.0,0.2030354393922961,0.0,0.4363585162239268,0.3886026190464988,0.0444459999992735
