pid,function declaration,parameter,exception handling,externally defined variable or function,argument,external class,function call
136,0.0166660000104457,0.0392174705972565,0.0583359999582171,0.0870562307644062,0.125001500127837,0.0,0.0583360000746324
176,0.0605571999292199,0.1216736001428215,0.1166709999088198,0.1191739000496453,0.0694466667094578,0.0,0.0250030000461265
155,0.0,0.1507938094880608,0.0500009999959729,0.2083439999842085,0.0749999999922389,0.137507999985246,0.0527809999960785
117,0.1579419761893361,0.076396366659901,0.0500019999453796,0.1100025999476201,0.033332999999402,0.0,0.0
166,0.0,0.0363117142696864,0.0,0.062490999989677,0.1857139999046921,0.027779666648712,0.036113111108231
317,0.0,0.0166675000073155,0.0,0.0666719999862834,0.0333340000070165,0.0,0.016669999982696
168,0.0273825714248232,0.0854211250698425,0.0166670000180602,0.0703393095159082,0.016669999982696,0.0,0.0
319,0.0,0.0277776666140804,0.0166669999016448,0.0333350000437349,0.0333339999779127,0.0,0.0208344999991823
186,0.0166670000180602,0.075001000019256,0.0,0.070837000006577,0.0666790000395848,0.0,0.0
182,0.1083345000224653,0.0944486666121519,0.0,0.1000040000071749,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0208330000168643,0.1138911667027665,0.0,0.0166670000180602,0.0333340000361204,0.0,0.0
111,0.0277789999963715,0.057051692306861,0.0,0.0305556666668659,0.0,0.0,0.0
313,0.0833362499804933,0.1971248451709885,0.1500044999847886,0.0907754999976272,0.308358697003627,0.0,0.0166670000180602
315,0.0291659999929834,0.11012594046146,0.0,0.0645843750316998,0.1388934999122282,0.0,0.0333380000665783
133,0.0552798000009108,0.127354025769119,0.0624984999885782,0.0662514000025111,0.1627794668078421,0.0,0.0
143,0.0680548333378585,0.1020879166777981,0.0,0.0754205000062938,0.0388886666623875,0.0,0.0
311,0.095732666671467,0.0722263333542892,0.0166660000104457,0.0743078611081323,0.0333352856770423,0.0,0.0
314,0.0666749999800231,0.1881666166470189,0.0,0.1023233609047106,0.3533394610990698,0.0,0.0
318,0.0,0.0,0.0,0.1166690000100061,0.0,0.0,0.0
147,0.0900045800232328,0.1341696000483351,0.0666693999897688,0.1001076294846929,0.058344833300604,0.0333354999893344,0.0380959999913881
191,0.0958405001147184,0.087505500006955,0.0166689999168738,0.0666678000241517,0.1145849999156778,0.0,0.0
189,0.027085249996162,0.1029989885243393,0.0,0.066321854170989,0.131671966705471,0.0,0.0416676999942865
316,0.0838918666665752,0.1831660379872431,0.0,0.0643534166641377,0.0166669999792551,0.0,0.0
312,0.0166675000218674,0.0933345000375993,0.0,0.0872302666733351,0.0944446667563169,0.0,0.0
